,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_100K_0,HT_BOCD_F,0.7416574165741657,0.4685122761136596,01:08:48,123.61 MB,"[2010, 3964, 5808, 8260, 10119, 13113, 15837, 18454, 20203, 24913, 29767, 34002, 39060, 42571, 44057, 46640, 48657, 50669, 53680, 56400, 58113, 62002, 64343, 67753, 71616, 77162, 80466, 88643, 97155]"
1,agrawal1_gradual_100K_2,HT_BOCD_F,0.7323273232732327,0.4485857570911984,01:11:30,232.5 MB,"[2219, 4676, 6690, 8668, 10818, 13065, 14841, 16690, 19914, 24393, 30720, 38580, 42090, 44113, 46150, 48704, 51356, 53697, 55563, 58804, 62125, 64693, 68099, 72091, 74838, 77623, 82146, 87728, 96098]"
2,agrawal1_gradual_100K_4,HT_BOCD_F,0.7391973919739198,0.4625433264169634,01:10:23,152 MB,"[1997, 3874, 5730, 8127, 10217, 11874, 14579, 16450, 18019, 20108, 25782, 32265, 37857, 42164, 44224, 47624, 49286, 52473, 54936, 56454, 58441, 61413, 64836, 67724, 69937, 73271, 76678, 78684, 81022, 88387, 96845]"
3,agrawal1_gradual_100K_6,HT_BOCD_F,0.7334173341733418,0.45168723824136375,01:13:55,121.71 MB,"[1315, 3533, 5757, 7508, 11154, 13058, 14731, 16476, 18167, 20101, 26517, 30109, 37340, 40445, 42516, 45269, 46468, 48809, 51572, 53702, 55839, 57116, 58921, 63428, 65804, 69268, 71809, 74664, 77717, 81512, 88793, 97177]"
4,agrawal1_gradual_100K_8,HT_BOCD_F,0.7373773737737377,0.4587383269014423,01:17:52,155.29 MB,"[1608, 3377, 5540, 8034, 10604, 12299, 14389, 16187, 18374, 20220, 25465, 33276, 40396, 42400, 43880, 45967, 48451, 51083, 52630, 54196, 57099, 59577, 63158, 65476, 68788, 71265, 73367, 76183, 79160, 80986, 89525, 96811]"
5,agrawal1_gradual_100K_10,HT_BOCD_F,0.7385973859738597,0.46237545270126085,01:15:33,65.98 MB,"[1551, 4306, 6330, 7903, 9912, 11850, 13926, 16219, 18551, 20263, 25684, 31637, 38073, 42102, 43593, 45619, 48503, 50729, 52964, 54761, 57376, 60596, 63046, 66234, 68616, 74413, 77091, 79349, 81794, 89334, 97922]"
6,agrawal1_gradual_100K_12,HT_BOCD_F,0.7429674296742967,0.47290062278563644,01:15:38,96.08 MB,"[3179, 5121, 7125, 10119, 13522, 15886, 17964, 20076, 26187, 32888, 40187, 42905, 44583, 45758, 47859, 49555, 51042, 53298, 54704, 57763, 59227, 60889, 63137, 66025, 68734, 72373, 75657, 78426, 81823, 89591, 97492]"
7,agrawal1_gradual_100K_14,HT_BOCD_F,0.7412974129741298,0.46623022123696034,01:19:28,265.39 MB,"[1760, 3771, 5496, 8316, 10156, 11930, 13891, 15819, 18071, 20113, 23988, 31457, 39149, 42667, 44709, 47130, 50363, 53147, 55294, 56577, 58810, 61836, 64445, 67193, 71168, 74049, 75866, 80306, 88284, 95831]"
8,agrawal1_gradual_100K_16,HT_BOCD_F,0.7365973659736598,0.45743473303226817,01:10:21,223.89 MB,"[2698, 5912, 8666, 10209, 13375, 15016, 16884, 18650, 20143, 25456, 31056, 38497, 42628, 45451, 47498, 49322, 51130, 52923, 54992, 56666, 58471, 63282, 66114, 68788, 71211, 73441, 75962, 79197, 81232, 87746, 96171]"
9,agrawal1_gradual_100K_18,HT_BOCD_F,0.7415774157741577,0.46799676340668506,01:13:27,315.08 MB,"[1763, 4137, 6162, 7919, 10137, 12420, 14908, 16871, 18770, 20253, 26762, 33588, 40156, 41779, 43803, 45906, 47755, 49925, 52559, 54271, 56777, 58840, 62061, 65723, 67866, 71640, 74595, 77139, 80279, 87858, 95463]"
10,agrawal1_gradual_100K_20,HT_BOCD_F,0.7409474094740948,0.4685869767897142,01:20:41,181.05 MB,"[2044, 3416, 5503, 7757, 9539, 11482, 13223, 14961, 16956, 18743, 20213, 27124, 33685, 40171, 42758, 45553, 47275, 49078, 52626, 54214, 57617, 59300, 62242, 67400, 70625, 73494, 76421, 81087, 89071, 96557]"
11,agrawal1_gradual_100K_22,HT_BOCD_F,0.7356873568735688,0.45582497006072165,01:15:43,124.13 MB,"[1962, 4157, 6073, 7799, 10088, 12969, 14756, 16401, 19027, 20070, 24388, 30509, 36885, 41001, 43172, 44998, 46631, 48904, 51484, 54200, 55612, 57086, 59339, 62822, 65651, 71963, 74845, 77620, 81395, 89151, 97149]"
