,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_basic_F,0.8938588938588938,0.7847472874828736,00:18:35,1.04 GB,[]
1,agrawal1_abrupt_1M_0,BOLE_ADWIN_F,0.7220657220657221,0.43437610976774554,00:28:31,5.55 MB,[]
2,agrawal1_abrupt_1M_0,BOLE_CUSUM_F,0.815990815990816,0.6265319736721002,00:21:44,7.28 MB,[]
3,agrawal1_abrupt_1M_0,BOLE_DDM_F,0.8277458277458277,0.6492161588811319,00:26:49,240.78 MB,[]
4,agrawal1_abrupt_1M_0,BOLE_ECDD_F,0.6798356798356798,0.3537593019831573,00:22:02,2.58 MB,[]
5,agrawal1_abrupt_1M_0,BOLE_EDDM_F,0.7579497579497579,0.5066473958525458,00:23:29,188.51 MB,[]
6,agrawal1_abrupt_1M_0,BOLE_GMA_F,0.8938588938588938,0.7847472874828736,00:34:30,1.04 GB,[]
7,agrawal1_abrupt_1M_0,BOLE_HDDMA_F,0.7533437533437534,0.5007279397500611,00:30:32,3.35 MB,[]
8,agrawal1_abrupt_1M_0,BOLE_HDDMW_F,0.7683657683657684,0.5332233437134662,00:24:12,2.29 MB,[]
9,agrawal1_abrupt_1M_0,BOLE_PH_F,0.8125078125078125,0.6196131481414796,00:34:35,21.26 MB,[]
10,agrawal1_abrupt_1M_0,BOLE_RDDM_F,0.7998377998377998,0.5954091637308851,00:29:16,4.77 MB,[]
11,agrawal1_abrupt_1M_0,BOLE_STEPD_F,0.7106577106577107,0.41276318298444237,00:35:41,3.22 MB,[]
12,agrawal1_abrupt_1M_2,BOLE_basic_F,0.9172779172779173,0.8322522003351119,00:18:23,1.03 GB,[]
13,agrawal1_abrupt_1M_2,BOLE_ADWIN_F,0.7228397228397229,0.43591963629615094,00:28:23,4.64 MB,[]
14,agrawal1_abrupt_1M_2,BOLE_CUSUM_F,0.8186338186338187,0.631631950200093,00:21:48,11.76 MB,[]
15,agrawal1_abrupt_1M_2,BOLE_DDM_F,0.818945818945819,0.6316415053890205,00:27:39,287.3 MB,[]
16,agrawal1_abrupt_1M_2,BOLE_ECDD_F,0.6788326788326788,0.35208012726129256,00:26:07,2.58 MB,[]
17,agrawal1_abrupt_1M_2,BOLE_EDDM_F,0.8217718217718217,0.6374934183454165,00:25:49,96.88 MB,[]
18,agrawal1_abrupt_1M_2,BOLE_GMA_F,0.9172779172779173,0.8322522003351119,00:32:10,1.03 GB,[]
19,agrawal1_abrupt_1M_2,BOLE_HDDMA_F,0.779022779022779,0.5532381551294577,00:34:48,6 MB,[]
20,agrawal1_abrupt_1M_2,BOLE_HDDMW_F,0.753058753058753,0.5022889741751139,00:33:54,2.72 MB,[]
21,agrawal1_abrupt_1M_2,BOLE_PH_F,0.8192348192348192,0.6323725465174949,00:30:40,19.44 MB,[]
22,agrawal1_abrupt_1M_2,BOLE_RDDM_F,0.801011801011801,0.5963836204980472,00:32:00,7.06 MB,[]
23,agrawal1_abrupt_1M_2,BOLE_STEPD_F,0.6908526908526909,0.37462691021977307,00:34:13,3.28 MB,[]
24,agrawal1_abrupt_1M_4,BOLE_basic_F,0.9276639276639277,0.8533026731479197,00:17:53,1.08 GB,[]
25,agrawal1_abrupt_1M_4,BOLE_ADWIN_F,0.7257897257897258,0.4413939482116496,00:27:42,14.29 MB,[]
26,agrawal1_abrupt_1M_4,BOLE_CUSUM_F,0.8103348103348104,0.6151596455776607,00:21:18,9.65 MB,[]
27,agrawal1_abrupt_1M_4,BOLE_DDM_F,0.8289438289438289,0.6519045851215786,00:24:51,116.45 MB,[]
