,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_ADWIN_F,0.727961727961728,0.4458943156267229,00:50:40,7.5 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_ADWIN_F,0.7218327218327218,0.4337598836367514,00:49:59,4.56 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_ADWIN_F,0.7268627268627269,0.4439900450120371,00:50:33,9.25 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_ADWIN_F,0.7277587277587277,0.4457738351868519,00:48:41,4.61 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_ADWIN_F,0.7233647233647233,0.4361372059551337,00:49:52,5.61 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_ADWIN_F,0.7257377257377258,0.44121497398749815,00:48:50,5.88 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_ADWIN_F,0.7229077229077229,0.43644436685206,01:00:42,5.9 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_ADWIN_F,0.7274617274617274,0.44541649453539905,01:02:31,15.33 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_ADWIN_F,0.7234597234597234,0.4373826860200191,00:59:08,8.16 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_ADWIN_F,0.7265587265587266,0.4431862084874589,00:59:38,5.61 MB,[]
