,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_basic_F,0.9041989041989043,0.8058010500048072,00:28:33,1.01 GB,[]
1,agrawal1_abrupt_1M_2,BOLE_basic_F,0.897001897001897,0.7911067880849716,00:27:29,1.1 GB,[]
2,agrawal1_abrupt_1M_4,BOLE_basic_F,0.8953358953358953,0.7877096730427283,00:28:13,1.02 GB,[]
3,agrawal1_abrupt_1M_6,BOLE_basic_F,0.9025869025869026,0.8025735405771309,00:28:45,1.14 GB,[]
4,agrawal1_abrupt_1M_8,BOLE_basic_F,0.901994901994902,0.8012724614618385,00:31:39,1.02 GB,[]
5,agrawal1_abrupt_1M_10,BOLE_basic_F,0.8931858931858931,0.7836330287220016,00:32:56,1.12 GB,[]
6,agrawal1_abrupt_1M_12,BOLE_basic_F,0.8961298961298961,0.7895066468297949,00:31:25,1.1 GB,[]
7,agrawal1_abrupt_1M_14,BOLE_basic_F,0.9168749168749168,0.8312455336900013,00:30:09,1.02 GB,[]
8,agrawal1_abrupt_1M_16,BOLE_basic_F,0.9105279105279105,0.8183161164808324,00:34:25,1.03 GB,[]
9,agrawal1_abrupt_1M_18,BOLE_basic_F,0.8967568967568967,0.7906527336738121,00:31:50,1.01 GB,[]
