,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_CUSUM_F,0.80992180992181,0.6142722706177479,00:27:40,7.36 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_CUSUM_F,0.8076448076448076,0.6099978521708178,00:26:51,7.61 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_CUSUM_F,0.8106008106008106,0.6157797560962804,00:26:56,6.97 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_CUSUM_F,0.8158538158538159,0.626098377662845,00:26:48,10.45 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_CUSUM_F,0.8180588180588181,0.6306209167190563,00:26:39,6.81 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_CUSUM_F,0.818970818970819,0.6323453321662781,00:26:32,7.69 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_CUSUM_F,0.8170588170588171,0.6284989265578779,00:26:28,9.93 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_CUSUM_F,0.8092158092158093,0.6127895005033305,00:26:54,8.46 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_CUSUM_F,0.8183768183768184,0.6313534202131859,00:26:26,8.64 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_CUSUM_F,0.8058798058798059,0.6058687793619456,00:26:38,10.54 MB,[]
