,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_DDM_F,0.8165538165538165,0.6264806956651264,00:26:19,213.88 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_DDM_F,0.8715978715978716,0.738725202743651,00:25:33,281.37 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_DDM_F,0.8425828425828426,0.6796281097422651,00:30:25,430.51 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_DDM_F,0.8484348484348484,0.6911977054466462,00:28:51,273.5 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_DDM_F,0.8289508289508289,0.6519435067272801,00:29:25,277.24 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_DDM_F,0.8202388202388202,0.63350588080982,00:30:01,251.55 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_DDM_F,0.849026849026849,0.6926668664295272,00:30:39,197.57 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_DDM_F,0.8202418202418202,0.634509285265291,00:29:51,266.15 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_DDM_F,0.8430898430898431,0.6804181905998518,00:30:35,379.88 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_DDM_F,0.8185368185368186,0.6308240422178781,00:28:41,246.82 MB,[]
