,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_ECDD_F,0.6791566791566792,0.3525041310362562,00:32:55,3.71 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_ECDD_F,0.6786556786556787,0.35133259780831066,00:32:52,3.36 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_ECDD_F,0.6815346815346816,0.35699957349546746,00:26:43,2.64 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_ECDD_F,0.6807856807856808,0.3555123355230235,00:20:22,2.47 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_ECDD_F,0.6801446801446801,0.3541452987999336,00:20:24,4.33 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_ECDD_F,0.6806556806556806,0.35514064724920774,00:20:39,3.57 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_ECDD_F,0.6774906774906775,0.34942437861267106,00:20:43,2.75 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_ECDD_F,0.6792886792886793,0.3525624351922879,00:21:43,2.73 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_ECDD_F,0.6794706794706795,0.3526519724310785,00:21:10,2.63 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_ECDD_F,0.6806856806856807,0.3552782389720048,00:20:53,2.64 MB,[]
