,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_EDDM_F,0.8309038309038309,0.6560540942547771,00:29:15,161.67 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_EDDM_F,0.8184118184118184,0.6304530933421058,00:27:53,115.58 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_EDDM_F,0.806979806979807,0.606998059449936,00:29:04,216.03 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_EDDM_F,0.8293358293358294,0.6526274303072958,00:28:01,58.17 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_EDDM_F,0.8255698255698256,0.6448656880176306,00:28:00,86.18 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_EDDM_F,0.8244768244768245,0.6423746728688036,00:28:06,105.08 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_EDDM_F,0.8028508028508029,0.598737684484211,00:27:55,73.98 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_EDDM_F,0.8213808213808214,0.636142400811798,00:28:35,240.2 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_EDDM_F,0.8251138251138251,0.6441103884372659,00:27:44,111.17 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_EDDM_F,0.8369328369328369,0.6675573932892575,00:28:51,142.03 MB,[]
