,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_GMA_F,0.9041989041989043,0.8058010500048072,00:26:21,1.01 GB,[]
1,agrawal1_abrupt_1M_2,BOLE_GMA_F,0.897001897001897,0.7911067880849716,00:25:51,1.1 GB,[]
2,agrawal1_abrupt_1M_4,BOLE_GMA_F,0.8953358953358953,0.7877096730427283,00:25:56,1.02 GB,[]
3,agrawal1_abrupt_1M_6,BOLE_GMA_F,0.9025869025869026,0.8025735405771309,00:25:48,1.14 GB,[]
4,agrawal1_abrupt_1M_8,BOLE_GMA_F,0.901994901994902,0.8012724614618385,00:25:51,1.02 GB,[]
5,agrawal1_abrupt_1M_10,BOLE_GMA_F,0.8931858931858931,0.7836330287220016,00:26:52,1.12 GB,[]
6,agrawal1_abrupt_1M_12,BOLE_GMA_F,0.8961298961298961,0.7895066468297949,00:24:27,1.1 GB,[]
7,agrawal1_abrupt_1M_14,BOLE_GMA_F,0.9168749168749168,0.8312455336900013,00:24:17,1.02 GB,[]
8,agrawal1_abrupt_1M_16,BOLE_GMA_F,0.9105279105279105,0.8183161164808324,00:25:13,1.03 GB,[]
9,agrawal1_abrupt_1M_18,BOLE_GMA_F,0.8967568967568967,0.7906527336738121,00:24:25,1.01 GB,[]
