,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_HDDMA_F,0.7516147516147517,0.4975235778060146,00:28:17,2.76 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_HDDMA_F,0.7748917748917749,0.5444875513086246,00:28:30,4.75 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_HDDMA_F,0.7551967551967552,0.5047856787465292,00:28:14,4.7 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_HDDMA_F,0.7378847378847379,0.46918748281390094,00:29:43,3.26 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_HDDMA_F,0.7753747753747754,0.5450295678226196,00:30:41,4.31 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_HDDMA_F,0.7595377595377595,0.5136238054035052,00:30:35,3.49 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_HDDMA_F,0.749000749000749,0.49270825000800594,00:30:47,3.96 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_HDDMA_F,0.7470397470397471,0.4878785789238884,00:30:25,2.5 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_HDDMA_F,0.7577057577057577,0.5096010247847534,00:30:33,2.77 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_HDDMA_F,0.746079746079746,0.48665955303328423,00:31:10,3.78 MB,[]
