,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_HDDMW_F,0.7606457606457606,0.5175858045055445,00:28:35,2.12 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_HDDMW_F,0.7580747580747581,0.5125507854097479,00:29:23,2.83 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_HDDMW_F,0.7616297616297616,0.5194678536963001,00:30:32,4.36 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_HDDMW_F,0.7676277676277676,0.5319755689714948,00:30:28,3.8 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_HDDMW_F,0.7643227643227644,0.5248348345452923,00:30:30,2.24 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_HDDMW_F,0.7631877631877632,0.522421963631576,00:30:35,2.24 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_HDDMW_F,0.7541097541097541,0.5044440607743569,00:30:15,2.2 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_HDDMW_F,0.7575997575997576,0.5116008429159694,00:30:46,2.24 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_HDDMW_F,0.7676907676907677,0.531629474613586,00:29:19,2.23 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_HDDMW_F,0.7548567548567549,0.5056086138894561,00:28:36,2.76 MB,[]
