,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_PH_F,0.8455248455248455,0.6858282910482033,00:27:55,28.66 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_PH_F,0.8162378162378162,0.6258515773561888,00:28:20,19.27 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_PH_F,0.8436868436868437,0.6825796684216376,00:28:25,49.12 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_PH_F,0.8179858179858179,0.6298834218233099,00:27:19,39.16 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_PH_F,0.81995081995082,0.6336696069951725,00:27:27,53.52 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_PH_F,0.8146628146628146,0.6231705442886137,00:27:59,20.03 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_PH_F,0.8337398337398337,0.6623118754028408,00:27:51,42.67 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_PH_F,0.8271558271558271,0.6482303299897226,00:26:49,25.84 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_PH_F,0.8267648267648268,0.6474056498239354,00:26:39,40.55 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_PH_F,0.8241838241838242,0.6420546119298207,00:26:58,44.96 MB,[]
