,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_RDDM_F,0.7985087985087985,0.5922452378985338,00:28:04,8.5 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_RDDM_F,0.78997278997279,0.5747311756943793,00:28:22,4.66 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_RDDM_F,0.8062138062138062,0.607521969214497,00:28:09,6.42 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_RDDM_F,0.7994487994487994,0.594095012379295,00:28:12,8.06 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_RDDM_F,0.8092168092168092,0.6129581413209031,00:27:08,10.19 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_RDDM_F,0.7988957988957989,0.5927337326961252,00:27:21,5.4 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_RDDM_F,0.7944097944097944,0.5841769162390629,00:27:25,8.41 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_RDDM_F,0.8007368007368008,0.5958541396090132,00:26:14,6.23 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_RDDM_F,0.8028038028038028,0.6010157753280804,00:25:40,8.54 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_RDDM_F,0.7996107996107996,0.5944431295385695,00:24:47,6.08 MB,[]
