,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,BOLE_STEPD_F,0.7021357021357021,0.39677757450993656,00:43:52,2.65 MB,[]
1,agrawal1_abrupt_1M_2,BOLE_STEPD_F,0.7057327057327057,0.40379825536783187,00:42:59,3.01 MB,[]
2,agrawal1_abrupt_1M_4,BOLE_STEPD_F,0.7027847027847027,0.3980673927559922,00:42:29,3.03 MB,[]
3,agrawal1_abrupt_1M_6,BOLE_STEPD_F,0.7025767025767026,0.39776367455038514,00:41:45,2.94 MB,[]
4,agrawal1_abrupt_1M_8,BOLE_STEPD_F,0.696996696996697,0.38720464249908204,00:41:45,2.83 MB,[]
5,agrawal1_abrupt_1M_10,BOLE_STEPD_F,0.6951506951506952,0.38319382100378657,00:41:48,3.38 MB,[]
6,agrawal1_abrupt_1M_12,BOLE_STEPD_F,0.7008107008107008,0.3943298657211819,00:42:04,2.82 MB,[]
7,agrawal1_abrupt_1M_14,BOLE_STEPD_F,0.700943700943701,0.39460812687861047,00:41:18,2.81 MB,[]
8,agrawal1_abrupt_1M_16,BOLE_STEPD_F,0.703008703008703,0.39846877872405756,00:41:00,2.91 MB,[]
9,agrawal1_abrupt_1M_18,BOLE_STEPD_F,0.6985636985636986,0.3902100626874087,00:39:27,2.91 MB,[]
