,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,HT_basic_F,0.885942885942886,0.7691944461384771,00:03:05,23.74 MB,[]
1,agrawal1_abrupt_1M_0,HT_ADWIN_F,0.7464357464357464,0.48193119643279436,00:04:49,2.06 MB,"[1887, 3423, 5215, 7519, 9055, 10591, 12383, 13919, 15711, 17439, 19391, 21439, 22975, 24383, 26047, 27743, 29471, 31263, 32799, 34591, 36383, 38079, 39615, 41567, 43359, 45023, 46271, 48575, 50783, 52639, 54239, 55903, 57567, 59455, 60991, 62655, 64191, 65727, 67487, 69375, 70911, 72639, 74239, 76191, 78111, 79903, 81759, 84127, 85791, 87359, 88895, 91967, 93567, 95551, 97343, 99135, 100799, 102463, 104255, 106047, 107583, 109151, 110815, 112479, 114303, 115839, 117503, 119167, 120703, 122303, 124223, 126335, 128063, 129599, 131135, 133087, 135007, 136543, 138079, 139871, 141407, 143359, 145151, 146687, 148447, 149983, 151871, 153663, 155327, 157151, 159199, 160895, 162527, 164191, 165823, 168095, 169887, 171679, 173375, 175263, 176895, 178847, 180511, 182143, 183391, 184959, 186527, 188127, 190303, 192351, 194207, 196127, 197823, 199615, 200127, 214783, 247551, 259839, 289503, 297663, 301759, 310495, 331103, 335647, 349983, 374911, 382591, 396511, 400959, 403231, 406303, 408031, 409567, 410623, 413695, 416127, 417855, 420927, 422463, 423679, 425951, 429023, 431551, 433439, 435103, 436159, 439391, 441119, 444191, 445343, 447711, 450111, 451903, 453663, 456191, 459103, 461503, 463039, 464831, 466527, 468991, 470943, 474015, 477855, 479711, 481919, 483455, 484543, 486495, 488543, 491615, 495199, 497407, 498591, 500383, 502463, 504319, 506495, 508095, 510975, 512767, 515583, 517375, 520447, 522495, 526015, 529151, 530879, 531775, 533023, 535519, 537759, 539391, 542463, 545759, 547807, 548959, 550751, 553599, 555487, 557375, 560703, 562431, 564767, 566655, 568607, 570143, 572319, 574111, 576159, 578463, 581535, 583231, 585471, 589055, 590911, 592767, 594655, 596831, 599103, 603903, 607999, 610047, 611839, 615871, 617503, 619967, 622271, 624063, 627135, 631487, 635455, 638527, 642111, 644415, 646335, 648639, 652223, 654239, 656639, 658687, 661951, 664255, 667487, 670559, 673087, 677183, 684351, 686143, 687935, 690271, 693407, 696479, 698783, 700543, 703711, 705887, 708191, 711327, 715423, 718495, 720287, 722655, 726047, 729631, 733151, 736543, 739391, 740415, 743487, 747391, 755327, 757791, 767487, 771583, 773663, 775839, 778335, 782719, 786303, 789439, 790271, 793631, 795903, 797951, 801055, 948479]"
2,agrawal1_abrupt_1M_0,HT_CUSUM_F,0.9010419010419011,0.7973598825461917,00:03:47,4.02 MB,"[200093, 285121, 400156, 600111, 800153]"
3,agrawal1_abrupt_1M_0,HT_DDM_F,0.8978878978878979,0.7909877358601941,00:03:47,4.08 MB,"[200063, 294844, 400851, 600144, 800596]"
4,agrawal1_abrupt_1M_0,HT_ECDD_F,0.7869227869227869,0.5607745090414554,00:03:59,96.25 KB,"[66, 1119, 2057, 2833, 3419, 4443, 5087, 5495, 10874, 11785, 12651, 13470, 14626, 14943, 15922, 16569, 17356, 17646, 17854, 18049, 18184, 199999, 200145, 200877, 201591, 203333, 204592, 205881, 207024, 207929, 208332, 209270, 209877, 210679, 211261, 211346, 212026, 212659, 213214, 213701, 214022, 215741, 217258, 217500, 217981, 218406, 218848, 219110, 220364, 220894, 221975, 223191, 223579, 224409, 225493, 225781, 226314, 227129, 228333, 228954, 229595, 230454, 230689, 231056, 231548, 232050, 234218, 234618, 235091, 236095, 236207, 236395, 236776, 237503, 238218, 239959, 240327, 240456, 240702, 241398, 242585, 243217, 244408, 245435, 245879, 246101, 246197, 246914, 247408, 248411, 248788, 249074, 249501, 249774, 249838, 249938, 250244, 251139, 252362, 253066, 253592, 253931, 254271, 255681, 256227, 256721, 257332, 257755, 258696, 258980, 259090, 259244, 260241, 260822, 261717, 261890, 262256, 262834, 263131, 263459, 263569, 263774, 263915, 264666, 265606, 265879, 266295, 266580, 266864, 267508, 267908, 268580, 268939, 269986, 270978, 271871, 273007, 274191, 275022, 275446, 275684, 275972, 276176, 276838, 278264, 278984, 279059, 279484, 280023, 280362, 280876, 281730, 282430, 283796, 284911, 286226, 287039, 287621, 288008, 288346, 289210, 290042, 290159, 290702, 291015, 291664, 293180, 293551, 293868, 295150, 295997, 296246, 296983, 297350, 297883, 298181, 298710, 300034, 301570, 302638, 303782, 304407, 305081, 305512, 306107, 306594, 307406, 307636, 308261, 309692, 310960, 311846, 312938, 313246, 313411, 314095, 314654, 315220, 315568, 316427, 317003, 317904, 318862, 319664, 320791, 321247, 321418, 322668, 323175, 324385, 325521, 325851, 326368, 326599, 329271, 329565, 329936, 330569, 331569, 331763, 332308, 333551, 333858, 334614, 335716, 336066, 336454, 336753, 336954, 337150, 337505, 337869, 337976, 338462, 339175, 340358, 340802, 340857, 341566, 342633, 342765, 343349, 343886, 344461, 345580, 346095, 346538, 346806, 347038, 347405, 347515, 348213, 348640, 349167, 349941, 350965, 351529, 351967, 352892, 353662, 354060, 354873, 355155, 355856, 356207, 356498, 357182, 357704, 358133, 358594, 358634, 359109, 360672, 362029, 362765, 362849, 362943, 363321, 364193, 364290, 364471, 364554, 365507, 366409, 367113, 367419, 368606, 369218, 369478, 369690, 370560, 371867, 372181, 373181, 374190, 374485, 375077, 375265, 375521, 376202, 376472, 376921, 377314, 377803, 378449, 381136, 381582, 382041, 382275, 383053, 384359, 384560, 385181, 386641, 387486, 388622, 389453, 389850, 390345, 390877, 391051, 391638, 392530, 393521, 394723, 395628, 396590, 396924, 397043, 397951, 398340, 398579, 398790, 399927, 401851, 403775, 406658, 408557, 409241, 409859, 410700, 412157, 412492, 413688, 414114, 414562, 414750, 429117, 430383, 430832, 432183, 432993, 433292, 433637, 434097, 449622, 450514, 466573, 467333, 468262, 468869, 470517, 471320, 471836, 472589, 473577, 474911, 476494, 478619, 480143, 480892, 481695, 482690, 483853, 484629, 485937, 487886, 489963, 490770, 491552, 492328, 493049, 494984, 497683, 499750, 501596, 502840, 512418, 599999, 601025, 601869, 602811, 602916, 603172, 603498, 603724, 604027, 604160, 604897, 605854, 606688, 607877, 608146, 608332, 609033, 609359, 610121, 610159, 610328, 610680, 611258, 611661, 612527, 613279, 613394, 614188, 614993, 615494, 615927, 616409, 617536, 618218, 618946, 622968, 623339, 623612, 624090, 625235, 626002, 626490, 626707, 626927, 627575, 628104, 628522, 628633, 629228, 629330, 631875, 632030, 632582, 633049, 634242, 634632, 634787, 634975, 635097, 635369, 636368, 636767, 636982, 637503, 638343, 639248, 639672, 640140, 641085, 642448, 644463, 646632, 647534, 648492, 649820, 650640, 651553, 652069, 652773, 653511, 657134, 657273, 657494, 660190, 661316, 661642, 661830, 662775, 663085, 663179, 663754, 664938, 665230, 665609, 665765, 666515, 669029, 670048, 670463, 670765, 671132, 672046, 672909, 673401, 673950, 674815, 675591, 677001, 677157, 677341, 677841, 678172, 680296, 680804, 684892, 685980, 686442, 687290, 688949, 690068, 690254, 690895, 691593, 692589, 693073, 694558, 695117, 696231, 697162, 697894, 698878, 699422, 699792, 700069, 700201, 701626, 702623, 703414, 703795, 703931, 704785, 705153, 705652, 706214, 706960, 707574, 708439, 708633, 709632, 710616, 710974, 711551, 712639, 712823, 713852, 714664, 715656, 715782, 716341, 717130, 718225, 718753, 719450, 720421, 720593, 720958, 721246, 721417, 721814, 722175, 723553, 725035, 725339, 725813, 726363, 727199, 727634, 727769, 728667, 729501, 730475, 731012, 731218, 731709, 732180, 732559, 733665, 733845, 734518, 735046, 735920, 736213, 736474, 737177, 738397, 738880, 739219, 739552, 741831, 742303, 742567, 742829, 743325, 744065, 744279, 744347, 744681, 745225, 745582, 746589, 747660, 748944, 749857, 750463, 751172, 751506, 752411, 752735, 753039, 754031, 755195, 756200, 756870, 757420, 758416, 758596, 758917, 759742, 761111, 761834, 762681, 763450, 764476, 766384, 766859, 767139, 770348, 770722, 771379, 772629, 773545, 773859, 774253, 774480, 774956, 775524, 776022, 776729, 777821, 780165, 780573, 783541, 785271, 786170, 786401, 787136, 787487, 788425, 789301, 789957, 790209, 790344, 795010, 795434, 795818, 797038, 798136, 798577, 799014, 799257, 800002, 800609, 802033, 803274, 804507, 805059, 807893, 809181, 810628, 811661, 812290, 813395, 814553, 815047, 815943, 817195, 817745, 818137, 818310, 818497, 819030, 819821, 820302, 821448, 822286, 823403, 824189, 824758, 825352, 825979, 827041, 828204, 829722, 830300, 830741, 831357, 832190, 833094, 834166, 835018, 836084, 837046, 837529, 838123, 838443, 839420, 840294, 841350, 842198, 843509, 844157, 844401, 844657, 845024, 845616, 846089, 846864, 847530, 847862, 848353, 849203, 849905, 850465, 850687, 851318, 851411, 851648, 852302, 852929, 853482, 854349, 854672, 854813, 855381, 855878, 856377, 857019, 857810, 859784, 861914, 862835, 862884, 863277, 863899, 865535, 866542, 867336, 868385, 869797, 870020, 870212, 870662, 871960, 874836, 875995, 876872, 877038, 877415, 879157, 880387, 881296, 881799, 883002, 884232, 885269, 885849, 886225, 886395, 886858, 888021, 888801, 889691, 892306, 893108, 894189, 894659, 894901, 895223, 896067, 897537, 898912, 899833, 900288, 902046, 903930, 904664, 904935, 905459, 906184, 907355, 909301, 909995, 910592, 910772, 912074, 912487, 912942, 913326, 914310, 915051, 915615, 916241, 916937, 917224, 917927, 918805, 921003, 922504, 923767, 925196, 926340, 927151, 927594, 928633, 928932, 930124, 930823, 931864, 933306, 935323, 935969, 936757, 937094, 937488, 937975, 938879, 940437, 941624, 942316, 943442, 943908, 944608, 945114, 945966, 946852, 947441, 948510, 949732, 951361, 952231, 953615, 955549, 956736, 957172, 957505, 957953, 958345, 959297, 960684, 963241, 965028, 966146, 967082, 968068, 968759, 970389, 971369, 972174, 972975, 974235, 975708, 976773, 977582, 977846, 978901, 979555, 980570, 981933, 982492, 982813, 983234, 983929, 984866, 985325, 985509, 986387, 988488, 990094, 991459, 992949, 994343, 994984, 996567, 998003, 998588, 999059, 999920]"
5,agrawal1_abrupt_1M_0,HT_EDDM_F,0.8238408238408238,0.6440377708575789,00:03:56,2.93 MB,"[200, 315, 462, 200111, 200239, 200330, 200455, 200527, 200584, 200673, 200754, 200839, 683958, 684072, 684151, 806865, 806949, 807747]"
6,agrawal1_abrupt_1M_0,HT_GMA_F,0.885942885942886,0.7691944461384771,00:03:38,23.74 MB,[]
7,agrawal1_abrupt_1M_0,HT_HDDMA_F,0.9031869031869032,0.8021888282671334,00:04:02,2.21 MB,"[200008, 215074, 276454, 362464, 400052, 600010, 800063, 840302, 968072]"
8,agrawal1_abrupt_1M_0,HT_HDDMW_F,0.8960958960958961,0.7866687070313024,00:03:52,2.2 MB,"[200041, 202009, 204872, 205648, 207787, 208559, 209527, 212621, 213834, 217971, 218849, 222951, 224146, 228326, 230702, 234828, 238612, 240182, 241863, 243956, 244537, 246044, 249590, 250342, 251190, 253958, 254806, 257902, 259345, 259841, 260930, 263811, 267969, 269204, 272044, 275022, 277157, 278964, 280291, 281795, 285921, 287561, 289225, 291025, 295005, 296543, 297357, 298849, 303015, 304524, 305513, 306598, 308248, 308718, 310613, 314325, 319402, 319930, 321184, 325904, 327020, 329273, 330569, 331483, 332163, 333400, 335804, 337147, 338075, 341832, 343717, 344878, 345949, 348291, 349869, 351550, 353540, 354060, 356502, 358569, 359110, 360365, 361912, 362941, 367115, 368566, 371486, 373153, 375315, 376059, 377316, 382004, 383286, 384560, 386632, 386853, 387521, 388804, 389349, 389858, 391439, 392289, 393593, 394762, 399103, 399927, 600018, 800105, 822287, 826118, 830744, 838142, 840304, 852931]"
9,agrawal1_abrupt_1M_0,HT_KSWIN1_F,0.916966916966917,0.83289473447205,00:08:40,10.63 MB,"[400048, 600023]"
