,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_1M_0,NoChange_basic_F,0.5604085604085605,0.10551983437425254,00:01:25,739 B,[]
1,agrawal1_abrupt_1M_0,MajClass_basic_F,0.5653855653855654,0.18537604410406136,00:01:28,845 B,[]
2,agrawal1_abrupt_1M_0,NB_basic_F,0.6247446247446248,0.27226812297003056,00:02:54,65.37 KB,[]
3,agrawal1_abrupt_1M_0,NB_ADWIN_F,0.7366617366617366,0.4604205584567587,00:05:02,74.92 KB,"[200831, 405023, 602975, 805599]"
4,agrawal1_abrupt_1M_0,NB_CUSUM_F,0.7376397376397377,0.4621959231301297,00:04:17,65.22 KB,"[183013, 200071, 226717, 247841, 279098, 294501, 300833, 305298, 309687, 326627, 400340, 470543, 495926, 525418, 546681, 600203, 628695, 641574, 728952, 785969, 800507, 921780, 936137]"
5,agrawal1_abrupt_1M_0,NB_DDM_F,0.7212357212357212,0.43088849544277463,00:04:21,125.59 KB,"[200156, 404054, 602957, 805798, 805837]"
6,agrawal1_abrupt_1M_0,NB_ECDD_F,0.718000718000718,0.4238630670806255,00:04:35,118.39 KB,"[139, 1870, 2746, 3930, 4776, 5496, 6749, 7115, 7648, 8742, 9329, 9623, 9877, 11015, 12031, 12265, 12686, 12855, 13716, 14520, 15980, 16039, 17645, 18184, 19176, 19790, 20571, 20819, 21252, 21355, 23147, 23187, 23878, 24064, 24394, 24872, 25940, 26511, 27509, 29901, 30206, 30247, 31013, 31778, 32602, 34558, 35219, 35490, 36393, 36517, 36983, 37332, 38187, 38588, 38759, 39354, 39700, 40045, 40397, 40793, 41568, 41789, 42348, 43222, 43751, 44420, 44923, 45719, 46733, 46980, 47244, 47745, 48214, 48363, 49054, 49133, 50184, 50845, 51188, 52535, 52611, 53024, 53782, 54143, 55063, 55592, 56166, 56719, 57224, 57825, 58213, 58474, 59319, 59537, 59885, 60245, 60410, 60904, 61686, 61775, 62684, 62798, 63133, 63379, 63559, 64041, 65583, 66496, 66820, 67197, 67605, 68267, 68640, 69326, 69811, 70050, 70436, 70817, 71867, 72397, 73158, 73536, 74175, 75292, 75797, 76287, 76394, 76777, 77164, 77608, 78175, 78627, 78894, 79537, 79680, 80587, 81232, 81680, 82010, 82645, 83048, 83382, 84175, 84661, 85457, 85821, 87430, 88200, 88619, 89935, 90748, 91531, 92578, 93363, 94446, 94861, 95315, 95455, 95766, 96278, 97349, 97546, 97815, 98567, 99035, 99901, 100902, 101273, 101695, 102273, 102680, 102964, 103474, 103880, 104520, 105207, 105924, 106404, 107089, 108218, 108579, 109517, 110291, 111149, 111555, 112228, 112863, 113439, 114471, 115624, 116052, 116598, 116720, 117685, 117825, 118829, 119232, 119851, 120331, 121241, 121523, 121786, 122565, 122950, 124257, 124491, 125420, 127285, 127702, 128532, 128895, 130176, 130787, 130895, 131371, 131765, 132180, 133150, 133313, 133504, 133680, 134680, 135159, 135211, 136470, 137054, 137462, 137788, 138648, 139453, 139790, 140027, 140598, 140847, 141107, 142204, 142726, 143869, 144000, 144513, 145616, 146226, 146599, 146922, 147156, 147466, 147753, 148425, 149094, 149458, 150159, 151068, 152058, 152856, 153512, 153662, 154058, 154501, 155856, 156615, 156946, 158138, 158871, 159211, 159778, 160949, 161075, 161650, 161743, 161927, 162236, 163440, 164300, 164786, 165357, 166421, 167023, 167219, 167435, 167884, 168440, 169031, 169092, 169217, 171036, 171499, 172316, 173118, 174228, 174808, 175377, 176293, 177503, 177799, 178698, 178908, 179159, 179844, 180528, 181287, 181805, 182110, 184213, 184774, 185162, 185373, 185687, 186303, 186990, 187537, 188476, 188796, 189897, 191305, 192534, 193171, 193672, 194061, 195422, 195975, 197362, 197949, 199576, 200003, 200430, 201278, 201592, 202178, 202913, 203060, 203728, 205141, 205645, 206132, 206735, 207354, 208061, 208350, 208890, 209270, 209877, 210193, 210404, 210953, 211820, 212526, 213250, 214256, 214462, 215267, 215670, 215987, 216746, 217747, 218079, 218848, 219240, 220348, 220534, 220881, 221999, 223330, 223570, 223863, 223931, 224860, 225900, 226796, 227224, 227575, 228329, 228366, 228952, 229709, 229801, 229930, 230019, 231028, 231360, 231404, 231552, 231872, 232105, 232570, 233049, 233229, 233307, 233618, 233960, 234026, 234117, 234560, 235191, 235252, 235586, 235800, 235975, 236333, 236696, 236956, 237216, 237772, 238218, 238598, 239673, 240159, 240745, 241031, 242410, 243171, 243607, 243780, 244042, 244255, 244411, 245718, 246981, 247555, 248446, 249073, 249501, 249805, 249948, 250078, 250250, 250498, 250812, 251391, 252681, 253963, 254964, 255841, 257131, 257594, 257857, 258820, 259727, 260272, 261425, 261692, 262649, 262996, 263130, 264026, 264556, 264862, 265122, 265606, 266176, 266487, 266848, 267508, 268556, 269930, 270450, 270820, 271280, 271765, 272072, 273006, 273617, 273867, 274103, 274494, 274761, 275022, 276285, 276777, 277402, 277517, 277837, 278572, 279758, 280360, 280605, 281103, 282297, 283625, 284279, 284490, 284856, 285154, 286428, 286702, 287039, 287459, 287621, 287848, 288731, 289210, 290042, 290955, 291728, 292266, 292589, 293109, 293446, 293867, 294075, 294241, 296045, 296578, 296901, 297349, 298378, 298710, 299792, 300445, 301222, 301698, 302149, 302423, 302624, 302777, 302814, 303247, 304133, 304379, 304961, 305262, 305393, 305940, 306215, 306291, 306447, 306705, 306960, 307392, 307636, 308046, 308249, 308428, 308699, 309596, 310555, 311837, 312604, 314085, 314603, 315203, 315782, 316071, 316445, 317748, 318348, 319625, 320686, 321131, 321407, 321812, 322176, 323267, 324378, 324741, 324960, 325140, 325890, 326522, 326648, 328254, 329205, 329643, 330451, 330831, 331281, 331489, 332307, 332441, 332592, 333825, 334586, 335511, 336072, 336458, 336766, 337251, 337428, 337820, 338075, 338293, 338814, 339350, 339585, 340023, 340885, 341157, 341398, 341567, 342610, 343349, 343736, 344212, 344744, 345947, 347036, 347313, 347476, 347700, 348301, 348639, 349472, 349751, 350114, 350459, 350791, 351577, 351968, 352285, 352494, 352692, 352889, 353185, 353660, 353861, 354121, 355448, 356207, 356668, 357848, 358338, 358593, 359109, 359217, 360810, 361492, 361709, 362101, 362286, 362765, 362985, 363482, 363822, 364288, 364428, 365476, 366246, 367116, 369217, 370086, 370770, 370929, 371294, 371483, 372156, 372755, 373176, 373543, 374082, 375049, 375520, 376017, 376424, 377503, 377803, 378457, 378770, 379489, 379771, 380912, 381990, 382683, 383124, 383292, 383466, 384134, 384650, 385090, 385954, 386401, 386540, 386655, 387417, 387707, 388073, 388368, 388803, 389312, 390576, 390985, 392169, 394415, 395050, 395100, 395396, 395657, 395825, 395934, 396367, 396936, 398015, 398417, 399012, 400012, 401997, 403898, 404584, 404989, 406684, 409515, 409898, 410371, 410699, 411360, 411902, 412551, 413690, 414691, 415965, 417588, 418602, 420542, 420767, 421450, 422370, 422984, 423497, 423952, 424782, 426981, 428701, 428885, 429730, 430619, 431300, 432525, 434319, 434832, 435392, 435650, 436017, 437070, 438487, 439264, 439701, 439786, 441572, 442673, 444251, 444912, 445949, 446455, 447117, 447929, 449224, 449947, 452000, 454483, 455267, 455674, 456147, 457528, 458594, 460188, 461149, 462847, 464137, 465320, 467576, 470263, 471311, 472393, 473429, 473915, 475674, 476253, 477742, 479878, 481094, 482601, 484043, 486141, 487602, 491655, 494463, 497363, 499346, 501150, 502343, 502729, 503322, 504899, 505574, 506810, 507863, 510175, 512468, 512963, 513181, 513683, 515539, 517398, 519088, 520601, 521624, 523237, 524310, 526984, 528549, 531857, 534466, 535560, 536384, 537045, 538036, 539449, 540136, 541095, 542159, 543311, 544960, 547348, 548522, 549048, 550917, 553012, 553437, 554342, 554908, 555738, 556366, 557166, 557844, 558815, 560431, 561217, 561370, 561544, 561752, 562547, 562681, 563831, 564893, 566102, 566770, 567043, 567613, 568071, 568395, 569050, 569459, 569625, 571259, 572120, 572872, 573651, 574282, 574960, 575978, 576645, 577742, 579097, 581220, 582820, 583635, 584607, 587670, 589128, 589675, 590445, 591285, 593776, 596292, 597160, 597813, 598410, 598577, 599415, 600037, 600150, 600569, 600641, 601039, 601282, 601411, 601790, 602153, 602184, 602733, 603497, 603725, 604498, 605463, 605987, 606213, 606687, 607258, 607715, 607866, 609026, 609562, 610121, 610465, 610680, 610952, 611058, 611243, 611895, 612186, 612527, 612789, 613278, 613753, 614329, 614993, 615332, 615926, 617626, 618792, 619040, 620048, 620184, 620452, 621182, 621813, 622269, 622609, 622926, 623339, 623612, 623730, 623969, 624089, 624228, 625519, 626136, 626529, 627092, 627382, 628104, 628371, 628724, 629340, 630176, 630689, 630844, 631403, 632337, 632772, 633307, 633961, 634972, 635561, 635949, 636335, 636956, 637272, 637502, 637690, 637923, 638007, 638176, 638453, 639231, 640169, 640242, 641031, 642109, 642538, 642799, 643080, 643235, 643424, 643751, 644122, 644179, 644514, 645128, 645719, 647214, 648430, 649033, 649500, 650416, 650826, 651562, 651964, 652103, 652396, 652964, 653274, 654411, 654691, 655138, 655951, 656440, 657273, 658137, 658393, 658699, 659076, 659530, 660212, 661228, 661642, 662879, 663459, 663688, 664615, 664933, 665190, 665609, 666080, 666252, 666497, 666672, 667246, 667507, 667875, 668194, 670048, 671196, 671797, 672995, 673811, 673891, 674712, 675590, 676246, 676604, 677337, 677791, 678833, 679525, 679852, 680224, 680803, 682071, 682529, 682980, 683026, 683409, 684424, 686407, 687054, 687597, 688627, 689816, 690794, 691493, 691889, 692596, 692844, 693286, 693463, 694128, 694714, 694922, 695200, 695718, 696231, 696885, 697370, 697893, 698853, 699648, 699790, 700759, 701893, 702101, 703782, 704785, 705089, 706017, 706963, 708246, 709600, 710175, 710412, 711028, 711384, 711769, 712132, 712369, 712982, 713097, 714049, 715176, 715844, 716342, 716554, 717133, 717645, 718157, 718348, 718598, 718767, 718818, 719175, 719925, 720240, 720663, 720959, 721224, 721813, 723275, 724000, 724406, 725105, 725475, 725650, 725815, 726316, 727438, 727565, 728404, 729745, 730473, 730952, 731397, 732183, 732560, 733665, 734609, 735920, 736310, 737176, 737288, 737679, 738294, 738933, 739620, 740509, 741395, 742053, 742513, 743102, 743246, 744233, 744799, 745324, 745901, 746589, 746993, 748234, 749940, 750626, 750790, 751512, 752359, 752735, 753040, 753359, 754029, 755165, 755576, 755984, 756396, 757151, 757805, 758049, 758790, 759334, 759633, 760383, 761085, 761417, 761884, 762287, 762681, 763548, 763798, 764144, 764262, 766379, 767512, 767800, 768310, 768751, 769216, 769714, 770145, 770234, 770517, 770762, 771109, 771436, 772251, 773134, 773545, 773859, 774028, 774380, 774480, 774606, 774956, 775533, 776041, 776953, 777746, 778520, 780530, 781038, 781799, 782345, 782494, 782995, 784422, 784912, 785084, 785873, 786188, 786290, 786660, 787349, 788200, 788384, 788805, 789444, 790621, 790865, 791302, 791473, 792530, 793109, 793875, 794374, 794610, 794895, 795080, 795282, 795396, 795592, 795963, 796584, 797330, 797808, 798575, 799050, 799372, 800110, 800541, 800788, 801332, 802115, 803092, 804508, 807366, 807696, 808625, 810376, 812823, 814397, 814922, 815046, 816324, 816918, 817195, 817634, 817873, 818310, 818548, 819030, 819618, 820302, 821448, 822287, 823669, 824758, 825427, 825980, 826115, 826301, 826662, 827042, 828234, 829030, 829722, 830227, 830741, 831356, 832197, 832615, 833094, 835017, 837122, 838120, 839420, 840294, 841395, 842198, 843509, 844157, 844401, 845308, 846864, 847530, 848104, 848353, 849203, 849905, 850465, 850688, 851318, 851559, 852302, 852935, 853482, 854096, 854669, 855878, 856377, 856876, 857188, 857810, 858351, 858571, 859784, 860029, 860501, 861911, 862835, 863495, 863592, 863991, 864614, 865535, 866531, 867336, 867596, 867831, 868452, 869797, 870017, 870212, 870635, 871441, 871960, 872981, 873753, 874578, 875994, 877034, 877511, 878373, 879157, 879967, 881295, 882286, 883698, 884232, 885269, 885849, 886154, 886396, 886566, 886818, 887390, 887541, 887638, 887946, 888022, 888292, 888801, 889690, 890142, 891622, 892306, 892692, 894659, 895604, 896551, 897537, 900288, 901246, 903268, 903801, 904318, 905014, 905555, 906184, 907352, 907932, 908270, 909032, 909995, 910592, 910930, 912074, 912664, 912747, 913326, 914310, 915051, 915615, 916241, 917219, 918632, 920420, 921396, 921902, 922194, 922504, 923250, 923767, 924197, 925159, 925587, 926018, 927151, 927855, 928930, 930011, 930823, 931602, 931979, 932961, 933958, 935321, 935969, 936757, 937488, 937976, 938720, 939057, 939388, 940437, 941437, 941907, 942317, 943330, 943630, 943908, 944726, 944954, 945397, 946493, 947441, 948509, 949051, 949732, 951330, 952227, 953587, 954235, 956736, 957171, 957953, 959297, 960010, 960644, 961731, 963656, 965028, 965985, 967082, 968068, 968759, 970389, 971369, 971643, 971911, 972975, 974225, 975437, 975708, 976372, 977256, 977723, 978901, 979320, 981587, 983234, 983929, 984151, 984842, 986387, 987097, 987621, 988290, 988487, 989035, 990093, 990765, 992741, 994343, 994984, 996162, 996567, 996766, 998588, 999920]"
7,agrawal1_abrupt_1M_0,NB_EDDM_F,0.6962336962336962,0.38889998804379344,00:04:16,127.05 KB,"[274, 454, 641, 1010, 2874, 4170, 5964, 8566, 9623, 13534, 13587, 208385, 208521, 209751, 209810, 209899, 210280, 210382, 421787, 421864, 421945, 422081, 422145, 422241, 422299, 422380, 422480, 422548, 422601, 422659]"
8,agrawal1_abrupt_1M_0,NB_GMA_F,0.6247446247446248,0.27226812297003056,00:04:17,64.39 KB,[]
9,agrawal1_abrupt_1M_0,NB_HDDMA_F,0.738063738063738,0.46319199097790265,00:04:37,126.79 KB,"[200429, 297359, 299649, 400712, 435513, 473941, 525407, 591568, 600260, 668942, 800221, 840325, 877038, 888022]"
