,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_ADWIN_F,0.724984724984725,0.440275654093049,00:27:01,7.83 MB,[]
1,agrawal1_gradual_1M_2,BOLE_ADWIN_F,0.7262217262217262,0.4426061227546397,00:27:00,8.47 MB,[]
2,agrawal1_gradual_1M_4,BOLE_ADWIN_F,0.7236977236977237,0.43769393049051514,00:27:03,8.37 MB,[]
3,agrawal1_gradual_1M_6,BOLE_ADWIN_F,0.7252027252027252,0.4402285847767886,00:27:51,8.76 MB,[]
4,agrawal1_gradual_1M_8,BOLE_ADWIN_F,0.7212157212157212,0.4318185876468505,00:27:12,8.3 MB,[]
5,agrawal1_gradual_1M_10,BOLE_ADWIN_F,0.7254177254177254,0.44095539040910364,00:27:19,1.7 MB,[]
6,agrawal1_gradual_1M_12,BOLE_ADWIN_F,0.7272417272417272,0.44429316259433504,00:27:14,4.64 MB,[]
7,agrawal1_gradual_1M_14,BOLE_ADWIN_F,0.7269067269067269,0.4441026886088335,00:27:17,6.59 MB,[]
8,agrawal1_gradual_1M_16,BOLE_ADWIN_F,0.7301767301767301,0.4501185008321497,00:26:50,6.56 MB,[]
9,agrawal1_gradual_1M_18,BOLE_ADWIN_F,0.7252987252987253,0.44054390598361653,00:26:33,8.54 MB,[]
