,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_ADWIN_F,0.7261957261957261,0.44255391246066844,00:40:20,7.14 MB,[]
1,agrawal1_gradual_1M_2,BOLE_ADWIN_F,0.7261627261627261,0.4425384499709079,00:39:29,8.96 MB,[]
2,agrawal1_gradual_1M_4,BOLE_ADWIN_F,0.7224137224137224,0.4346102235091255,00:36:56,6.45 MB,[]
3,agrawal1_gradual_1M_6,BOLE_ADWIN_F,0.7246217246217246,0.43953679950347685,00:36:05,6.91 MB,[]
4,agrawal1_gradual_1M_8,BOLE_ADWIN_F,0.7254847254847255,0.44078554413477283,00:38:15,6.4 MB,[]
5,agrawal1_gradual_1M_10,BOLE_ADWIN_F,0.7291147291147291,0.44808455418580434,00:39:04,6.97 MB,[]
6,agrawal1_gradual_1M_12,BOLE_ADWIN_F,0.7248607248607248,0.44011634558947593,00:39:05,6.06 MB,[]
7,agrawal1_gradual_1M_14,BOLE_ADWIN_F,0.7262327262327263,0.4419269598588003,00:38:27,7.43 MB,[]
8,agrawal1_gradual_1M_16,BOLE_ADWIN_F,0.7221437221437221,0.4340883756965175,00:39:12,2.74 MB,[]
9,agrawal1_gradual_1M_18,BOLE_ADWIN_F,0.7254367254367254,0.44107131217577267,00:39:01,9.38 MB,[]
