,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_basic_F,0.8924738924738925,0.781795649630624,00:26:30,1 GB,[]
1,agrawal1_gradual_1M_2,BOLE_basic_F,0.9033589033589033,0.8038467962603849,00:27:07,1.05 GB,[]
2,agrawal1_gradual_1M_4,BOLE_basic_F,0.8886788886788887,0.774203822840906,00:26:00,0.98 GB,[]
3,agrawal1_gradual_1M_6,BOLE_basic_F,0.9084709084709085,0.8141724891008233,00:25:27,0.99 GB,[]
4,agrawal1_gradual_1M_8,BOLE_basic_F,0.888989888989889,0.7748654949517199,00:25:21,1.06 GB,[]
5,agrawal1_gradual_1M_10,BOLE_basic_F,0.9156639156639157,0.8289134625720567,00:25:20,1.02 GB,[]
6,agrawal1_gradual_1M_12,BOLE_basic_F,0.9133799133799134,0.8243675449133601,00:25:37,1.01 GB,[]
7,agrawal1_gradual_1M_14,BOLE_basic_F,0.9024969024969025,0.8020630719144091,00:26:08,1.05 GB,[]
8,agrawal1_gradual_1M_16,BOLE_basic_F,0.8903718903718904,0.77761383215668,00:24:45,1.01 GB,[]
9,agrawal1_gradual_1M_18,BOLE_basic_F,0.9188689188689189,0.8354679734180828,00:20:06,1.09 GB,[]
