,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_CUSUM_F,0.806029806029806,0.606482557821165,00:21:18,6.48 MB,[]
1,agrawal1_gradual_1M_2,BOLE_CUSUM_F,0.8154638154638154,0.6256665429160961,00:20:56,8.74 MB,[]
2,agrawal1_gradual_1M_4,BOLE_CUSUM_F,0.81001081001081,0.6143235976973601,00:21:09,6.76 MB,[]
3,agrawal1_gradual_1M_6,BOLE_CUSUM_F,0.8065778065778065,0.6072421369285131,00:21:43,7.88 MB,[]
4,agrawal1_gradual_1M_8,BOLE_CUSUM_F,0.8045558045558046,0.6035582715504362,00:21:23,5.77 MB,[]
5,agrawal1_gradual_1M_10,BOLE_CUSUM_F,0.8023968023968024,0.598937143412315,00:21:24,4.28 MB,[]
6,agrawal1_gradual_1M_12,BOLE_CUSUM_F,0.8106978106978107,0.6156815643622979,00:21:06,8.03 MB,[]
7,agrawal1_gradual_1M_14,BOLE_CUSUM_F,0.8074268074268074,0.6090274651873558,00:21:27,7.71 MB,[]
8,agrawal1_gradual_1M_16,BOLE_CUSUM_F,0.8002948002948003,0.5950425941585652,00:21:13,9.38 MB,[]
9,agrawal1_gradual_1M_18,BOLE_CUSUM_F,0.823953823953824,0.6428993378279447,00:21:13,8.17 MB,[]
