,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_CUSUM_F,0.8036158036158036,0.6016297302149183,00:31:22,10.48 MB,[]
1,agrawal1_gradual_1M_2,BOLE_CUSUM_F,0.8141828141828141,0.6232999957031092,00:30:53,10.06 MB,[]
2,agrawal1_gradual_1M_4,BOLE_CUSUM_F,0.7967877967877968,0.5877248266809586,00:30:16,9.78 MB,[]
3,agrawal1_gradual_1M_6,BOLE_CUSUM_F,0.8245918245918246,0.6436910944516733,00:27:44,17.06 MB,[]
4,agrawal1_gradual_1M_8,BOLE_CUSUM_F,0.8190758190758191,0.632569434525964,00:27:49,4.55 MB,[]
5,agrawal1_gradual_1M_10,BOLE_CUSUM_F,0.8032878032878032,0.6010198333702699,00:29:28,9.07 MB,[]
6,agrawal1_gradual_1M_12,BOLE_CUSUM_F,0.7965097965097965,0.587790067423331,00:30:09,7.13 MB,[]
7,agrawal1_gradual_1M_14,BOLE_CUSUM_F,0.8083808083808084,0.6111935126861943,00:30:23,9.7 MB,[]
8,agrawal1_gradual_1M_16,BOLE_CUSUM_F,0.8066168066168066,0.6077964042202336,00:30:19,10.13 MB,[]
9,agrawal1_gradual_1M_18,BOLE_CUSUM_F,0.807004807004807,0.6084413225581341,00:29:42,6.91 MB,[]
