,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_DDM_F,0.8210898210898211,0.635582995026444,00:37:00,162.54 MB,[]
1,agrawal1_gradual_1M_2,BOLE_DDM_F,0.8112108112108112,0.6156466008352429,00:35:59,250.51 MB,[]
2,agrawal1_gradual_1M_4,BOLE_DDM_F,0.8236708236708237,0.6409505313927099,00:30:26,261.59 MB,[]
3,agrawal1_gradual_1M_6,BOLE_DDM_F,0.8305168305168306,0.6548243060988834,00:26:37,358.46 MB,[]
4,agrawal1_gradual_1M_8,BOLE_DDM_F,0.8153408153408154,0.6236250992852731,00:25:01,272.39 MB,[]
5,agrawal1_gradual_1M_10,BOLE_DDM_F,0.8399058399058399,0.6738051769692937,00:24:21,317.9 MB,[]
6,agrawal1_gradual_1M_12,BOLE_DDM_F,0.8128258128258128,0.6194868654480506,00:24:02,234.45 MB,[]
7,agrawal1_gradual_1M_14,BOLE_DDM_F,0.8440368440368441,0.6821312196289092,00:23:21,178.1 MB,[]
8,agrawal1_gradual_1M_16,BOLE_DDM_F,0.8457458457458458,0.6854205555527634,00:24:06,295.21 MB,[]
9,agrawal1_gradual_1M_18,BOLE_DDM_F,0.8376528376528376,0.668962161997403,00:24:26,331.02 MB,[]
