,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_DDM_F,0.8407228407228408,0.6755569467599268,00:38:13,316.28 MB,[]
1,agrawal1_gradual_1M_2,BOLE_DDM_F,0.8181908181908182,0.6307206326890357,00:37:56,404.12 MB,[]
2,agrawal1_gradual_1M_4,BOLE_DDM_F,0.8146698146698147,0.6225090349884643,00:35:13,235.23 MB,[]
3,agrawal1_gradual_1M_6,BOLE_DDM_F,0.843013843013843,0.6801124769459466,00:33:56,334.01 MB,[]
4,agrawal1_gradual_1M_8,BOLE_DDM_F,0.8045348045348045,0.601888589372082,00:35:24,219.05 MB,[]
5,agrawal1_gradual_1M_10,BOLE_DDM_F,0.818962818962819,0.6315958363480966,00:36:03,338.56 MB,[]
6,agrawal1_gradual_1M_12,BOLE_DDM_F,0.8728418728418729,0.7412676599086581,00:38:14,362.07 MB,[]
7,agrawal1_gradual_1M_14,BOLE_DDM_F,0.838989838989839,0.6716686804516918,00:37:10,368.37 MB,[]
8,agrawal1_gradual_1M_16,BOLE_DDM_F,0.8686288686288687,0.7325003651510044,00:36:01,264.09 MB,[]
9,agrawal1_gradual_1M_18,BOLE_DDM_F,0.8033168033168033,0.5997511220032714,00:37:57,362.98 MB,[]
