,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_ECDD_F,0.6799306799306799,0.35392128739208134,00:21:10,2.67 MB,[]
1,agrawal1_gradual_1M_2,BOLE_ECDD_F,0.6807426807426807,0.3554930136294817,00:21:16,2.52 MB,[]
2,agrawal1_gradual_1M_4,BOLE_ECDD_F,0.6814846814846814,0.3567305557965992,00:20:44,2.62 MB,[]
3,agrawal1_gradual_1M_6,BOLE_ECDD_F,0.6796366796366796,0.3533851737195079,00:20:49,3.42 MB,[]
4,agrawal1_gradual_1M_8,BOLE_ECDD_F,0.6790876790876791,0.3520900292110964,00:20:46,4.02 MB,[]
5,agrawal1_gradual_1M_10,BOLE_ECDD_F,0.6793336793336794,0.3524725317688429,00:20:51,3.57 MB,[]
6,agrawal1_gradual_1M_12,BOLE_ECDD_F,0.6812416812416813,0.35646308483889927,00:20:41,3.35 MB,[]
7,agrawal1_gradual_1M_14,BOLE_ECDD_F,0.6804466804466804,0.35505200739487847,00:20:38,2.5 MB,[]
8,agrawal1_gradual_1M_16,BOLE_ECDD_F,0.6785336785336785,0.351074659870671,00:20:20,3.47 MB,[]
9,agrawal1_gradual_1M_18,BOLE_ECDD_F,0.680974680974681,0.3559165717778189,00:20:18,2.54 MB,[]
