,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_ECDD_F,0.6797616797616798,0.35377846858785295,00:31:57,3.1 MB,[]
1,agrawal1_gradual_1M_2,BOLE_ECDD_F,0.6800606800606801,0.35450822201453464,00:31:29,3.45 MB,[]
2,agrawal1_gradual_1M_4,BOLE_ECDD_F,0.6795756795756795,0.3530408989766553,00:31:08,2.68 MB,[]
3,agrawal1_gradual_1M_6,BOLE_ECDD_F,0.6808706808706809,0.35566658829783915,00:29:06,2.67 MB,[]
4,agrawal1_gradual_1M_8,BOLE_ECDD_F,0.6788976788976789,0.35191046345646665,00:29:36,3.5 MB,[]
5,agrawal1_gradual_1M_10,BOLE_ECDD_F,0.6797356797356797,0.35343061263424486,00:31:34,3.38 MB,[]
6,agrawal1_gradual_1M_12,BOLE_ECDD_F,0.6812956812956813,0.3564848645768928,00:31:30,2.94 MB,[]
7,agrawal1_gradual_1M_14,BOLE_ECDD_F,0.6804826804826805,0.3549313844191173,00:31:41,2.57 MB,[]
8,agrawal1_gradual_1M_16,BOLE_ECDD_F,0.6834586834586834,0.36105704623989776,00:31:34,2.56 MB,[]
9,agrawal1_gradual_1M_18,BOLE_ECDD_F,0.6784506784506784,0.35104030738707886,00:30:57,2.61 MB,[]
