,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_EDDM_F,0.831041831041831,0.6561180335551335,00:24:49,190.5 MB,[]
1,agrawal1_gradual_1M_2,BOLE_EDDM_F,0.8168388168388169,0.6278524258056518,00:24:55,137.09 MB,[]
2,agrawal1_gradual_1M_4,BOLE_EDDM_F,0.8300408300408301,0.6543527721777737,00:25:14,182.65 MB,[]
3,agrawal1_gradual_1M_6,BOLE_EDDM_F,0.8106698106698107,0.6150985377047867,00:20:21,109.25 MB,[]
4,agrawal1_gradual_1M_8,BOLE_EDDM_F,0.8313898313898314,0.6567122916853513,00:18:50,65.41 MB,[]
5,agrawal1_gradual_1M_10,BOLE_EDDM_F,0.8194088194088194,0.6323512095443996,00:19:21,63.75 MB,[]
6,agrawal1_gradual_1M_12,BOLE_EDDM_F,0.8361348361348362,0.6668997421985164,00:19:26,120.29 MB,[]
7,agrawal1_gradual_1M_14,BOLE_EDDM_F,0.8130348130348131,0.6194083884333397,00:20:36,161.46 MB,[]
8,agrawal1_gradual_1M_16,BOLE_EDDM_F,0.8335218335218335,0.6609168312498472,00:19:25,99.09 MB,[]
9,agrawal1_gradual_1M_18,BOLE_EDDM_F,0.8315798315798316,0.6569020014106333,00:19:25,136.35 MB,[]
