,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_EDDM_F,0.8307298307298308,0.6554655996224023,00:31:48,243.16 MB,[]
1,agrawal1_gradual_1M_2,BOLE_EDDM_F,0.806086806086806,0.6059454500822723,00:31:23,170.16 MB,[]
2,agrawal1_gradual_1M_4,BOLE_EDDM_F,0.8340568340568341,0.6622768889150992,00:30:26,216.01 MB,[]
3,agrawal1_gradual_1M_6,BOLE_EDDM_F,0.8031718031718031,0.5997910651808002,00:27:49,100.85 MB,[]
4,agrawal1_gradual_1M_8,BOLE_EDDM_F,0.8204458204458205,0.6350696442003739,00:27:12,64.05 MB,[]
5,agrawal1_gradual_1M_10,BOLE_EDDM_F,0.8183138183138183,0.6298048374730816,00:29:38,170.7 MB,[]
6,agrawal1_gradual_1M_12,BOLE_EDDM_F,0.8077218077218077,0.6089079143324971,00:30:36,149.82 MB,[]
7,agrawal1_gradual_1M_14,BOLE_EDDM_F,0.8329228329228329,0.6601535847035004,00:30:17,163.03 MB,[]
8,agrawal1_gradual_1M_16,BOLE_EDDM_F,0.8205768205768206,0.6349351490646767,00:30:19,85.63 MB,[]
9,agrawal1_gradual_1M_18,BOLE_EDDM_F,0.8199238199238199,0.632929581338771,00:30:51,85.16 MB,[]
