,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_GMA_F,0.9165829165829166,0.8308647083537128,00:22:38,1.02 GB,[]
1,agrawal1_gradual_1M_2,BOLE_GMA_F,0.8906688906688907,0.7786384255489652,00:23:21,1.09 GB,[]
2,agrawal1_gradual_1M_4,BOLE_GMA_F,0.8854998854998855,0.7676681544552542,00:23:26,1.02 GB,[]
3,agrawal1_gradual_1M_6,BOLE_GMA_F,0.9021369021369021,0.8013615298908621,00:23:24,1 GB,[]
4,agrawal1_gradual_1M_8,BOLE_GMA_F,0.9011699011699011,0.7995275668577692,00:23:00,1.13 GB,[]
5,agrawal1_gradual_1M_10,BOLE_GMA_F,0.8848868848868849,0.766518785676636,00:23:54,0.99 GB,[]
6,agrawal1_gradual_1M_12,BOLE_GMA_F,0.899000899000899,0.7952242904021933,00:24:12,1.03 GB,[]
7,agrawal1_gradual_1M_14,BOLE_GMA_F,0.8996028996028996,0.7961849202432281,00:24:24,1.04 GB,[]
8,agrawal1_gradual_1M_16,BOLE_GMA_F,0.8821688821688821,0.7611847137169703,00:24:56,1.03 GB,[]
9,agrawal1_gradual_1M_18,BOLE_GMA_F,0.9041119041119041,0.8053966660199301,00:22:59,1.08 GB,[]
