,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_HDDMA_F,0.7474417474417474,0.4889834067491118,00:35:08,4.06 MB,[]
1,agrawal1_gradual_1M_2,BOLE_HDDMA_F,0.7469267469267469,0.4875052069733801,00:29:41,3.54 MB,[]
2,agrawal1_gradual_1M_4,BOLE_HDDMA_F,0.7557797557797558,0.5062884564462894,00:25:15,3.72 MB,[]
3,agrawal1_gradual_1M_6,BOLE_HDDMA_F,0.7695927695927696,0.534030422842245,00:24:38,2.76 MB,[]
4,agrawal1_gradual_1M_8,BOLE_HDDMA_F,0.7747527747527747,0.544262387256897,00:24:59,4.37 MB,[]
5,agrawal1_gradual_1M_10,BOLE_HDDMA_F,0.7508997508997509,0.49596798294045397,00:24:44,3.34 MB,[]
6,agrawal1_gradual_1M_12,BOLE_HDDMA_F,0.7437617437617438,0.4810749229371531,00:24:38,3.3 MB,[]
7,agrawal1_gradual_1M_14,BOLE_HDDMA_F,0.7389157389157389,0.47196727671218514,00:24:59,3.93 MB,[]
8,agrawal1_gradual_1M_16,BOLE_HDDMA_F,0.7588597588597589,0.5122093211563211,00:25:00,2.97 MB,[]
9,agrawal1_gradual_1M_18,BOLE_HDDMA_F,0.7443477443477443,0.48299826202340157,00:24:14,3.99 MB,[]
