,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_HDDMW_F,0.7504117504117505,0.4969150988412472,00:34:59,2.99 MB,[]
1,agrawal1_gradual_1M_2,BOLE_HDDMW_F,0.7661527661527662,0.5284593813652235,00:29:22,2.85 MB,[]
2,agrawal1_gradual_1M_4,BOLE_HDDMW_F,0.7334767334767335,0.4621602107696038,00:25:15,2.17 MB,[]
3,agrawal1_gradual_1M_6,BOLE_HDDMW_F,0.7611007611007611,0.518419022101346,00:25:10,2.12 MB,[]
4,agrawal1_gradual_1M_8,BOLE_HDDMW_F,0.7632887632887633,0.5227956229406375,00:25:04,2.97 MB,[]
5,agrawal1_gradual_1M_10,BOLE_HDDMW_F,0.7561867561867562,0.5087053631926562,00:25:14,2.23 MB,[]
6,agrawal1_gradual_1M_12,BOLE_HDDMW_F,0.7716727716727717,0.539897910377199,00:24:47,3.02 MB,[]
7,agrawal1_gradual_1M_14,BOLE_HDDMW_F,0.7421427421427421,0.4802277337980587,00:25:27,2.72 MB,[]
8,agrawal1_gradual_1M_16,BOLE_HDDMW_F,0.7607657607657607,0.5179021240280488,00:24:17,2.15 MB,[]
9,agrawal1_gradual_1M_18,BOLE_HDDMW_F,0.7639337639337639,0.5240101197229114,00:24:16,2.16 MB,[]
