,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_HDDMW_F,0.7618517618517618,0.5199848899825531,00:34:21,2.16 MB,[]
1,agrawal1_gradual_1M_2,BOLE_HDDMW_F,0.7315797315797316,0.45805843447028366,00:33:07,2.13 MB,[]
2,agrawal1_gradual_1M_4,BOLE_HDDMW_F,0.7462677462677463,0.4883064355831806,00:33:14,2.09 MB,[]
3,agrawal1_gradual_1M_6,BOLE_HDDMW_F,0.7451077451077451,0.48605318560847555,00:33:18,4.16 MB,[]
4,agrawal1_gradual_1M_8,BOLE_HDDMW_F,0.7577327577327577,0.5113282213391019,00:32:44,2.96 MB,[]
5,agrawal1_gradual_1M_10,BOLE_HDDMW_F,0.756949756949757,0.510065646587606,00:33:53,2.26 MB,[]
6,agrawal1_gradual_1M_12,BOLE_HDDMW_F,0.7498347498347498,0.49588501182583816,00:33:32,3.19 MB,[]
7,agrawal1_gradual_1M_14,BOLE_HDDMW_F,0.7558187558187558,0.5077059017726473,00:31:31,2.27 MB,[]
8,agrawal1_gradual_1M_16,BOLE_HDDMW_F,0.7603017603017603,0.516659218438833,00:23:15,2.17 MB,[]
9,agrawal1_gradual_1M_18,BOLE_HDDMW_F,0.7626547626547626,0.5217394541532777,00:23:05,2.96 MB,[]
