,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_PH_F,0.8261698261698261,0.646780165639266,00:30:43,23.92 MB,[]
1,agrawal1_gradual_1M_2,BOLE_PH_F,0.8183898183898184,0.6310876525684256,00:30:26,50.16 MB,[]
2,agrawal1_gradual_1M_4,BOLE_PH_F,0.8203158203158203,0.6345972706713578,00:29:44,12.99 MB,[]
3,agrawal1_gradual_1M_6,BOLE_PH_F,0.8282968282968283,0.6499511895847491,00:29:10,33.06 MB,[]
4,agrawal1_gradual_1M_8,BOLE_PH_F,0.8473638473638474,0.6891259060701266,00:29:06,72.74 MB,[]
5,agrawal1_gradual_1M_10,BOLE_PH_F,0.8327138327138327,0.6598279772883824,00:29:58,38.32 MB,[]
6,agrawal1_gradual_1M_12,BOLE_PH_F,0.8303268303268303,0.6549357280589408,00:29:38,37.87 MB,[]
7,agrawal1_gradual_1M_14,BOLE_PH_F,0.8423158423158423,0.6793853517311427,00:26:20,17.75 MB,[]
8,agrawal1_gradual_1M_16,BOLE_PH_F,0.8292108292108292,0.6530687626737233,00:21:09,21.3 MB,[]
9,agrawal1_gradual_1M_18,BOLE_PH_F,0.8341108341108341,0.6628304799542493,00:20:52,19.71 MB,[]
