,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_RDDM_F,0.806966806966807,0.6088100050599385,00:23:29,5.79 MB,[]
1,agrawal1_gradual_1M_2,BOLE_RDDM_F,0.8007478007478007,0.596590980506061,00:23:54,7.82 MB,[]
2,agrawal1_gradual_1M_4,BOLE_RDDM_F,0.7997877997877998,0.5944145858830286,00:23:24,4.73 MB,[]
3,agrawal1_gradual_1M_6,BOLE_RDDM_F,0.7993487993487993,0.5937222458421609,00:23:25,6.29 MB,[]
4,agrawal1_gradual_1M_8,BOLE_RDDM_F,0.7915007915007916,0.5778631642085147,00:23:28,7.19 MB,[]
5,agrawal1_gradual_1M_10,BOLE_RDDM_F,0.8035868035868036,0.6021463006830329,00:23:29,3.86 MB,[]
6,agrawal1_gradual_1M_12,BOLE_RDDM_F,0.7988217988217988,0.5931489201078209,00:23:34,7.27 MB,[]
7,agrawal1_gradual_1M_14,BOLE_RDDM_F,0.8126768126768127,0.6204103035598632,00:23:11,13.19 MB,[]
8,agrawal1_gradual_1M_16,BOLE_RDDM_F,0.8013128013128014,0.5974462714797254,00:23:17,11.29 MB,[]
9,agrawal1_gradual_1M_18,BOLE_RDDM_F,0.7942527942527943,0.5836733062178133,00:22:55,6.01 MB,[]
