,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_RDDM_F,0.8033728033728034,0.6022265260564559,00:29:07,6.02 MB,[]
1,agrawal1_gradual_1M_2,BOLE_RDDM_F,0.797028797028797,0.5890846269626272,00:28:46,7.78 MB,[]
2,agrawal1_gradual_1M_4,BOLE_RDDM_F,0.8105798105798105,0.6160425369911103,00:27:22,6.31 MB,[]
3,agrawal1_gradual_1M_6,BOLE_RDDM_F,0.7986047986047986,0.5928099028558053,00:26:31,5.61 MB,[]
4,agrawal1_gradual_1M_8,BOLE_RDDM_F,0.8029528029528029,0.6008578335651388,00:26:16,5.19 MB,[]
5,agrawal1_gradual_1M_10,BOLE_RDDM_F,0.7950767950767951,0.5850189209047789,00:26:11,8.7 MB,[]
6,agrawal1_gradual_1M_12,BOLE_RDDM_F,0.795051795051795,0.5850266408224576,00:26:04,7.19 MB,[]
7,agrawal1_gradual_1M_14,BOLE_RDDM_F,0.8041498041498042,0.6033122800490852,00:25:05,4.12 MB,[]
8,agrawal1_gradual_1M_16,BOLE_RDDM_F,0.7895237895237895,0.5741090035873445,00:21:04,6.11 MB,[]
9,agrawal1_gradual_1M_18,BOLE_RDDM_F,0.8019528019528019,0.5993607597848621,00:20:26,5.26 MB,[]
