,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_STEPD_F,0.7016637016637016,0.3957870143339834,00:35:40,3.05 MB,[]
1,agrawal1_gradual_1M_2,BOLE_STEPD_F,0.7022397022397022,0.3969684281257166,00:34:54,2.91 MB,[]
2,agrawal1_gradual_1M_4,BOLE_STEPD_F,0.7031137031137031,0.39846597712807025,00:36:01,2.84 MB,[]
3,agrawal1_gradual_1M_6,BOLE_STEPD_F,0.7059097059097059,0.4040902096049669,00:35:56,3.07 MB,[]
4,agrawal1_gradual_1M_8,BOLE_STEPD_F,0.6994956994956995,0.39159448722752455,00:35:32,2.86 MB,[]
5,agrawal1_gradual_1M_10,BOLE_STEPD_F,0.6962326962326962,0.38541751899136256,00:34:52,2.95 MB,[]
6,agrawal1_gradual_1M_12,BOLE_STEPD_F,0.6999556999557,0.39262636783933746,00:35:32,3.27 MB,[]
7,agrawal1_gradual_1M_14,BOLE_STEPD_F,0.7058437058437058,0.4036644937844688,00:34:52,2.96 MB,[]
8,agrawal1_gradual_1M_16,BOLE_STEPD_F,0.7008177008177008,0.394484966290205,00:34:29,3.02 MB,[]
9,agrawal1_gradual_1M_18,BOLE_STEPD_F,0.6893576893576894,0.371496898346917,00:34:55,2.54 MB,[]
