,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,BOLE_STEPD_F,0.7007107007107007,0.39430288969356264,00:48:15,2.81 MB,[]
1,agrawal1_gradual_1M_2,BOLE_STEPD_F,0.7004397004397004,0.3936419636468871,00:48:31,2.79 MB,[]
2,agrawal1_gradual_1M_4,BOLE_STEPD_F,0.7074107074107074,0.40696063724978065,00:48:48,3.74 MB,[]
3,agrawal1_gradual_1M_6,BOLE_STEPD_F,0.6908046908046908,0.37448856831141647,00:48:03,3.55 MB,[]
4,agrawal1_gradual_1M_8,BOLE_STEPD_F,0.7052277052277053,0.4026859555775647,00:47:38,2.87 MB,[]
5,agrawal1_gradual_1M_10,BOLE_STEPD_F,0.6898856898856899,0.3728839766031947,00:36:49,2.62 MB,[]
6,agrawal1_gradual_1M_12,BOLE_STEPD_F,0.7032867032867033,0.3994072333302598,00:36:04,2.85 MB,[]
7,agrawal1_gradual_1M_14,BOLE_STEPD_F,0.713983713983714,0.41912099073833875,00:36:44,3.02 MB,[]
8,agrawal1_gradual_1M_16,BOLE_STEPD_F,0.7063257063257063,0.4046728184826343,00:35:35,2.79 MB,[]
9,agrawal1_gradual_1M_18,BOLE_STEPD_F,0.6976086976086976,0.387957980945103,00:35:41,2.9 MB,[]
