,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_1M_0,NoChange_basic_F,0.5603055603055603,0.10532191328268302,00:01:30,659 B,[]
1,agrawal1_gradual_1M_0,MajClass_basic_F,0.5653585653585653,0.18532064080798036,00:01:34,765 B,[]
2,agrawal1_gradual_1M_0,NB_basic_F,0.6247326247326247,0.27224433962360634,00:02:59,61.83 KB,[]
3,agrawal1_gradual_1M_0,NB_ADWIN_F,0.7365687365687366,0.4602610800908667,00:05:13,74.55 KB,"[200863, 405023, 603103, 805759]"
4,agrawal1_gradual_1M_0,NB_CUSUM_F,0.7372587372587373,0.4613940776769896,00:04:21,64.88 KB,"[183013, 199995, 226751, 247854, 279110, 294514, 299394, 311883, 316186, 318715, 334722, 400380, 470567, 495954, 525446, 546709, 600194, 628766, 636845, 733840, 786028, 800576, 921838, 936193]"
5,agrawal1_gradual_1M_0,NB_DDM_F,0.732980732980733,0.45122171791633164,00:04:24,125.28 KB,"[200143, 200433, 427294, 601390, 601498, 817370, 818243]"
6,agrawal1_gradual_1M_0,NB_ECDD_F,0.7177087177087177,0.42347372164857094,00:04:34,118.65 KB,"[139, 1870, 2746, 3930, 4776, 5496, 6749, 7115, 7648, 8742, 9329, 9623, 9877, 11015, 12031, 12265, 12686, 12855, 13716, 14520, 15980, 16039, 17645, 18184, 19176, 19790, 20571, 20819, 21252, 21355, 23147, 23187, 23878, 24064, 24394, 24872, 25940, 26511, 27509, 29901, 30206, 30247, 31013, 31778, 32602, 34558, 35219, 35490, 36393, 36517, 36983, 37332, 38187, 38588, 38759, 39354, 39700, 40045, 40397, 40793, 41568, 41789, 42348, 43222, 43751, 44420, 44923, 45719, 46733, 46980, 47244, 47745, 48214, 48363, 49054, 49133, 50184, 50845, 51188, 52535, 52611, 53024, 53782, 54143, 55063, 55592, 56166, 56719, 57224, 57825, 58213, 58474, 59319, 59537, 59885, 60245, 60410, 60904, 61686, 61775, 62684, 62798, 63133, 63379, 63559, 64041, 65583, 66496, 66820, 67197, 67605, 68267, 68640, 69326, 69811, 70050, 70436, 70817, 71867, 72397, 73158, 73536, 74175, 75292, 75797, 76287, 76394, 76777, 77164, 77608, 78175, 78627, 78894, 79537, 79680, 80587, 81232, 81680, 82010, 82645, 83048, 83382, 84175, 84661, 85457, 85821, 87430, 88200, 88619, 89935, 90748, 91531, 92578, 93363, 94446, 94861, 95315, 95455, 95766, 96278, 97349, 97546, 97815, 98567, 99035, 99901, 100902, 101273, 101695, 102273, 102680, 102964, 103474, 103880, 104520, 105207, 105924, 106404, 107089, 108218, 108579, 109517, 110291, 111149, 111555, 112228, 112863, 113439, 114471, 115624, 116052, 116598, 116720, 117685, 117825, 118829, 119232, 119851, 120331, 121241, 121523, 121786, 122565, 122950, 124257, 124491, 125420, 127285, 127702, 128532, 128895, 130176, 130787, 130895, 131371, 131765, 132180, 133150, 133313, 133504, 133680, 134680, 135159, 135211, 136470, 137054, 137462, 137788, 138648, 139453, 139790, 140027, 140598, 140847, 141107, 142204, 142726, 143869, 144000, 144513, 145616, 146226, 146599, 146922, 147156, 147466, 147753, 148425, 149094, 149458, 150159, 151068, 152058, 152856, 153512, 153662, 154058, 154501, 155856, 156615, 156946, 158138, 158871, 159211, 159778, 160949, 161075, 161650, 161743, 161927, 162236, 163440, 164300, 164786, 165357, 166421, 167023, 167219, 167435, 167884, 168440, 169031, 169092, 169217, 171036, 171499, 172316, 173118, 174228, 174808, 175377, 176293, 177503, 177799, 178698, 178908, 179159, 179844, 180528, 181287, 181805, 182110, 184213, 184774, 185162, 185373, 185687, 186303, 186990, 187537, 188476, 188796, 189897, 191305, 192534, 193171, 193672, 194061, 195422, 195975, 197362, 197949, 199580, 199921, 200442, 200881, 201292, 202193, 202522, 203068, 203845, 205246, 205820, 206925, 207657, 207877, 208471, 209284, 209541, 209727, 209892, 210212, 210501, 210967, 211272, 211834, 212540, 212737, 213227, 213398, 214040, 215281, 216064, 216428, 217761, 218092, 218385, 218862, 219252, 219626, 220362, 221422, 221889, 222056, 222633, 222916, 223025, 223593, 224997, 225444, 225749, 226066, 226418, 227336, 227606, 228343, 228647, 228966, 229723, 230346, 230523, 230707, 231041, 231322, 231560, 231887, 232355, 232525, 232981, 233629, 233846, 234271, 234801, 235205, 235756, 236409, 236709, 236970, 237230, 237383, 237786, 237882, 238232, 238867, 239688, 240175, 241878, 242859, 243231, 243621, 244055, 244270, 244335, 244531, 246121, 246880, 247529, 248329, 249087, 249370, 249519, 249819, 250269, 250512, 250787, 251153, 251407, 251595, 252082, 253041, 253282, 253476, 253797, 254312, 254542, 254758, 255660, 257145, 257608, 257700, 257872, 258835, 259741, 259935, 260424, 260961, 261137, 261388, 261904, 263008, 263150, 264040, 264570, 264663, 264877, 265136, 265619, 266078, 266687, 266864, 267187, 267629, 268381, 269221, 269506, 269768, 269941, 270456, 271425, 271884, 272219, 272932, 273859, 274923, 275949, 276271, 276461, 276573, 276793, 277173, 277856, 278442, 278592, 278699, 279081, 279913, 280696, 281116, 281345, 281808, 282283, 282627, 282994, 283427, 283639, 283945, 284437, 285852, 286352, 287066, 287449, 287635, 287862, 288745, 290056, 290716, 290928, 291197, 291742, 291903, 291991, 292279, 292419, 293123, 293559, 294089, 294261, 296059, 296592, 296915, 297364, 297898, 298957, 299662, 299843, 300458, 301236, 301539, 301713, 301987, 302171, 302691, 303261, 304147, 304416, 305168, 305485, 305665, 306461, 307325, 307890, 308443, 308713, 309610, 310625, 311201, 311848, 312092, 312498, 314099, 314614, 314797, 315468, 315796, 317761, 319639, 320700, 321145, 321531, 322235, 323281, 324469, 324755, 324973, 325090, 325904, 326535, 326632, 326948, 327436, 327735, 327833, 328530, 328967, 329759, 329950, 330571, 330821, 331352, 331386, 332321, 333695, 333928, 334048, 334541, 334761, 335015, 335525, 336326, 336768, 337193, 337830, 337981, 338307, 338890, 339364, 339599, 340038, 341414, 341940, 342624, 343363, 343749, 344226, 344758, 345961, 347050, 347498, 348015, 348316, 348652, 348979, 349180, 349337, 349466, 349764, 350128, 350698, 351793, 352234, 352707, 352903, 353199, 353674, 354072, 354473, 355392, 355564, 355968, 356876, 357433, 358648, 359125, 359452, 360089, 360523, 360824, 361100, 361506, 362301, 362779, 363041, 363495, 364207, 364304, 365490, 366259, 366425, 366845, 367129, 367785, 368485, 368981, 369236, 370573, 372170, 373017, 373556, 374096, 375063, 375834, 377304, 378470, 379017, 379960, 380571, 380986, 381282, 381812, 382006, 383029, 383305, 383552, 384148, 384574, 385105, 385968, 386205, 386642, 387431, 387723, 388087, 388382, 388817, 389326, 389647, 390647, 390996, 391029, 391593, 392183, 392525, 393516, 394783, 395409, 395688, 395948, 396381, 396950, 397313, 397833, 398132, 398915, 399117, 399387, 400015, 401424, 403983, 404999, 406199, 406844, 409927, 411389, 412186, 413478, 414718, 414928, 415261, 416797, 417801, 418630, 419146, 421159, 422525, 423829, 426191, 427917, 428071, 429028, 430175, 430505, 431945, 432692, 433323, 433476, 433897, 435413, 436316, 436987, 438516, 439088, 439469, 440666, 441387, 441877, 442493, 442609, 443212, 446444, 449777, 452652, 454609, 455293, 456511, 457754, 457807, 458632, 460284, 460810, 461545, 462291, 462877, 464164, 465110, 466426, 467605, 470291, 471345, 471743, 472617, 473456, 473938, 476281, 476822, 478008, 479907, 481121, 483553, 485531, 485964, 486989, 489869, 490016, 490240, 490795, 491687, 492269, 492657, 493293, 494245, 497395, 499374, 502870, 505313, 506586, 507537, 508766, 510046, 511543, 514032, 516163, 516754, 518215, 519113, 519939, 520450, 520547, 521654, 523265, 524149, 525331, 526140, 527131, 528577, 530636, 530983, 531884, 534416, 535470, 535857, 536992, 537730, 538563, 539038, 540134, 541440, 542046, 542093, 542881, 543962, 544618, 545673, 547632, 548935, 550507, 551595, 553643, 554415, 555309, 555897, 556394, 556774, 557710, 557886, 558671, 558807, 559338, 560656, 561246, 561769, 562304, 562692, 563859, 564921, 566317, 567506, 568100, 568422, 570209, 572147, 573679, 574989, 577115, 578136, 578676, 579868, 582064, 583172, 583306, 583754, 584570, 584611, 585453, 587698, 589157, 589235, 589603, 590474, 591591, 593547, 595625, 596991, 597841, 598438, 599899, 600683, 601078, 601324, 602195, 603148, 603637, 604075, 604939, 606029, 607076, 607545, 607909, 609068, 609603, 609789, 610163, 610719, 610795, 611101, 611578, 612569, 613321, 614371, 615035, 615094, 615375, 615968, 616457, 617868, 618813, 620272, 620876, 621298, 622714, 623558, 624131, 624614, 625561, 626480, 627140, 627424, 628146, 628413, 628766, 629033, 629368, 629797, 630218, 630731, 630886, 631445, 632379, 632814, 633349, 634003, 634346, 634829, 635006, 635603, 636377, 636822, 637411, 637983, 638059, 638221, 638495, 639273, 639714, 640211, 642151, 643242, 643355, 644113, 644298, 644556, 645169, 645479, 645538, 646149, 647256, 647478, 647578, 647957, 648097, 648903, 649543, 650458, 650868, 651604, 652007, 652145, 652438, 652639, 652701, 653006, 653224, 654910, 655691, 656773, 656877, 657067, 657355, 657535, 657780, 657944, 658208, 658744, 659118, 659572, 660254, 660987, 661684, 662921, 663286, 663730, 664657, 664975, 665232, 665651, 666122, 666375, 666539, 666714, 666892, 667684, 668450, 669224, 670089, 670354, 670639, 671238, 671839, 673037, 673852, 674754, 675486, 675632, 676646, 677874, 678875, 680073, 680846, 681602, 682185, 682471, 682653, 682939, 683558, 683932, 684071, 684212, 684464, 686449, 687096, 687639, 688669, 689858, 690292, 690836, 691593, 691794, 692885, 693328, 693620, 693868, 694020, 694170, 694756, 694964, 695242, 695760, 696273, 696927, 697412, 697686, 697901, 698895, 699690, 699864, 700111, 700325, 701220, 701671, 701849, 702834, 703824, 704812, 705131, 706059, 707002, 708289, 708694, 710595, 711425, 711811, 712570, 714090, 714846, 714961, 715161, 715271, 715886, 716383, 716486, 717175, 717486, 717578, 717878, 718796, 718939, 719217, 719967, 720282, 720428, 720856, 721288, 721559, 721666, 721855, 723317, 724042, 724448, 725147, 725517, 725692, 725858, 726358, 727480, 727745, 728185, 728703, 729786, 730076, 730200, 730524, 730994, 731276, 731837, 732502, 733288, 733971, 734651, 734816, 735962, 736513, 737219, 737329, 737721, 738336, 738975, 739568, 739658, 740064, 740551, 741438, 742095, 742393, 742610, 742871, 743338, 743703, 744275, 744385, 744501, 744853, 745366, 745642, 746684, 747170, 747523, 747701, 747905, 749912, 750667, 751553, 751652, 752401, 752777, 752943, 753400, 753815, 754445, 755806, 756024, 757846, 758616, 758890, 759376, 759675, 759784, 760522, 761127, 761623, 761926, 762326, 762723, 763590, 763844, 764520, 765285, 765525, 766421, 767066, 767367, 767554, 767842, 768352, 768793, 769258, 769756, 770346, 770805, 771151, 771477, 772944, 773386, 773587, 773902, 774294, 774869, 774997, 775575, 776086, 776513, 777599, 778277, 779324, 779818, 780296, 780465, 781123, 781840, 783055, 783769, 784142, 785085, 785631, 785917, 786232, 786671, 787263, 787392, 787659, 788113, 788242, 788669, 788847, 789221, 789487, 790731, 791342, 792222, 793151, 793917, 794538, 794693, 794937, 795122, 795436, 795558, 796005, 796274, 796626, 796838, 796972, 797371, 797850, 798616, 799092, 799415, 800108, 800594, 800843, 802012, 803148, 804564, 807422, 807752, 808681, 810432, 812879, 814453, 814978, 815103, 816380, 817251, 817928, 818366, 818604, 819086, 819674, 820358, 821504, 822343, 823725, 824814, 825483, 826036, 826171, 826357, 826718, 827098, 828290, 829086, 829778, 830283, 830797, 831412, 832253, 832671, 833150, 835073, 837178, 838176, 839476, 840350, 841451, 842254, 843565, 844213, 844457, 845364, 846920, 847586, 848160, 848409, 849259, 849961, 850521, 850744, 851374, 851615, 852358, 852991, 853538, 854152, 854725, 855934, 856433, 856932, 857244, 857866, 858407, 858627, 859840, 860085, 860557, 861967, 862891, 863551, 863648, 864047, 864670, 865591, 866587, 867392, 867652, 867887, 868508, 869853, 870073, 870268, 870691, 871497, 872016, 873037, 873809, 874634, 876050, 877090, 877567, 878429, 879213, 880023, 881351, 882342, 883754, 884288, 885325, 885905, 886210, 886452, 886622, 886874, 887446, 887597, 887694, 888002, 888078, 888348, 888857, 889746, 890198, 891678, 892362, 892748, 894715, 895660, 896607, 897593, 900344, 901302, 903324, 903857, 904374, 905070, 905611, 906240, 907408, 907988, 908326, 909088, 910051, 910648, 910986, 912130, 912720, 912803, 913382, 914366, 915107, 915671, 916297, 917275, 918688, 920476, 921452, 921958, 922250, 922560, 923306, 923823, 924253, 925215, 925643, 926074, 927207, 927911, 928986, 930067, 930879, 931658, 932035, 933017, 934014, 935377, 936025, 936813, 937544, 938032, 938776, 939113, 939444, 940493, 941493, 941963, 942373, 943386, 943686, 943964, 944782, 945010, 945453, 946549, 947497, 948565, 949107, 949788, 951386, 952283, 953643, 954291, 956792, 957227, 958009, 959353, 960066, 960700, 961787, 963712, 965084, 966041, 967138, 968124, 968815, 970445, 971425, 971699, 971967, 973031, 974281, 975493, 975764, 976428, 977312, 977779, 978957, 979376, 981643, 983290, 983985, 984207, 984898, 986443, 987153, 987677, 988346, 988543, 989091, 990149, 990821, 992797, 994399, 995040, 996218, 996623, 996822, 998644, 999976]"
7,agrawal1_gradual_1M_0,NB_EDDM_F,0.7192657192657192,0.42863833817965596,00:04:15,127.56 KB,"[274, 454, 641, 1010, 2874, 4170, 5964, 8566, 9623, 13534, 13587, 208315, 208438, 208531, 209657, 209713, 209779, 209882, 209933, 210529, 210659, 210751, 210832, 210931, 223117, 423951, 426262, 426383, 426466, 426528, 426588, 426661, 426745, 426807, 426880, 427075, 427121, 427247, 427348, 630356, 630431, 630541, 632150, 632199, 635141, 635192, 635286, 711975, 712105, 712174, 715876, 715971, 716224, 716433]"
8,agrawal1_gradual_1M_0,NB_GMA_F,0.6247326247326247,0.27224433962360634,00:04:15,64.03 KB,[]
9,agrawal1_gradual_1M_0,NB_HDDMA_F,0.738031738031738,0.4633222723831206,00:04:34,126.24 KB,"[200444, 297373, 299663, 400739, 600643, 651823, 652111, 668984, 800258, 824816, 840379, 877094, 888078]"
