,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_500K_0,BOLE_KSWIN1_F,0.7895095790191581,0.573854431609738,00:36:00,2.91 MB,[]
1,agrawal1_abrupt_500K_0,BOLE_KSWIN51_F,0.7953915907831816,0.5854040611528532,00:35:24,3.01 MB,[]
2,agrawal1_abrupt_500K_0,BOLE_KSWIN101_F,0.7849355698711398,0.5652926903815622,00:35:37,2.65 MB,[]
3,agrawal1_abrupt_500K_0,BOLE_KSWIN151_F,0.7880235760471521,0.5710337021603528,00:35:28,2.72 MB,[]
4,agrawal1_abrupt_500K_0,BOLE_KSWIN201_F,0.7796255592511185,0.5544531997581704,00:35:29,3.83 MB,[]
5,agrawal1_abrupt_500K_2,BOLE_KSWIN1_F,0.7855835711671423,0.5661657256592835,00:34:47,5.8 MB,[]
6,agrawal1_abrupt_500K_2,BOLE_KSWIN51_F,0.7804615609231218,0.5560463085597287,00:35:00,7.42 MB,[]
7,agrawal1_abrupt_500K_2,BOLE_KSWIN101_F,0.7830335660671321,0.5613567747996184,00:35:02,2.81 MB,[]
8,agrawal1_abrupt_500K_2,BOLE_KSWIN151_F,0.7833295666591333,0.5616751032773512,00:34:45,3.91 MB,[]
9,agrawal1_abrupt_500K_2,BOLE_KSWIN201_F,0.7910895821791644,0.5775171101650951,00:34:48,4.41 MB,[]
10,agrawal1_abrupt_500K_4,BOLE_KSWIN1_F,0.7894215788431577,0.573748663352024,00:33:08,2.61 MB,[]
11,agrawal1_abrupt_500K_4,BOLE_KSWIN51_F,0.7985475970951942,0.5917748094192825,00:32:47,4.77 MB,[]
12,agrawal1_abrupt_500K_4,BOLE_KSWIN101_F,0.787245574491149,0.5694498399691597,00:40:38,2.88 MB,[]
13,agrawal1_abrupt_500K_4,BOLE_KSWIN151_F,0.7876535753071506,0.5703978218855702,00:41:22,6.19 MB,[]
14,agrawal1_abrupt_500K_4,BOLE_KSWIN201_F,0.7920635841271683,0.5786862341855699,00:41:34,7.01 MB,[]
15,agrawal1_abrupt_500K_6,BOLE_KSWIN1_F,0.7861735723471447,0.5676614827392462,00:41:27,6.7 MB,[]
16,agrawal1_abrupt_500K_6,BOLE_KSWIN51_F,0.7908555817111634,0.5771958679045148,00:39:06,1.89 MB,[]
17,agrawal1_abrupt_500K_6,BOLE_KSWIN101_F,0.8010276020552041,0.5965894762815006,00:33:53,4.07 MB,[]
18,agrawal1_abrupt_500K_6,BOLE_KSWIN151_F,0.7940975881951764,0.5829603668551007,00:32:45,3.92 MB,[]
19,agrawal1_abrupt_500K_6,BOLE_KSWIN201_F,0.7963015926031852,0.5872862302910241,00:32:44,6.01 MB,[]
20,agrawal1_abrupt_500K_8,BOLE_KSWIN1_F,0.7860815721631443,0.5672008741901363,00:33:05,5.11 MB,[]
21,agrawal1_abrupt_500K_8,BOLE_KSWIN51_F,0.7819495638991278,0.5589722383798782,00:33:09,5.8 MB,[]
22,agrawal1_abrupt_500K_8,BOLE_KSWIN101_F,0.7857795715591431,0.566554458008166,00:33:00,4.75 MB,[]
23,agrawal1_abrupt_500K_8,BOLE_KSWIN151_F,0.798739597479195,0.5923021396751829,00:32:47,5.93 MB,[]
24,agrawal1_abrupt_500K_8,BOLE_KSWIN201_F,0.7932015864031728,0.581000819339144,00:33:03,6.78 MB,[]
25,agrawal1_abrupt_500K_10,BOLE_KSWIN1_F,0.8178776357552715,0.6303034360750313,00:32:21,7.11 MB,[]
26,agrawal1_abrupt_500K_10,BOLE_KSWIN51_F,0.7789855579711159,0.5531980333582457,00:39:15,2.94 MB,[]
27,agrawal1_abrupt_500K_10,BOLE_KSWIN101_F,0.774267548535097,0.5434500929820091,00:40:52,2.82 MB,[]
28,agrawal1_abrupt_500K_10,BOLE_KSWIN151_F,0.7898295796591593,0.5744748324300408,00:41:03,2.73 MB,[]
29,agrawal1_abrupt_500K_10,BOLE_KSWIN201_F,0.7878655757311515,0.5705926110658477,00:40:58,2.88 MB,[]
30,agrawal1_abrupt_500K_12,BOLE_KSWIN1_F,0.7930715861431723,0.5810910836342549,00:40:49,4.77 MB,[]
31,agrawal1_abrupt_500K_12,BOLE_KSWIN51_F,0.7992275984551969,0.5927682348557746,00:36:48,2.04 MB,[]
32,agrawal1_abrupt_500K_12,BOLE_KSWIN101_F,0.7899295798591597,0.5741969707383469,00:33:09,4.58 MB,[]
33,agrawal1_abrupt_500K_12,BOLE_KSWIN151_F,0.7823995647991296,0.5600074029491328,00:32:54,2.01 MB,[]
34,agrawal1_abrupt_500K_12,BOLE_KSWIN201_F,0.7881115762231524,0.571293844514081,00:32:40,4.87 MB,[]
35,agrawal1_abrupt_500K_14,BOLE_KSWIN1_F,0.7813655627311255,0.55803940393355,00:33:12,4.95 MB,[]
36,agrawal1_abrupt_500K_14,BOLE_KSWIN51_F,0.780517561035122,0.5565382077572587,00:33:07,5.72 MB,[]
37,agrawal1_abrupt_500K_14,BOLE_KSWIN101_F,0.780981561963124,0.5567739848944996,00:34:19,4.29 MB,[]
38,agrawal1_abrupt_500K_14,BOLE_KSWIN151_F,0.7799155598311197,0.5546850081935449,00:36:32,4.97 MB,[]
39,agrawal1_abrupt_500K_14,BOLE_KSWIN201_F,0.7822755645511291,0.560043531048881,00:34:27,2.86 MB,[]
40,agrawal1_abrupt_500K_16,BOLE_KSWIN1_F,0.7905975811951624,0.5757711321241209,00:32:53,6.99 MB,[]
41,agrawal1_abrupt_500K_16,BOLE_KSWIN51_F,0.7899575799151598,0.5748958232537297,00:35:25,0.98 MB,[]
42,agrawal1_abrupt_500K_16,BOLE_KSWIN101_F,0.7943255886511773,0.5834914333876238,00:36:41,4.68 MB,[]
43,agrawal1_abrupt_500K_16,BOLE_KSWIN151_F,0.7803815607631215,0.5565337835387016,00:35:12,2.73 MB,[]
44,agrawal1_abrupt_500K_16,BOLE_KSWIN201_F,0.7840115680231361,0.5633760740537234,00:41:51,4.72 MB,[]
45,agrawal1_abrupt_500K_18,BOLE_KSWIN1_F,0.7926755853511707,0.5801198707628511,00:33:17,4.7 MB,[]
46,agrawal1_abrupt_500K_18,BOLE_KSWIN51_F,0.7851495702991406,0.5655363199628766,00:33:24,1.99 MB,[]
47,agrawal1_abrupt_500K_18,BOLE_KSWIN101_F,0.7994735989471979,0.5937717482224355,00:32:59,3.92 MB,[]
48,agrawal1_abrupt_500K_18,BOLE_KSWIN151_F,0.7898835797671595,0.5742387889910697,00:32:58,7.94 MB,[]
49,agrawal1_abrupt_500K_18,BOLE_KSWIN201_F,0.7868595737191474,0.568810215822446,00:32:00,2.19 MB,[]
