,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_500K_0,HT_basic_F,0.8664737329474659,0.7310570851836264,00:01:43,18.09 MB,[]
1,agrawal1_abrupt_500K_0,HT_ADWIN_F,0.7475774951549903,0.48541757184141365,00:02:45,2.85 MB,"[1887, 3423, 5215, 7519, 9055, 10591, 12383, 13919, 15711, 17439, 19391, 21439, 22975, 24383, 26047, 27743, 29471, 31263, 32799, 34591, 36383, 38079, 39615, 41567, 43359, 45023, 46271, 48575, 50783, 52639, 54239, 55903, 57567, 59455, 60991, 62655, 64191, 65727, 67487, 69375, 70911, 72639, 74239, 76191, 78111, 79903, 81759, 84127, 85791, 87359, 88895, 91967, 93567, 95551, 97343, 99135, 100127, 114527, 146495, 175167, 191551, 197695, 201279, 203071, 205375, 207263, 208959, 210751, 212895, 214559, 216511, 218111, 220607, 222655, 224191, 226239, 229183, 232255, 234303, 234879, 236671, 238527, 241279, 244351, 245375, 247807, 250847, 252639, 255167, 256991, 258751, 259775, 261567, 263103, 264959, 266783, 270399, 273247, 276319, 280031, 282111, 285183, 286783, 288575, 291647, 293983, 296287, 298463, 300351, 302143, 304191, 307199, 309503, 311807, 315807, 317535, 321119, 323039, 326431, 333599, 335999, 339711, 341727, 343775, 345823, 347871, 350943, 354271, 357855, 360223, 362015, 364319, 367391, 369375, 372703, 376095, 378175, 381759, 385855, 388159, 391743, 400767]"
2,agrawal1_abrupt_500K_0,HT_CUSUM_F,0.8777257554515109,0.7492072061691281,00:02:30,2.86 MB,"[100092, 185120, 200186, 300113, 400158]"
3,agrawal1_abrupt_500K_0,HT_DDM_F,0.8327936655873311,0.6583173421790757,00:02:11,2.69 MB,"[100058, 194334, 195192, 200594, 300474, 401021]"
4,agrawal1_abrupt_500K_0,HT_ECDD_F,0.7724035448070896,0.53136245274998,00:02:11,81.42 KB,"[66, 1119, 2057, 2833, 3419, 4443, 5087, 5495, 10874, 11785, 12651, 13470, 14626, 14943, 15922, 16569, 17356, 17646, 17854, 18049, 18184, 99998, 100144, 100876, 101590, 103332, 104591, 105880, 107023, 107928, 108331, 109269, 109876, 110678, 111260, 111345, 112025, 112658, 113213, 113700, 114021, 115740, 117257, 117499, 117980, 118405, 118847, 119109, 120363, 120893, 121974, 123190, 123578, 124408, 125492, 125780, 126313, 127128, 128332, 128953, 129594, 130453, 130688, 131055, 131547, 132049, 134217, 134617, 135090, 136094, 136206, 136394, 136775, 137502, 138217, 139958, 140326, 140455, 140701, 141397, 142584, 143216, 144407, 145434, 145878, 146100, 146196, 146913, 147407, 148410, 148787, 149073, 149500, 149773, 149837, 149937, 150243, 151138, 152361, 153065, 153591, 153930, 154270, 155680, 156226, 156720, 157331, 157754, 158695, 158979, 159089, 159243, 160240, 160821, 161716, 161889, 162255, 162833, 163130, 163458, 163568, 163773, 163914, 164665, 165605, 165878, 166294, 166579, 166863, 167507, 167907, 168579, 168938, 169985, 170977, 171870, 173006, 174190, 175021, 175445, 175683, 175971, 176175, 176837, 178263, 178983, 179058, 179483, 180022, 180361, 180875, 181729, 182429, 183795, 184910, 186225, 187038, 187620, 188007, 188345, 189209, 190041, 190158, 190701, 191014, 191663, 193179, 193550, 193867, 195149, 195996, 196245, 196982, 197349, 197882, 198180, 198709, 200125, 201161, 201852, 216024, 229115, 230830, 232181, 232991, 233290, 233635, 234095, 249620, 250512, 266571, 267331, 268260, 268867, 270515, 271318, 271834, 272587, 273575, 274909, 276492, 278617, 280141, 280890, 281693, 282688, 283851, 284627, 285935, 287884, 289961, 290768, 291550, 292326, 293047, 294982, 297681, 299748, 304220, 305065, 306130, 306685, 307404, 308059, 308830, 310399, 311507, 312549, 314013, 317823, 318789, 320346, 321241, 322251, 322922, 323503, 324087, 324144, 324477, 325232, 326401, 327263, 327572, 327815, 328629, 328978, 330451, 331060, 332138, 332577, 332778, 332895, 336728, 336979, 337499, 338126, 338247, 339578, 339734, 340137, 341081, 341904, 342487, 342978, 343105, 344373, 347055, 347274, 347531, 348310, 348521, 349498, 350437, 350638, 351188, 351391, 351559, 352392, 352962, 353272, 353509, 353779, 354753, 354987, 355139, 355643, 356602, 357130, 357369, 358353, 359172, 360235, 363264, 363547, 363751, 363938, 364857, 365352, 365605, 365762, 366511, 369026, 371053, 372719, 372962, 373003, 373808, 374900, 375588, 376243, 376602, 377392, 377839, 379520, 380855, 381311, 381791, 382427, 382611, 382978, 383622, 384419, 384734, 385605, 385686, 386440, 387287, 388095, 388557, 389616, 390065, 390147, 390892, 391590, 392582, 393070, 393362, 393576, 393713, 393792, 394124, 394556, 395715, 396410, 396899, 397894, 399133, 399645, 399789, 399886, 400784, 402029, 403270, 404503, 405055, 407362, 408621, 409176, 410624, 411657, 412286, 413391, 414549, 415043, 415939, 417191, 417741, 418133, 418306, 418493, 419026, 419817, 420298, 421444, 422282, 423399, 424185, 424754, 425348, 425975, 427037, 428200, 429718, 430296, 430737, 431353, 432186, 433090, 434162, 435014, 436080, 437042, 437525, 438119, 438439, 439416, 440290, 441346, 442194, 443505, 444153, 444397, 444653, 445020, 445612, 446085, 446860, 447526, 447858, 448349, 449199, 449901, 450461, 450683, 451314, 451407, 451644, 452298, 452925, 453478, 454345, 454668, 454809, 455377, 455874, 456373, 457015, 457806, 459780, 461910, 462831, 462880, 463273, 463895, 465531, 466538, 467332, 468381, 469793, 470016, 470208, 470658, 471956, 474832, 475991, 476868, 477034, 477411, 479153, 480383, 481292, 481795, 482998, 484228, 485265, 485845, 486221, 486391, 486854, 488017, 488797, 489687, 492302, 493104, 494185, 494655, 494897, 495219, 496063, 497533, 498908, 499829]"
5,agrawal1_abrupt_500K_0,HT_EDDM_F,0.8108216216432433,0.6159608002322883,00:02:07,2.41 MB,"[200, 315, 462, 100110, 100238, 100329, 100454, 100526, 100583, 100672, 100753, 100838, 340563, 340658, 340773, 405215]"
6,agrawal1_abrupt_500K_0,HT_GMA_F,0.8664737329474659,0.7310570851836264,00:01:58,18.1 MB,[]
7,agrawal1_abrupt_500K_0,HT_HDDMA_F,0.8825897651795304,0.7598650471826018,00:02:12,2.21 MB,"[100007, 115073, 134557, 157133, 173011, 200065, 200312, 300007, 400057, 440298]"
8,agrawal1_abrupt_500K_0,HT_HDDMW_F,0.8698857397714795,0.7320250453635776,00:02:07,1.1 MB,"[100040, 100564, 104757, 106026, 106740, 108558, 109308, 110208, 112593, 113182, 114442, 116439, 117508, 117983, 118848, 120570, 124773, 126313, 133629, 134786, 136695, 137503, 138263, 138458, 141218, 143378, 144696, 145925, 147060, 149958, 150332, 151659, 152679, 154531, 154813, 156838, 157878, 158176, 159112, 159840, 160929, 165036, 166673, 169205, 172043, 173417, 175015, 176452, 177540, 178963, 182460, 183638, 184278, 185829, 187335, 189060, 191024, 200114, 200877, 201497, 300015, 303738, 308377, 309359, 310138, 400083, 422283, 426114, 430740, 438138, 440300, 452927]"
9,agrawal1_abrupt_500K_0,HT_KSWIN1_F,0.9036618073236147,0.8070074025219142,00:04:46,7.35 MB,"[200040, 300019]"
