,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_50K_0,HT_BOCD_F,0.7351947038940779,0.45598257889233423,00:32:53,34.97 MB,"[2010, 3964, 5808, 8260, 10027, 16867, 21177, 23185, 25938, 28085, 29367, 32684, 36621, 41315, 48488]"
1,agrawal1_abrupt_50K_2,HT_BOCD_F,0.7236744734894698,0.4297315398120712,00:41:08,36.98 MB,"[2219, 4676, 6690, 8668, 10119, 18253, 20423, 23269, 25500, 28444, 34430, 37679, 41596, 48445]"
2,agrawal1_abrupt_50K_4,HT_BOCD_F,0.7390747814956299,0.4616598812831895,00:32:01,39.74 MB,"[1997, 3874, 5730, 8127, 10016, 16508, 20416, 22265, 24160, 27579, 29253, 31820, 35048, 39270, 40972, 48388]"
3,agrawal1_abrupt_50K_6,HT_BOCD_F,0.7268345366907338,0.4353101722167416,00:39:42,18.81 MB,"[1315, 3533, 5757, 7508, 10135, 17941, 22003, 24959, 26312, 28529, 32636, 35816, 39382, 41249, 48892]"
4,agrawal1_abrupt_50K_8,HT_BOCD_F,0.7402748054961099,0.4597230281651277,00:44:00,3.96 MB,"[1608, 3377, 5540, 8034, 10088, 17853, 22001, 23593, 25293, 27691, 29969, 32156, 35116, 39012, 40941, 49495]"
5,agrawal1_abrupt_50K_10,HT_BOCD_F,0.7357547150943019,0.4560018741447896,00:32:29,7.96 MB,"[1551, 4306, 6330, 7903, 9912, 15628, 20813, 22616, 23888, 26551, 28865, 32729, 36977, 39544, 41701, 49281]"
6,agrawal1_abrupt_50K_12,HT_BOCD_F,0.745394907898158,0.47667892147171653,00:26:59,1.72 MB,"[3179, 5121, 7125, 10036, 13276, 18314, 20309, 23084, 24547, 25822, 27681, 29298, 30064, 33177, 36809, 39619, 41896, 49671]"
7,agrawal1_abrupt_50K_14,HT_BOCD_F,0.7341746834936699,0.45427058747858534,00:36:20,857.22 MB,"[1760, 3771, 5496, 8316, 10062, 17446, 21653, 23490, 25046, 27305, 30396, 32986, 34901, 37500, 42506]"
8,agrawal1_abrupt_50K_16,HT_BOCD_F,0.7356947138942779,0.45535628928967364,00:30:14,83.44 MB,"[2698, 5912, 8666, 10052, 17189, 20409, 22675, 25248, 26996, 28965, 32685, 35285, 38326, 40980, 47663]"
9,agrawal1_abrupt_50K_18,HT_BOCD_F,0.7409348186963739,0.46637745688154003,00:30:05,424.44 MB,"[1763, 4137, 6162, 7919, 10016, 17161, 20791, 23221, 24956, 26969, 28229, 30131, 33675, 36829, 39896, 44733]"
10,agrawal1_abrupt_50K_20,HT_BOCD_F,0.7385147702954059,0.45795438470786054,00:33:05,74.02 MB,"[2044, 3416, 5503, 7757, 9539, 10150, 14806, 20177, 22783, 25801, 28483, 30514, 33465, 36766, 39996, 47799]"
11,agrawal1_abrupt_50K_22,HT_BOCD_F,0.7401348026960539,0.46447159257045173,00:31:19,866.13 MB,"[1962, 4157, 6073, 7799, 10083, 15480, 20289, 22558, 24390, 26260, 28377, 31200, 34472, 36341, 39741, 42471]"
12,agrawal1_abrupt_50K_24,HT_BOCD_F,0.7393347866957339,0.4642077796575203,00:31:54,34.74 MB,"[2048, 3530, 6273, 8124, 10078, 15279, 20354, 22207, 24133, 26913, 29239, 32676, 35948, 38467, 40904, 48493]"
13,agrawal1_abrupt_50K_26,HT_BOCD_F,0.740014800296006,0.4635460452301807,00:29:28,97.31 MB,"[2087, 3981, 6073, 7952, 9610, 10195, 15387, 20265, 22741, 25972, 28036, 29360, 31802, 35061, 37504, 40162, 47476]"
14,agrawal1_abrupt_50K_28,HT_BOCD_F,0.7362147242944859,0.4586642226033852,00:36:42,923.68 KB,"[1773, 4294, 6162, 8831, 10177, 16412, 20294, 22282, 24237, 27759, 29883, 32467, 35054, 38022, 41740, 49766]"
15,agrawal1_abrupt_50K_30,HT_BOCD_F,0.7391747834956699,0.462826342232256,00:40:54,790.06 KB,"[2056, 3984, 5754, 8784, 10081, 17285, 20457, 22548, 24921, 27785, 30559, 33126, 35901, 38583, 41502, 49785]"
16,agrawal1_abrupt_50K_32,HT_BOCD_F,0.7353147062941259,0.45690360436640437,00:39:15,2.1 MB,"[2074, 4020, 5856, 7710, 9983, 14552, 20617, 24212, 27017, 29643, 34791, 36915, 39246, 41675, 49635]"
17,agrawal1_abrupt_50K_34,HT_BOCD_F,0.7335346706934138,0.4530643056860864,00:33:58,90.05 MB,"[1830, 3506, 5376, 7562, 9212, 10065, 16627, 20397, 22592, 24622, 26316, 28365, 32480, 34900, 36832, 39996, 47572]"
18,agrawal1_abrupt_50K_36,HT_BOCD_F,0.7361747234944699,0.4542652872201979,00:31:45,81.1 MB,"[2242, 3830, 5727, 7706, 10033, 14937, 20204, 21727, 24320, 27722, 29483, 32453, 34881, 37604, 39987, 47696]"
19,agrawal1_abrupt_50K_38,HT_BOCD_F,0.737294745894918,0.46002732026167265,00:36:21,9.26 MB,"[1638, 3309, 5634, 8106, 10067, 16643, 21226, 24805, 26853, 28893, 31749, 34144, 36242, 39174, 41384, 49224]"
20,agrawal1_abrupt_50K_40,HT_BOCD_F,0.7274545490909818,0.434222684664688,00:48:39,7.21 MB,"[2430, 5311, 7551, 9725, 10118, 18629, 22688, 24457, 26180, 29190, 33195, 37235, 39355, 41491, 49316]"
21,agrawal1_abrupt_50K_42,HT_BOCD_F,0.7349946998939979,0.4522523739431107,00:39:22,11.79 MB,"[2542, 4130, 6089, 7926, 9706, 10094, 17283, 21585, 23750, 25561, 27447, 30511, 32779, 35574, 38501, 41082, 49124]"
22,agrawal1_abrupt_50K_44,HT_BOCD_F,0.7298545970919419,0.4427192319198278,00:46:07,9.41 MB,"[1579, 3571, 5454, 7388, 10031, 17991, 22120, 23502, 26777, 28182, 32132, 35308, 38778, 41157, 49218]"
23,agrawal1_abrupt_50K_46,HT_BOCD_F,0.7375547510950219,0.46018750750834464,00:38:23,40.73 MB,"[2356, 4974, 7604, 10022, 15563, 20134, 23128, 25901, 28645, 32458, 36595, 40313, 48368]"
24,agrawal1_abrupt_50K_48,HT_BOCD_F,0.7241944838896778,0.4353670523893009,00:48:39,7.4 MB,"[2130, 4215, 6326, 8043, 9600, 10127, 19121, 22665, 24321, 27234, 28703, 32019, 34287, 37277, 42018, 49307]"
25,agrawal1_abrupt_50K_50,HT_BOCD_F,0.7325946518930379,0.4501862460814768,00:41:17,492.17 KB,"[2421, 4334, 5946, 8700, 10185, 17170, 20832, 24420, 26819, 29816, 32498, 35381, 37874, 41614, 49835]"
26,agrawal1_abrupt_50K_52,HT_BOCD_F,0.7384947698953979,0.458915203110754,00:33:33,121.11 MB,"[2718, 5858, 7794, 9573, 10043, 16877, 20404, 21970, 24248, 25750, 28493, 31733, 35035, 37385, 39946, 47184]"
27,agrawal1_abrupt_50K_54,HT_BOCD_F,0.7360747214944299,0.45601293730333686,00:35:33,146.48 KB,"[2234, 4176, 6415, 8139, 10068, 17051, 20554, 22612, 24063, 25860, 27629, 29650, 32743, 35014, 37787, 42546, 49928]"
28,agrawal1_abrupt_50K_56,HT_BOCD_F,0.7409348186963739,0.4682993175236286,00:38:28,8.54 MB,"[1547, 3436, 5238, 8062, 10012, 17036, 20169, 22126, 24261, 26150, 28023, 30380, 33419, 36720, 39398, 41001, 49255]"
29,agrawal1_abrupt_50K_58,HT_BOCD_F,0.74577491549831,0.4761704702988598,00:33:31,975.54 KB,"[1597, 4272, 6939, 9415, 10106, 15282, 20280, 23520, 25735, 27811, 29374, 31970, 34635, 38005, 42168, 49759]"
