,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_abrupt_50K_0,NB_BOCD_F,0.7254745094901898,0.43877223558260325,01:07:04,867.21 MB,"[8137, 10045, 18342, 20542, 25473, 30281, 37701, 42462]"
1,agrawal1_abrupt_50K_2,NB_BOCD_F,0.7215344306886138,0.4298598890922586,01:04:30,838.69 MB,"[7820, 10033, 18491, 20286, 26447, 29440, 32675, 39779, 42587]"
2,agrawal1_abrupt_50K_4,NB_BOCD_F,0.7230344606892137,0.43009061903367773,01:06:42,114.16 MB,"[7123, 10056, 18744, 22953, 28439, 31668, 40054, 47266]"
3,agrawal1_abrupt_50K_6,NB_BOCD_F,0.7238144762895258,0.43478094279774354,00:53:56,906.05 MB,"[7086, 10013, 17353, 20455, 23483, 26183, 30268, 36079, 42295]"
4,agrawal1_abrupt_50K_8,NB_BOCD_F,0.7266745334906698,0.4396050468645209,01:00:31,68.61 MB,"[7125, 10023, 17918, 20651, 24174, 29151, 32548, 40613, 47881]"
5,agrawal1_abrupt_50K_10,NB_BOCD_F,0.7287345746914938,0.4430102537008975,01:10:36,820.24 MB,"[7484, 10049, 18196, 20619, 24165, 30098, 37913, 42669]"
6,agrawal1_abrupt_50K_12,NB_BOCD_F,0.7235744714894298,0.43550813139781835,00:55:16,778.93 MB,"[6071, 10048, 17986, 20310, 24430, 27042, 30215, 37327, 42856]"
7,agrawal1_abrupt_50K_14,NB_BOCD_F,0.7300946018920378,0.44810093532849254,01:21:10,102.94 MB,"[7604, 10047, 17806, 20673, 27207, 32740, 40082, 47404]"
8,agrawal1_abrupt_50K_16,NB_BOCD_F,0.7299145982919658,0.4452015215869511,01:17:55,24.81 MB,"[7784, 10053, 18067, 20496, 25324, 30186, 38525, 42590, 48727]"
9,agrawal1_abrupt_50K_18,NB_BOCD_F,0.7246744934898698,0.43605538812774214,01:13:32,770.89 MB,"[7865, 10043, 17961, 20482, 25015, 30071, 38449, 42893]"
10,agrawal1_abrupt_50K_20,NB_BOCD_F,0.7309546190923818,0.44826302375996574,01:10:49,702 MB,"[7746, 10049, 18161, 20429, 27752, 30281, 36505, 43218]"
11,agrawal1_abrupt_50K_22,NB_BOCD_F,0.7250145002900058,0.4382759367153859,01:10:43,922.11 MB,"[6771, 10054, 18469, 20777, 27728, 30160, 38212, 42227]"
12,agrawal1_abrupt_50K_24,NB_BOCD_F,0.7299745994919898,0.44689987356757405,01:10:08,814.43 MB,"[7833, 10077, 16840, 20340, 27632, 30239, 38600, 42695]"
13,agrawal1_abrupt_50K_26,NB_BOCD_F,0.7252145042900858,0.43888003632526174,01:11:04,902.29 MB,"[7131, 10075, 17790, 20323, 27036, 30231, 37303, 42311]"
14,agrawal1_abrupt_50K_28,NB_BOCD_F,0.7271145422908458,0.4446091713507151,01:06:49,795.15 MB,"[7409, 10032, 17971, 20587, 25287, 30269, 36875, 42782]"
15,agrawal1_abrupt_50K_30,NB_BOCD_F,0.7313146262925259,0.4513654414235482,01:19:50,64.1 MB,"[6017, 10046, 18516, 20352, 27710, 31903, 39998, 47952]"
16,agrawal1_abrupt_50K_32,NB_BOCD_F,0.7249344986899738,0.4387917053526114,01:24:46,13.16 MB,"[7935, 10067, 17979, 20738, 29304, 35594, 40558, 49074]"
17,agrawal1_abrupt_50K_34,NB_BOCD_F,0.7233344666893338,0.4330269724386649,01:19:57,1.76 MB,"[7747, 10036, 19229, 21539, 26654, 30136, 38157, 41984, 49667]"
18,agrawal1_abrupt_50K_36,NB_BOCD_F,0.7283345666913338,0.44148359651062424,01:15:08,40.28 MB,"[7423, 10031, 18752, 22620, 28890, 33504, 40323, 48377]"
19,agrawal1_abrupt_50K_38,NB_BOCD_F,0.7255345106902138,0.43761560169961855,01:06:05,9.22 MB,"[7968, 10031, 18793, 23290, 28757, 32981, 39134, 43305, 49226]"
20,agrawal1_abrupt_50K_40,NB_BOCD_F,0.7242144842896858,0.43463136239828865,01:03:29,4.15 MB,"[6472, 10051, 17970, 20545, 23850, 28597, 31793, 39557, 41503, 49483]"
21,agrawal1_abrupt_50K_42,NB_BOCD_F,0.7303746074921499,0.4478873188651559,01:01:35,737.84 MB,"[6980, 10022, 16762, 20165, 26579, 30426, 36700, 43047]"
22,agrawal1_abrupt_50K_44,NB_BOCD_F,0.7278745574911498,0.4438753782509892,01:02:16,0.96 GB,"[6543, 10029, 17407, 20357, 24303, 29706, 31727, 39168, 41986]"
23,agrawal1_abrupt_50K_46,NB_BOCD_F,0.7252545050901018,0.43812091687460364,01:10:08,6.03 MB,"[7380, 10046, 17372, 20282, 26067, 30051, 38519, 42012, 49375]"
