,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal1_gradual_50K_0,NB_BOCD_F,0.7240944818896378,0.4364340140954679,01:16:52,0.99 GB,"[8137, 10085, 18273, 20541, 26977, 30411, 38569, 41838]"
1,agrawal1_gradual_50K_2,NB_BOCD_F,0.7178943578871577,0.42322882187857896,01:03:33,79.56 MB,"[7820, 10139, 18394, 20661, 25793, 29436, 34291, 40962, 47718]"
2,agrawal1_gradual_50K_4,NB_BOCD_F,0.7221744434888698,0.4326689666522277,01:10:41,639.08 KB,"[7123, 10053, 17403, 20391, 24131, 30383, 38702, 41875, 49809]"
3,agrawal1_gradual_50K_6,NB_BOCD_F,0.7212944258885178,0.42994091116890965,00:56:33,894.1 MB,"[7086, 10030, 17343, 20514, 22758, 26174, 30435, 36936, 42346]"
4,agrawal1_gradual_50K_8,NB_BOCD_F,0.7319146382927658,0.4489031505277932,01:10:13,693.54 MB,"[7125, 10067, 18301, 20700, 27242, 30503, 38864, 43259]"
5,agrawal1_gradual_50K_10,NB_BOCD_F,0.7243744874897498,0.434840736480348,01:13:08,840.27 MB,"[7484, 10075, 17942, 20879, 24577, 30208, 37740, 42580]"
6,agrawal1_gradual_50K_12,NB_BOCD_F,0.7259945198903978,0.4394649882371052,00:59:38,54.66 MB,"[6071, 10065, 17991, 20815, 25096, 30053, 35555, 40679, 48109]"
7,agrawal1_gradual_50K_14,NB_BOCD_F,0.7292545850917018,0.44624800476244914,01:11:26,216.3 MB,"[7604, 10056, 17798, 20668, 27350, 32730, 39969, 46236]"
8,agrawal1_gradual_50K_16,NB_BOCD_F,0.7247944958899178,0.43591416178069614,01:04:12,18.95 MB,"[7784, 10134, 16766, 20505, 25183, 30153, 37499, 42146, 48888]"
9,agrawal1_gradual_50K_18,NB_BOCD_F,0.7225744514890298,0.43275390321437734,01:17:15,769.15 MB,"[7865, 10066, 17883, 20495, 25601, 30175, 38641, 42901]"
10,agrawal1_gradual_50K_20,NB_BOCD_F,0.7287745754915098,0.44415299514534967,01:10:03,695.6 MB,"[7746, 10124, 17386, 20447, 26952, 30312, 36525, 43249]"
11,agrawal1_gradual_50K_22,NB_BOCD_F,0.7245544910898218,0.4363377763220024,01:03:20,32.79 MB,"[6771, 10076, 15442, 20443, 26772, 29602, 33243, 40566, 48536]"
12,agrawal1_gradual_50K_24,NB_BOCD_F,0.7306346126922538,0.4485538858607762,01:11:47,685.54 MB,"[7833, 10078, 16290, 20345, 27159, 30404, 38637, 43298]"
13,agrawal1_gradual_50K_26,NB_BOCD_F,0.7264145282905659,0.4402278652657909,01:15:07,906.52 MB,"[7131, 10090, 18081, 20285, 26257, 30134, 38060, 42293]"
14,agrawal1_gradual_50K_28,NB_BOCD_F,0.7281345626912539,0.44700338067634265,01:09:22,712.81 MB,"[7409, 10139, 17838, 20645, 25350, 30383, 37994, 43166]"
15,agrawal1_gradual_50K_30,NB_BOCD_F,0.7260945218904378,0.44087525693336893,01:00:22,783.3 MB,"[6017, 10057, 16180, 20362, 26365, 30313, 37613, 42836]"
16,agrawal1_gradual_50K_32,NB_BOCD_F,0.7217144342886858,0.4325532695297508,01:08:08,337.35 MB,"[7935, 10081, 17896, 20661, 27326, 32743, 39823, 45299]"
17,agrawal1_gradual_50K_34,NB_BOCD_F,0.7219344386887738,0.42998002804085317,01:20:05,2.67 MB,"[7747, 10115, 19379, 23221, 26605, 30276, 38706, 41900, 49587]"
18,agrawal1_gradual_50K_36,NB_BOCD_F,0.7249744994899898,0.43363304543119674,01:10:38,38.96 MB,"[7423, 10090, 18471, 23908, 29692, 34388, 40567, 48404]"
19,agrawal1_gradual_50K_38,NB_BOCD_F,0.7328346566931339,0.4531854900065083,01:12:09,575.22 MB,"[7968, 10082, 16881, 20444, 27943, 30337, 38594, 43861]"
20,agrawal1_gradual_50K_40,NB_BOCD_F,0.7158943178863577,0.42039725975578995,01:04:10,864.91 MB,"[6472, 10020, 17636, 20461, 23679, 29995, 35601, 42472]"
21,agrawal1_gradual_50K_42,NB_BOCD_F,0.7262745254905099,0.44001149433971326,01:02:13,747 MB,"[6980, 10081, 16422, 20222, 27144, 30577, 35574, 43004]"
22,agrawal1_gradual_50K_44,NB_BOCD_F,0.7251745034900698,0.43779228926142244,00:56:42,767.64 MB,"[6543, 9983, 15181, 20242, 24123, 30023, 36859, 42908]"
23,agrawal1_gradual_50K_46,NB_BOCD_F,0.7210344206884137,0.4301058522654201,01:08:59,76.55 KB,"[7380, 10083, 17571, 20283, 26649, 30448, 38130, 42336, 49974]"
