generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
agrawal1;abrupt;1M;NB;basic;0.6251;0.0006;0.2727;0.001;183.2;6.2436;63676.416;820.0229;0.0;0.0
agrawal1;gradual;1M;NB;basic;0.6251;0.0006;0.2727;0.001;175.8;4.6824;63313.92;0.0;0.0;0.0
agrawal1;abrupt;1M;HT;basic;0.8947;0.0048;0.7869;0.0096;182.8;0.8794;25058869.248;1096294.8601;0.0;0.0
agrawal1;gradual;1M;HT;basic;0.8937;0.005;0.7851;0.0102;171.2;5.3829;25245515.776;1128804.8457;0.0;0.0
agrawal1;abrupt;1M;NoChange;basic;0.5593;0.0004;0.1032;0.0008;91.2;2.9553;703.0;17.3268;0.0;0.0
agrawal1;gradual;1M;NoChange;basic;0.5593;0.0004;0.1031;0.0008;87.7;2.1868;623.0;17.3268;0.0;0.0
agrawal1;abrupt;1M;MajClass;basic;0.5655;0.0003;0.1855;0.0003;96.3;3.5053;809.0;17.3268;0.0;0.0
agrawal1;gradual;1M;MajClass;basic;0.5655;0.0003;0.1855;0.0003;93.0;2.4781;729.0;17.3268;0.0;0.0
agrawal1;abrupt;1M;BOLE;basic;0.9112;0.0075;0.82;0.0152;1096.3;47.5173;1133871366.144;37837959.3538;0.0;0.0
agrawal1;abrupt;1M;BOLE;ADWIN;0.7254;0.0014;0.4409;0.0027;1715.5;88.3505;7304380.416;2250218.7883;0.0;0.0
agrawal1;abrupt;1M;BOLE;CUSUM;0.8132;0.0045;0.621;0.0091;1321.4;62.451;8169455.616;1530034.3875;0.0;0.0
agrawal1;abrupt;1M;BOLE;DDM;0.824;0.0084;0.6417;0.017;1589.4;81.2288;278236495.872;57311601.8635;0.0;0.0
agrawal1;abrupt;1M;BOLE;ECDD;0.6807;0.0016;0.3554;0.0033;1330.2;95.5005;2951741.44;438172.2567;0.0;0.0
agrawal1;abrupt;1M;BOLE;EDDM;0.8176;0.0168;0.6289;0.0344;1316.8;76.9841;134861553.664;24876594.0031;0.0;0.0
agrawal1;abrupt;1M;BOLE;GMA;0.9112;0.0075;0.82;0.0152;1856.7;115.2157;1133871366.144;37837959.3538;0.0;0.0
