,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_abrupt_100K_0,NoChange_basic_F,0.6996769967699678,0.25199120179826157,00:00:10,739 B,[]
1,agrawal2_abrupt_100K_0,MajClass_basic_F,0.7219172191721918,-1.9999880764506083e-05,00:00:10,845 B,[]
2,agrawal2_abrupt_100K_0,NB_basic_F,0.7513575135751358,0.3678521099873642,00:00:20,65.37 KB,[]
3,agrawal2_abrupt_100K_0,NB_ADWIN_F,0.8899088990889908,0.7214782254565424,00:00:34,72.67 KB,"[21407, 40479, 60159, 80351]"
4,agrawal2_abrupt_100K_0,NB_CUSUM_F,0.8960089600896008,0.7368458864540269,00:00:28,64.65 KB,"[20287, 40136, 60131, 80145]"
5,agrawal2_abrupt_100K_0,NB_DDM_F,0.8346583465834658,0.6074381021683483,00:00:29,95.63 KB,"[20971, 21020, 41281, 41444, 41571, 60048, 80729]"
6,agrawal2_abrupt_100K_0,NB_ECDD_F,0.8861188611886119,0.7121257107477591,00:00:30,71.57 KB,"[249, 1280, 2149, 2206, 2545, 2916, 3651, 4886, 5959, 6540, 6880, 8039, 8591, 9508, 9770, 10198, 11259, 11969, 12717, 12950, 13180, 13359, 14592, 15987, 17857, 18236, 19039, 19610, 20947, 21486, 21801, 22334, 22592, 23455, 24808, 25112, 26193, 26928, 27649, 28391, 32054, 32699, 33419, 33866, 35583, 35935, 37526, 38044, 38862, 39122, 39959, 41256, 41425, 41571, 42018, 42217, 42397, 43029, 43395, 44522, 44676, 45074, 45399, 45512, 45583, 46129, 46262, 46529, 47263, 47714, 47913, 49042, 49273, 49438, 49596, 49668, 50049, 50184, 50521, 50681, 50936, 51497, 51684, 52324, 52478, 52981, 53298, 53757, 53829, 53949, 54229, 54596, 54864, 55006, 55917, 55981, 56586, 56795, 57047, 57712, 57813, 58242, 58683, 58893, 58976, 59217, 59369, 59911, 59999, 60167, 60734, 61475, 62192, 62743, 63811, 64177, 64406, 64806, 64987, 65110, 66279, 67982, 68400, 69384, 69922, 70324, 70455, 71424, 72048, 72762, 73432, 74583, 75251, 75796, 77117, 78036, 78678, 78800, 79954, 82086, 82750, 83050, 83336, 83697, 83996, 84122, 84729, 84930, 85831, 86127, 86380, 86527, 87067, 88149, 88498, 89086, 89791, 91046, 93266, 93643, 94045, 94290, 95123, 95468, 96222, 97060, 97216, 97583, 97807, 98612, 99066, 99487]"
7,agrawal2_abrupt_100K_0,NB_EDDM_F,0.7506475064750647,0.3670255671145067,00:00:28,126.12 KB,"[160, 298, 390, 467]"
8,agrawal2_abrupt_100K_0,NB_GMA_F,0.7513575135751358,0.3678521099873642,00:00:28,64.39 KB,[]
9,agrawal2_abrupt_100K_0,NB_HDDMA_F,0.8978989789897899,0.7414515204377483,00:00:31,66.02 KB,"[20139, 40027, 60002, 80023]"
10,agrawal2_abrupt_100K_0,NB_HDDMW_F,0.896858968589686,0.738518144659896,00:00:31,67.79 KB,"[4329, 5650, 9303, 10546, 11349, 13180, 20045, 40014, 60027, 80013]"
11,agrawal2_abrupt_100K_0,NB_KSWIN1_F,0.7696476964769647,0.42235129501807844,00:01:12,65.84 KB,[72053]
12,agrawal2_abrupt_100K_0,NB_KSWIN51_F,0.7836178361783618,0.3892168601516478,00:01:09,65.84 KB,[41970]
13,agrawal2_abrupt_100K_0,NB_KSWIN101_F,0.7513575135751358,0.3678521099873642,00:01:13,65.27 KB,[]
14,agrawal2_abrupt_100K_0,NB_KSWIN151_F,0.7696476964769647,0.42235129501807844,00:01:11,65.84 KB,[72053]
15,agrawal2_abrupt_100K_0,NB_KSWIN201_F,0.7513575135751358,0.3678521099873642,00:01:13,65.27 KB,[]
16,agrawal2_abrupt_100K_0,NB_PH_F,0.8915489154891549,0.7254238399041797,00:00:29,64.61 KB,"[21085, 40324, 60238, 80302]"
17,agrawal2_abrupt_100K_0,NB_RDDM_F,0.8873688736887368,0.7150329623236665,00:00:30,181.86 KB,"[20473, 20639, 25374, 26285, 26463, 40021, 60101, 80177, 80792, 83443, 83697, 86549, 88149, 97833, 98612]"
18,agrawal2_abrupt_100K_0,NB_STEPD_F,0.8913389133891338,0.7237840268251067,00:00:47,80 KB,"[68, 589, 1015, 2171, 2301, 2679, 6108, 6275, 7815, 9293, 10035, 10210, 12021, 12544, 13176, 16003, 16449, 17857, 18253, 21450, 22752, 23500, 27662, 28406, 33308, 35800, 39958, 40021, 40081, 40141, 50787, 54618, 60001, 60102, 61330, 63823, 63918, 66289, 66711, 66825, 68534, 72346, 73317, 74234, 75287, 77531, 79957, 80025, 80085, 80145, 80205, 80265, 80325, 80385, 80445, 80505, 80565, 80625, 80685, 80745, 86549, 86609, 86669, 86729, 86789, 86849, 86909, 86969, 87029, 87089, 87149, 87209, 87269, 87329, 87389, 87449, 87509, 87569, 87629, 87689, 87749, 87809, 87869, 87929, 87989, 88049, 88109, 93191, 93251, 97833, 97893]"
19,agrawal2_abrupt_100K_2,NoChange_basic_F,0.6976769767697677,0.25068578031230765,00:00:10,731 B,[]
20,agrawal2_abrupt_100K_2,MajClass_basic_F,0.7196971969719698,0.0,00:00:10,837 B,[]
21,agrawal2_abrupt_100K_2,NB_basic_F,0.7488874888748888,0.367898890085983,00:00:20,61.83 KB,[]
22,agrawal2_abrupt_100K_2,NB_ADWIN_F,0.8897988979889799,0.7216254441342468,00:00:34,72.6 KB,"[22015, 40255, 60095, 80383]"
23,agrawal2_abrupt_100K_2,NB_CUSUM_F,0.8973389733897339,0.7410859529274867,00:00:29,64.53 KB,"[4888, 20192, 40109, 60110, 80108]"
24,agrawal2_abrupt_100K_2,NB_DDM_F,0.8738587385873858,0.6726466362616139,00:00:29,125.67 KB,"[20794, 40625, 40779, 60045, 80209, 80241, 80848, 82508, 83917]"
25,agrawal2_abrupt_100K_2,NB_ECDD_F,0.8848388483884839,0.7102730521087013,00:00:31,71.96 KB,"[844, 1136, 1806, 3431, 4282, 4887, 5233, 6842, 8435, 9134, 9809, 10850, 11182, 12458, 13864, 15196, 15965, 16268, 16459, 17400, 18489, 19205, 19271, 19473, 19870, 20011, 20334, 20712, 20782, 21176, 21626, 22248, 23184, 23895, 24527, 25456, 26678, 26990, 27921, 28587, 29732, 30689, 31015, 31224, 32404, 32998, 33318, 34347, 35545, 35873, 36493, 37418, 38273, 39353, 39753, 40006, 40255, 40536, 40795, 40848, 41057, 41506, 41599, 42348, 42672, 42891, 43147, 43467, 43769, 44381, 44437, 44621, 45042, 45256, 45365, 45721, 46040, 46413, 46637, 47028, 47136, 47277, 47796, 47898, 48290, 48358, 48979, 49055, 49428, 49913, 50503, 51015, 51105, 51904, 52714, 52788, 53035, 53313, 53365, 53491, 53781, 54014, 54351, 54467, 54858, 54922, 54999, 55303, 55484, 55695, 56380, 57143, 57278, 57554, 57660, 58189, 58370, 58488, 58726, 59602, 60003, 60712, 61133, 61771, 62248, 63338, 64529, 65345, 65884, 66366, 66504, 66810, 67277, 67925, 68426, 68671, 69732, 70588, 71022, 72212, 73449, 74351, 74497, 74747, 75069, 76168, 77418, 77850, 78274, 78724, 79002, 79741, 80006, 80252, 80848, 82348, 83917, 84089, 84365, 85884, 87393, 87902, 88210, 88757, 89126, 89854, 90691, 91008, 91214, 91445, 92589, 93228, 94567, 94858, 95026, 95746, 96817, 97135, 97284, 97832, 99277]"
26,agrawal2_abrupt_100K_2,NB_EDDM_F,0.8741587415874159,0.6810199177226046,00:00:28,66.19 KB,"[11301, 11370, 11477, 11617, 11738, 12379, 43357, 43426, 60068, 60304, 60830, 61121, 63111, 64211, 67961, 80290, 80376, 97135]"
27,agrawal2_abrupt_100K_2,NB_GMA_F,0.7488874888748888,0.367898890085983,00:00:28,64.32 KB,[]
28,agrawal2_abrupt_100K_2,NB_HDDMA_F,0.8990689906899069,0.7449035107240725,00:00:31,65.89 KB,"[19485, 40059, 60008, 80107]"
