,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_abrupt_1M_0,BOLE_KSWIN1_F,0.895939895939896,0.7389599450403491,01:25:37,0.98 MB,[]
1,agrawal2_abrupt_1M_0,BOLE_KSWIN51_F,0.8971428971428972,0.7420659605829203,01:21:21,949.94 KB,[]
2,agrawal2_abrupt_1M_0,BOLE_KSWIN101_F,0.8972328972328972,0.7421432776010236,01:14:01,0.96 MB,[]
3,agrawal2_abrupt_1M_0,BOLE_KSWIN151_F,0.8965998965998966,0.7405345953004876,01:11:36,1.7 MB,[]
4,agrawal2_abrupt_1M_0,BOLE_KSWIN201_F,0.8962558962558963,0.739788941094241,01:12:10,1.13 MB,[]
5,agrawal2_abrupt_1M_2,BOLE_KSWIN1_F,0.8957648957648958,0.7387629638831716,01:10:54,2.72 MB,[]
6,agrawal2_abrupt_1M_2,BOLE_KSWIN51_F,0.8963648963648964,0.7403388430952972,01:08:53,826.17 KB,[]
7,agrawal2_abrupt_1M_2,BOLE_KSWIN101_F,0.8954398954398954,0.7381415746919954,01:07:36,889.46 KB,[]
8,agrawal2_abrupt_1M_2,BOLE_KSWIN151_F,0.8962108962108962,0.7399512709370185,01:07:24,1.72 MB,[]
9,agrawal2_abrupt_1M_2,BOLE_KSWIN201_F,0.8964688964688965,0.7406108544471223,01:07:26,2.09 MB,[]
10,agrawal2_abrupt_1M_4,BOLE_KSWIN1_F,0.8961288961288961,0.7398824397186908,01:07:51,1.12 MB,[]
11,agrawal2_abrupt_1M_4,BOLE_KSWIN51_F,0.8953458953458954,0.7376581216965944,01:07:47,1.84 MB,[]
12,agrawal2_abrupt_1M_4,BOLE_KSWIN101_F,0.895919895919896,0.7391603315312689,01:07:28,1.52 MB,[]
13,agrawal2_abrupt_1M_4,BOLE_KSWIN151_F,0.8956898956898957,0.7384621385504941,01:07:57,912.29 KB,[]
14,agrawal2_abrupt_1M_4,BOLE_KSWIN201_F,0.8971718971718972,0.7422929079364263,01:07:28,4.26 MB,[]
15,agrawal2_abrupt_1M_6,BOLE_KSWIN1_F,0.8954518954518954,0.7382319778873414,01:06:13,1.78 MB,[]
16,agrawal2_abrupt_1M_6,BOLE_KSWIN51_F,0.8955058955058955,0.7385552336408755,01:00:12,1.65 MB,[]
17,agrawal2_abrupt_1M_6,BOLE_KSWIN101_F,0.8971638971638972,0.7427623652791987,01:03:28,1.33 MB,[]
18,agrawal2_abrupt_1M_6,BOLE_KSWIN151_F,0.8946478946478946,0.7362235586448211,01:13:34,1.33 MB,[]
19,agrawal2_abrupt_1M_6,BOLE_KSWIN201_F,0.8961758961758962,0.7401687557543748,01:11:46,1.5 MB,[]
20,agrawal2_abrupt_1M_8,BOLE_KSWIN1_F,0.8960738960738961,0.7397299666842557,01:14:39,3.98 MB,[]
21,agrawal2_abrupt_1M_8,BOLE_KSWIN51_F,0.8957558957558958,0.7388956543347998,01:14:13,0.97 MB,[]
22,agrawal2_abrupt_1M_8,BOLE_KSWIN101_F,0.8962718962718963,0.7402189740105265,01:14:31,2.16 MB,[]
23,agrawal2_abrupt_1M_8,BOLE_KSWIN151_F,0.8977568977568977,0.7441449802109935,01:12:04,1.55 MB,[]
24,agrawal2_abrupt_1M_8,BOLE_KSWIN201_F,0.8953148953148953,0.7378824951352285,01:12:33,1.64 MB,[]
25,agrawal2_abrupt_1M_10,BOLE_KSWIN1_F,0.8955878955878955,0.7376500956433518,01:11:34,2.96 MB,[]
26,agrawal2_abrupt_1M_10,BOLE_KSWIN51_F,0.8958978958978959,0.7387983994811468,01:11:34,2.76 MB,[]
27,agrawal2_abrupt_1M_10,BOLE_KSWIN101_F,0.8963238963238963,0.7398718865719873,01:11:11,2.02 MB,[]
28,agrawal2_abrupt_1M_10,BOLE_KSWIN151_F,0.896009896009896,0.7389561518825891,01:04:51,2.68 MB,[]
29,agrawal2_abrupt_1M_10,BOLE_KSWIN201_F,0.8999428999428999,0.7489896941998925,00:59:12,2.81 MB,[]
30,agrawal2_abrupt_1M_12,BOLE_KSWIN1_F,0.8966288966288967,0.7413914240355377,00:57:53,1.38 MB,[]
31,agrawal2_abrupt_1M_12,BOLE_KSWIN51_F,0.8955188955188955,0.7387033737753964,01:13:33,1.05 MB,[]
32,agrawal2_abrupt_1M_12,BOLE_KSWIN101_F,0.8965978965978966,0.7413765943070759,01:23:59,1.32 MB,[]
33,agrawal2_abrupt_1M_12,BOLE_KSWIN151_F,0.8957498957498957,0.7390901641851907,01:23:46,2.5 MB,[]
34,agrawal2_abrupt_1M_12,BOLE_KSWIN201_F,0.8959158959158959,0.7395885275462951,01:12:39,3.68 MB,[]
35,agrawal2_abrupt_1M_14,BOLE_KSWIN1_F,0.8972308972308972,0.7423719107393185,01:00:59,1.72 MB,[]
36,agrawal2_abrupt_1M_14,BOLE_KSWIN51_F,0.8968918968918969,0.7417105422674297,01:00:51,3.1 MB,[]
37,agrawal2_abrupt_1M_14,BOLE_KSWIN101_F,0.8947748947748948,0.7364070860750067,01:00:00,2.97 MB,[]
38,agrawal2_abrupt_1M_14,BOLE_KSWIN151_F,0.8972908972908973,0.7425666527346397,00:58:23,2.49 MB,[]
39,agrawal2_abrupt_1M_14,BOLE_KSWIN201_F,0.8966498966498967,0.7410751913691037,00:57:49,1.48 MB,[]
40,agrawal2_abrupt_1M_16,BOLE_KSWIN1_F,0.897980897980898,0.7436851646411005,00:57:44,1.08 MB,[]
41,agrawal2_abrupt_1M_16,BOLE_KSWIN51_F,0.8971398971398972,0.7417446427017638,00:57:45,1.35 MB,[]
42,agrawal2_abrupt_1M_16,BOLE_KSWIN101_F,0.8976378976378976,0.7431962710893546,00:56:01,2.79 MB,[]
43,agrawal2_abrupt_1M_16,BOLE_KSWIN151_F,0.896008896008896,0.7386360129834519,00:55:21,931.54 KB,[]
44,agrawal2_abrupt_1M_16,BOLE_KSWIN201_F,0.8972198972198973,0.7418646888582786,00:55:29,2.89 MB,[]
45,agrawal2_abrupt_1M_18,BOLE_KSWIN1_F,0.8953848953848954,0.7379029465624821,01:11:57,964.92 KB,[]
46,agrawal2_abrupt_1M_18,BOLE_KSWIN51_F,0.8966278966278967,0.7408854140344231,01:20:32,858.37 KB,[]
47,agrawal2_abrupt_1M_18,BOLE_KSWIN101_F,0.8969538969538969,0.7417828858403477,01:20:14,3.11 MB,[]
