,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_gradual_1M_0,BOLE_basic_F,0.8667018667018667,0.6760686478895447,00:29:19,416.04 MB,[]
1,agrawal2_gradual_1M_0,BOLE_ADWIN_F,0.8975198975198975,0.7430676707767071,00:34:49,762.68 KB,[]
2,agrawal2_gradual_1M_0,BOLE_CUSUM_F,0.9173139173139173,0.7929483542818084,00:28:19,2.25 MB,[]
3,agrawal2_gradual_1M_0,BOLE_DDM_F,0.9282559282559283,0.8205695377628591,00:31:22,63.28 MB,[]
4,agrawal2_gradual_1M_0,BOLE_ECDD_F,0.8651608651608652,0.6640604819631039,00:27:38,2.54 MB,[]
5,agrawal2_gradual_1M_0,BOLE_EDDM_F,0.9065699065699065,0.7663801577279511,00:32:09,212.81 MB,[]
6,agrawal2_gradual_1M_0,BOLE_GMA_F,0.8667018667018667,0.6760686478895447,00:33:12,416.05 MB,[]
7,agrawal2_gradual_1M_0,BOLE_HDDMA_F,0.8788778788778788,0.6964557068963037,00:28:32,1.75 MB,[]
8,agrawal2_gradual_1M_0,BOLE_HDDMW_F,0.8783378783378784,0.6963474082482746,00:28:10,1.37 MB,[]
9,agrawal2_gradual_1M_0,BOLE_PH_F,0.9226699226699226,0.8066656136525566,00:26:51,20.56 MB,[]
10,agrawal2_gradual_1M_0,BOLE_RDDM_F,0.9048719048719048,0.7614743507680942,00:26:31,1.97 MB,[]
11,agrawal2_gradual_1M_0,BOLE_STEPD_F,0.8718318718318718,0.6800352811126706,00:45:09,2.25 MB,[]
12,agrawal2_gradual_1M_2,BOLE_basic_F,0.8634468634468635,0.6688614438866974,00:29:33,416.01 MB,[]
13,agrawal2_gradual_1M_2,BOLE_ADWIN_F,0.8983208983208983,0.7453189796922164,00:36:45,669.87 KB,[]
14,agrawal2_gradual_1M_2,BOLE_CUSUM_F,0.916979916979917,0.7924597107378669,00:29:39,1.76 MB,[]
15,agrawal2_gradual_1M_2,BOLE_DDM_F,0.9272409272409272,0.8181492042505712,00:34:31,100.52 MB,[]
16,agrawal2_gradual_1M_2,BOLE_ECDD_F,0.8645278645278646,0.6628927465080856,00:29:15,2.44 MB,[]
17,agrawal2_gradual_1M_2,BOLE_EDDM_F,0.9167069167069167,0.7930025158458651,00:34:52,214.05 MB,[]
18,agrawal2_gradual_1M_2,BOLE_GMA_F,0.8634468634468635,0.6688614438866974,00:36:41,416.02 MB,[]
19,agrawal2_gradual_1M_2,BOLE_HDDMA_F,0.8787898787898788,0.6969205235524041,00:30:34,1.85 MB,[]
20,agrawal2_gradual_1M_2,BOLE_HDDMW_F,0.8782468782468782,0.6966355025234224,00:30:19,1.26 MB,[]
21,agrawal2_gradual_1M_2,BOLE_PH_F,0.9332949332949333,0.8338130843152116,00:29:17,27.77 MB,[]
22,agrawal2_gradual_1M_2,BOLE_RDDM_F,0.904061904061904,0.7600443181498675,00:29:18,2.89 MB,[]
23,agrawal2_gradual_1M_2,BOLE_STEPD_F,0.8706638706638706,0.6779076741550846,00:44:46,2.3 MB,[]
24,agrawal2_gradual_1M_4,BOLE_basic_F,0.8620948620948621,0.666432172145915,00:28:51,413.96 MB,[]
25,agrawal2_gradual_1M_4,BOLE_ADWIN_F,0.8973698973698974,0.7430992778677894,00:35:21,627.5 KB,[]
26,agrawal2_gradual_1M_4,BOLE_CUSUM_F,0.917002917002917,0.7928602176183945,00:29:13,4.31 MB,[]
27,agrawal2_gradual_1M_4,BOLE_DDM_F,0.9250829250829251,0.8130669596570016,00:33:40,112.27 MB,[]
28,agrawal2_gradual_1M_4,BOLE_ECDD_F,0.8643728643728644,0.6624080497835344,00:29:05,2.55 MB,[]
29,agrawal2_gradual_1M_4,BOLE_EDDM_F,0.9187959187959188,0.7977823767769452,00:34:10,281.05 MB,[]
30,agrawal2_gradual_1M_4,BOLE_GMA_F,0.8620948620948621,0.666432172145915,00:35:04,413.97 MB,[]
31,agrawal2_gradual_1M_4,BOLE_HDDMA_F,0.8787578787578788,0.6966425980605071,00:30:23,1.82 MB,[]
32,agrawal2_gradual_1M_4,BOLE_HDDMW_F,0.8783458783458783,0.6968233955928107,00:31:14,1.44 MB,[]
33,agrawal2_gradual_1M_4,BOLE_PH_F,0.9222239222239222,0.8057562798955338,00:30:59,15.51 MB,[]
34,agrawal2_gradual_1M_4,BOLE_RDDM_F,0.9034979034979035,0.7584392590472149,00:29:27,2.01 MB,[]
35,agrawal2_gradual_1M_4,BOLE_STEPD_F,0.8708058708058708,0.6778376778773276,00:44:07,2.5 MB,[]
36,agrawal2_gradual_1M_6,BOLE_basic_F,0.8645758645758645,0.6722563243442514,00:28:18,407.02 MB,[]
37,agrawal2_gradual_1M_6,BOLE_ADWIN_F,0.8971268971268971,0.7423575907133789,00:36:01,771.21 KB,[]
38,agrawal2_gradual_1M_6,BOLE_CUSUM_F,0.9244149244149245,0.8116559972713516,00:28:31,6.91 MB,[]
39,agrawal2_gradual_1M_6,BOLE_DDM_F,0.9434719434719435,0.8595896222098517,00:32:28,73.08 MB,[]
40,agrawal2_gradual_1M_6,BOLE_ECDD_F,0.864941864941865,0.6639805663093324,00:28:57,2.49 MB,[]
41,agrawal2_gradual_1M_6,BOLE_EDDM_F,0.9051869051869051,0.7644081050718077,00:34:04,233.47 MB,[]
42,agrawal2_gradual_1M_6,BOLE_GMA_F,0.8645758645758645,0.6722563243442514,00:34:38,407.04 MB,[]
43,agrawal2_gradual_1M_6,BOLE_HDDMA_F,0.8782898782898783,0.6957829399934198,00:30:38,1.86 MB,[]
44,agrawal2_gradual_1M_6,BOLE_HDDMW_F,0.8786018786018785,0.6977177341472861,00:30:32,1.33 MB,[]
45,agrawal2_gradual_1M_6,BOLE_PH_F,0.9253409253409254,0.8138705217735833,00:28:42,25.26 MB,[]
46,agrawal2_gradual_1M_6,BOLE_RDDM_F,0.9017579017579017,0.7545463290734766,00:28:37,1.79 MB,[]
47,agrawal2_gradual_1M_6,BOLE_STEPD_F,0.8708228708228708,0.67820117581325,00:48:09,2.48 MB,[]
48,agrawal2_gradual_1M_8,BOLE_basic_F,0.8595138595138595,0.6610311070369612,00:31:04,404.97 MB,[]
49,agrawal2_gradual_1M_8,BOLE_ADWIN_F,0.8973528973528974,0.7430835816469845,00:37:14,781.59 KB,[]
50,agrawal2_gradual_1M_8,BOLE_CUSUM_F,0.9149049149049149,0.7876864689971506,00:30:36,4.82 MB,[]
