,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_gradual_1M_0,BOLE_KSWIN1_F,0.8984328984328984,0.7452205682854345,01:23:43,1.02 MB,[]
1,agrawal2_gradual_1M_0,BOLE_KSWIN51_F,0.8963608963608963,0.7399009258027732,01:23:30,879.14 KB,[]
2,agrawal2_gradual_1M_0,BOLE_KSWIN101_F,0.896955896955897,0.741460307285167,01:21:59,915.92 KB,[]
3,agrawal2_gradual_1M_0,BOLE_KSWIN151_F,0.8974268974268974,0.7429110073612114,01:22:32,881.4 KB,[]
4,agrawal2_gradual_1M_0,BOLE_KSWIN201_F,0.8962548962548963,0.7396147185504092,01:15:50,932.16 KB,[]
5,agrawal2_gradual_1M_2,BOLE_KSWIN1_F,0.894995894995895,0.7368709367415821,01:06:45,1.21 MB,[]
6,agrawal2_gradual_1M_2,BOLE_KSWIN51_F,0.8961368961368962,0.7399087714797574,01:07:09,913.75 KB,[]
7,agrawal2_gradual_1M_2,BOLE_KSWIN101_F,0.8954378954378954,0.7381880565041812,01:06:59,1.07 MB,[]
8,agrawal2_gradual_1M_2,BOLE_KSWIN151_F,0.895977895977896,0.7395017123115003,01:08:54,3.02 MB,[]
9,agrawal2_gradual_1M_2,BOLE_KSWIN201_F,0.8961198961198961,0.7396858417998399,01:15:03,1.05 MB,[]
10,agrawal2_gradual_1M_4,BOLE_KSWIN1_F,0.8957478957478957,0.7388451470794768,01:07:21,4.17 MB,[]
11,agrawal2_gradual_1M_4,BOLE_KSWIN51_F,0.8964198964198964,0.740497048168561,01:06:48,1.2 MB,[]
12,agrawal2_gradual_1M_4,BOLE_KSWIN101_F,0.8948558948558949,0.7364723119627901,01:11:02,976.2 KB,[]
13,agrawal2_gradual_1M_4,BOLE_KSWIN151_F,0.8962678962678963,0.7401248361088933,01:24:38,1.01 MB,[]
14,agrawal2_gradual_1M_4,BOLE_KSWIN201_F,0.8964778964778964,0.7406412134905601,01:24:45,1.12 MB,[]
15,agrawal2_gradual_1M_6,BOLE_KSWIN1_F,0.896008896008896,0.7397637160252639,01:24:39,883.71 KB,[]
16,agrawal2_gradual_1M_6,BOLE_KSWIN51_F,0.8949428949428949,0.7370290008507341,01:24:54,886.89 KB,[]
17,agrawal2_gradual_1M_6,BOLE_KSWIN101_F,0.8969198969198969,0.7421520370589909,01:23:17,1.69 MB,[]
18,agrawal2_gradual_1M_6,BOLE_KSWIN151_F,0.8953918953918953,0.7381094246774745,01:06:55,2.43 MB,[]
19,agrawal2_gradual_1M_6,BOLE_KSWIN201_F,0.8947668947668947,0.7368581002557956,01:07:19,1.62 MB,[]
20,agrawal2_gradual_1M_8,BOLE_KSWIN1_F,0.8952468952468953,0.7376272625849516,01:11:48,2.45 MB,[]
21,agrawal2_gradual_1M_8,BOLE_KSWIN51_F,0.8952738952738952,0.7378820445937893,01:14:30,792.17 KB,[]
22,agrawal2_gradual_1M_8,BOLE_KSWIN101_F,0.897069897069897,0.7423228489327176,01:14:14,2.61 MB,[]
23,agrawal2_gradual_1M_8,BOLE_KSWIN151_F,0.8973058973058973,0.7428090156508494,01:10:14,1.17 MB,[]
24,agrawal2_gradual_1M_8,BOLE_KSWIN201_F,0.9023949023949024,0.7557430077226651,01:06:38,1.78 MB,[]
25,agrawal2_gradual_1M_10,BOLE_KSWIN1_F,0.896024896024896,0.7389525368938756,01:23:44,1.28 MB,[]
