,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_gradual_1M_0,HT_basic_F,0.7898327898327898,0.5298210318593956,00:03:29,31.51 MB,[]
1,agrawal2_gradual_1M_0,HT_ADWIN_F,0.8948198948198948,0.737551396412429,00:04:24,57.03 KB,"[1791, 9023, 17023, 23167, 30463, 37631, 46015, 49727, 56895, 57791, 64991, 67103, 72223, 79391, 84511, 88703, 93311, 99967, 106559, 112735, 120063, 126719, 128735, 137951, 144959, 152671, 161887, 169055, 175583, 182751, 189919, 196575, 199487, 200639, 207071, 214751, 219071, 222559, 224703, 227775, 235871, 240319, 246463, 253631, 257727, 261919, 269087, 271615, 274687, 279487, 283071, 288575, 291519, 295615, 301759, 306335, 306559, 310655, 315263, 322847, 326591, 334015, 342207, 344511, 347999, 348767, 356703, 359199, 366367, 373247, 378303, 381375, 384959, 387071, 391807, 398975, 400255, 414591, 433023, 451455, 478463, 498239, 514623, 533087, 551071, 567455, 585887, 600191, 607103, 613247, 619519, 623455, 630143, 633215, 640127, 654463, 661887, 666719, 670815, 678239, 682335, 685887, 690399, 696895, 701247, 706111, 718815, 727007, 739743, 746911, 748927, 756735, 759039, 767935, 772031, 775519, 784351, 788447, 790463, 795487, 800511]"
2,agrawal2_gradual_1M_0,HT_CUSUM_F,0.9485019485019485,0.8753791402101659,00:03:34,40.95 KB,"[200298, 400107, 600146, 800170]"
3,agrawal2_gradual_1M_0,HT_DDM_F,0.9479129479129479,0.8740628599111225,00:03:36,78.67 KB,"[201516, 400351, 400405, 600206, 800538, 800851]"
4,agrawal2_gradual_1M_0,HT_ECDD_F,0.8667658667658668,0.6646943748960765,00:03:46,102.18 KB,"[248, 1210, 2149, 4141, 4661, 4763, 4873, 6270, 8640, 9271, 9528, 9904, 10120, 11260, 12716, 14019, 14504, 15196, 16315, 17859, 18483, 18846, 20086, 21191, 24326, 25043, 25360, 27237, 28076, 28329, 28978, 29389, 29815, 30402, 31192, 32400, 34247, 34470, 34785, 35692, 36731, 38806, 39559, 39749, 40058, 40354, 40558, 40703, 42411, 44814, 46981, 48208, 48889, 50078, 50827, 51711, 52479, 52676, 54546, 55418, 55670, 56228, 56737, 57970, 58765, 59683, 59993, 61293, 62433, 63179, 64150, 65730, 67819, 68474, 68853, 68999, 70051, 70389, 71700, 73339, 73710, 74889, 75095, 75417, 75712, 76579, 77143, 77381, 77437, 77528, 78405, 78576, 79046, 79892, 82642, 83409, 84170, 85610, 85960, 86093, 86654, 87040, 87362, 88513, 90577, 92011, 92945, 93421, 94056, 94344, 94501, 95280, 95839, 95885, 96299, 96456, 96834, 98392, 98936, 100948, 101700, 101974, 102778, 103928, 105155, 105975, 106715, 107081, 108263, 108999, 109693, 110514, 111962, 113054, 114716, 115445, 116423, 116929, 117490, 118369, 118703, 118932, 120959, 121766, 122600, 122940, 124063, 124814, 126648, 127517, 127594, 127874, 128689, 129392, 130203, 130796, 131490, 131557, 131619, 132559, 133377, 134423, 135048, 135199, 136064, 136471, 136978, 138335, 138938, 139609, 140774, 141669, 143350, 143736, 143889, 144683, 146081, 146570, 147151, 147811, 147997, 148638, 148686, 149633, 151554, 152923, 153655, 154058, 155154, 155718, 156405, 157158, 159427, 162337, 163322, 164622, 166559, 168471, 168784, 169325, 169789, 170738, 171211, 172181, 173181, 173865, 175102, 176299, 176728, 177116, 178191, 178676, 179000, 179447, 179871, 180214, 181581, 182630, 182812, 184642, 185206, 186811, 188478, 189314, 189405, 189489, 190617, 191229, 192366, 194047, 194692, 195094, 195861, 196283, 197161, 198133, 198836, 199540, 201815, 202380, 202570, 203505, 204026, 204823, 206537, 207339, 208237, 209296, 210761, 212069, 212714, 213574, 214478, 215792, 216309, 218053, 218815, 219957, 220414, 220925, 221915, 222180, 222921, 223285, 223632, 224093, 224912, 225403, 225731, 225999, 226535, 226942, 227304, 227654, 228829, 229569, 230175, 232053, 232405, 232735, 235101, 236069, 237403, 237912, 238202, 238831, 239168, 239797, 240315, 240653, 240907, 241793, 242333, 242920, 243519, 244860, 245229, 246162, 246661, 247207, 247482, 248258, 248637, 249169, 249490, 250147, 250842, 250938, 251327, 253860, 254229, 255086, 255343, 255715, 256185, 257132, 257633, 258842, 259600, 260084, 260130, 261256, 262185, 262436, 263627, 263976, 264729, 265441, 265772, 266331, 267623, 268419, 269634, 270818, 271715, 272235, 272733, 275579, 275917, 276728, 278108, 279725, 280339, 280721, 282144, 284511, 285382, 285810, 286405, 286573, 286831, 287121, 287648, 288565, 288892, 289563, 289870, 290966, 291695, 293760, 294090, 295151, 295265, 295458, 295992, 296183, 298545, 298855, 299496, 302095, 302208, 303131, 304188, 305968, 306339, 306543, 306741, 307004, 307333, 308201, 308628, 310224, 310647, 310850, 311548, 311908, 312197, 312857, 314071, 315137, 315209, 316229, 317087, 317274, 317623, 319436, 320057, 320998, 323017, 323318, 323571, 326035, 328408, 329607, 329683, 330381, 331221, 331981, 332149, 334411, 336343, 336418, 336639, 337452, 338780, 340514, 341443, 341700, 342565, 342931, 343977, 344213, 344684, 349340, 349796, 350837, 351360, 351698, 351927, 352230, 352610, 353588, 353888, 354729, 355983, 356595, 357876, 358224, 358716, 361241, 361539, 362338, 362514, 362719, 364142, 364501, 364698, 365168, 366566, 367553, 368462, 368939, 369553, 369855, 371899, 372425, 372988, 374239, 374820, 375241, 375528, 377100, 377480, 378312, 379581, 380094, 380739, 381479, 382410, 383710, 384505, 385139, 385964, 386346, 387748, 388424, 389932, 392846, 393319, 393586, 393821, 394818, 395791, 396174, 396546, 396590, 396900, 397759, 397989, 398166, 399273, 399608, 400047, 401286, 402254, 402427, 402768, 403059, 403458, 403670, 403728, 404028, 404796, 405226, 406159, 406559, 407293, 407942, 408844, 409745, 410551, 410602, 410711, 411225, 412510, 412726, 412965, 414178, 414817, 415036, 416144, 416323, 416396, 416556, 416767, 417619, 417675, 417789, 418286, 419247, 419302, 419399, 419857, 420117, 420462, 420604, 420727, 420949, 421234, 421453, 422680, 423029, 423097, 423452, 423957, 424324, 424765, 424842, 424893, 425026, 425374, 426172, 426290, 426665, 427058, 427123, 427404, 427538, 428283, 428974, 429198, 429453, 430160, 430823, 431065, 431808, 431983, 432386, 432462, 433261, 434015, 434107, 434243, 434826, 435531, 435732, 435809, 436134, 436234, 436391, 436742, 436936, 437306, 438743, 438826, 438905, 439226, 439343, 439534, 440124, 440434, 440538, 441031, 441883, 442414, 442466, 443308, 443576, 443633, 443770, 444195, 444339, 444686, 444758, 444881, 445167, 445243, 445300, 446212, 446291, 446617, 447219, 448142, 448351, 448527, 449116, 449769, 450609, 451691, 451745, 451897, 452245, 452620, 453180, 453873, 454098, 454307, 454957, 455026, 455129, 455205, 455341, 455919, 456131, 456306, 456543, 457618, 458586, 459212, 459273, 459336, 459615, 459732, 460188, 461876, 462075, 462427, 463005, 463098, 463162, 463568, 464911, 465021, 465749, 466056, 466151, 466440, 466943, 467153, 467204, 467725, 467939, 468192, 468264, 468379, 468556, 468912, 469858, 469927, 470580, 471631, 472289, 472792, 473116, 473393, 474402, 474563, 474629, 475080, 475213, 475327, 475546, 475862, 476493, 477014, 477492, 478432, 478535, 478655, 479955, 481171, 481285, 481357, 481665, 481834, 482663, 482698, 482857, 482898, 483019, 483322, 484320, 485559, 485609, 486355, 486412, 486872, 487252, 487531, 487576, 488387, 488499, 488571, 488937, 489034, 489189, 489687, 490421, 490480, 490581, 490653, 490947, 491190, 491432, 491948, 492108, 492483, 493668, 493950, 494351, 494607, 494849, 495325, 495864, 496214, 496711, 497427, 499164, 499328, 500143, 500559, 500793, 500975, 502596, 503257, 503595, 504296, 505064, 505543, 505821, 505874, 506286, 506446, 506685, 506784, 506947, 507105, 507525, 507760, 508061, 508242, 508321, 508399, 508543, 508801, 509112, 509822, 509953, 510398, 510557, 510746, 510973, 511568, 511852, 511934, 512165, 512490, 512871, 513228, 514085, 514155, 514239, 514371, 514572, 514645, 514729, 514942, 515684, 515795, 516071, 516128, 516341, 516496, 516954, 517391, 517947, 518132, 518316, 519069, 519729, 519878, 520231, 520547, 520666, 521038, 521622, 522461, 522562, 522931, 523397, 523809, 523933, 524066, 525451, 525615, 525830, 525902, 526000, 526286, 526386, 526670, 526936, 527606, 528350, 528992, 529363, 529415, 530190, 530437, 530821, 530977, 531141, 531754, 531855, 532201, 532538, 532783, 533191, 533393, 534287, 534775, 535793, 536670, 536759, 536961, 537006, 537237, 537352, 537679, 539094, 539195, 539765, 540152, 540270, 540387, 540560, 541127, 542157, 542249, 542434, 542531, 542883, 543568, 543697, 544051, 546062, 546190, 546438, 546487, 546656, 546779, 547091, 547902, 547988, 548204, 548680, 549203, 549272, 549381, 549597, 550033, 550128, 550205, 550789, 551215, 551617, 551852, 552271, 552594, 552803, 553249, 554301, 554376, 554513, 554612, 555137, 556293, 557113, 557619, 557970, 558315, 558530, 558861, 559172, 559449, 559500, 560123, 560199, 560431, 560658, 560916, 561476, 561979, 562301, 563438, 563831, 563885, 564515, 564857, 565256, 565635, 565718, 565865, 566700, 566900, 567151, 567477, 567588, 568047, 568268, 568426, 569269, 569947, 570011, 570469, 570620, 570746, 571078, 571419, 571642, 572979, 573134, 573544, 574061, 574937, 576138, 577998, 578297, 578583, 578704, 578816, 579035, 579737, 580443, 581729, 582372, 582510, 583007, 583695, 584051, 584331, 584634, 584686, 585024, 585436, 585570, 585707, 585862, 585970, 586027, 586257, 586547, 587783, 587940, 588000, 588345, 589143, 589750, 589949, 590132, 590374, 590487, 590804, 591481, 592081, 592226, 592334, 592754, 593572, 594193, 595116, 595324, 595436, 595538, 595896, 596289, 596790, 596886, 597130, 597219, 597526, 598302, 598540, 598805, 599138, 599627, 599867, 600146, 601375, 601987, 602237, 602875, 603533, 604054, 604447, 606324, 606756, 607360, 608265, 608449, 608648, 609364, 609968, 610613, 612094, 612473, 612842, 613240, 613477, 613683, 614180, 614378, 615330, 615496, 616656, 617049, 617881, 618285, 620001, 620567, 620773, 621639, 624058, 624394, 624937, 625131, 625554, 625748, 627109, 627892, 628482, 629597, 630204, 632618, 634259, 634545, 634740, 634942, 636103, 636585, 637557, 637931, 638351, 638859, 639825, 640264, 641069, 641932, 642034, 642246, 642604, 644141, 644493, 645837, 646316, 646791, 647432, 647904, 648827, 649196, 649518, 650459, 651086, 651216, 651354, 651785, 653698, 654629, 655377, 655740, 657659, 657835, 657930, 658624, 659619, 660112, 660725, 661562, 662463, 663180, 664755, 665194, 666597, 667354, 667874, 668072, 669122, 669219, 669315, 669669, 670196, 670382, 670594, 670805, 671764, 672752, 673343, 674137, 674948, 675608, 676492, 677246, 679013, 679480, 680369, 680476, 680857, 681154, 681609, 682168, 683116, 683285, 684391, 685988, 686603, 686886, 687850, 688515, 688799, 688853, 689710, 690298, 691490, 691848, 692564, 693023, 693564, 694278, 694574, 694774, 695181, 695770, 698259, 698573, 698925, 699521, 700603, 701531, 701901, 702107, 703159, 703626, 704120, 709047, 709414, 710535, 711282, 711865, 712226, 712975, 713816, 714099, 714660, 715163, 716302, 716790, 717114, 717464, 717972, 719468, 719845, 721578, 721914, 723229, 724196, 724368, 725201, 725688, 727548, 728386, 728747, 729553, 730163, 730853, 731249, 731834, 732363, 733050, 733241, 733907, 735017, 735493, 736328, 737691, 738878, 739108, 740171, 740722, 741536, 743473, 743819, 744005, 744945, 745294, 745456, 745711, 746229, 746536, 746846, 747640, 750663, 751388, 751955, 754236, 755323, 756192, 756812, 757904, 758966, 759586, 760616, 760991, 761700, 762300, 763375, 764420, 765791, 766025, 767121, 767865, 768545, 768968, 769360, 770392, 771572, 771916, 774696, 774849, 775062, 775500, 775867, 776775, 776986, 778575, 778729, 778944, 779721, 781149, 781697, 783820, 784132, 784703, 785397, 786354, 787173, 787562, 788708, 789553, 790393, 793344, 793851, 794321, 796068, 796112, 796573, 796927, 797784, 799980, 803280, 803757, 804182, 804789, 804990, 805891, 806187, 806320, 806440, 806587, 808209, 808558, 809146, 809851, 809975, 811106, 813326, 813703, 814105, 814350, 815183, 815528, 816282, 817120, 817276, 817643, 817867, 818155, 818672, 819547, 820142, 820270, 820490, 820985, 821435, 821713, 821956, 822062, 822735, 823216, 823757, 824802, 825402, 826200, 827566, 828954, 829268, 829498, 829607, 830343, 830554, 830847, 831096, 831276, 831752, 831915, 832191, 832551, 832992, 833310, 834336, 834511, 834922, 835263, 835374, 836964, 837438, 837829, 838341, 838769, 838933, 839562, 839915, 840210, 841735, 843117, 843665, 844965, 845562, 847598, 847880, 848082, 849239, 850008, 850613, 851462, 851779, 852055, 853208, 853701, 853964, 854985, 855233, 855385, 855780, 857214, 857478, 857898, 858614, 859029, 860040, 861061, 861369, 862166, 862449, 862947, 863190, 863333, 864536, 865582, 865999, 866188, 866625, 867386, 867579, 867866, 868452, 868940, 869025, 869575, 870306, 871011, 871887, 872258, 873413, 873575, 873663, 874459, 874708, 875574, 875917, 876385, 876634, 876909, 877042, 878212, 878574, 879371, 879874, 880061, 880197, 881862, 881964, 882696, 883508, 883825, 883997, 884118, 884612, 884820, 886010, 886419, 887280, 887795, 888829, 888906, 889208, 890076, 890381, 890722, 891105, 891457, 891882, 892519, 895859, 896239, 896825, 897486, 897786, 898197, 898589, 899192, 899721, 899880, 900171, 900397, 900545, 900972, 901825, 902688, 903168, 903222, 903674, 903989, 904324, 905571, 906037, 906713, 907070, 907250, 907928, 912899, 913144, 913523, 914267, 914983, 916146, 916369, 916524, 916982, 917419, 917656, 919287, 919757, 919938, 920281, 920883, 921194, 921647, 921928, 922256, 922610, 923299, 923837, 925027, 925922, 926383, 928069, 928883, 929443, 929697, 930230, 932715, 933421, 933932, 934453, 934883, 935729, 936293, 936720, 937078, 937463, 937955, 938052, 938425, 938662, 938821, 939109, 940526, 940926, 941093, 941204, 941971, 942607, 944079, 944787, 945691, 946805, 947212, 947361, 948089, 948708, 949195, 950798, 951896, 952536, 952837, 953864, 955155, 957459, 957998, 958558, 959200, 960254, 961273, 962003, 962740, 963072, 963238, 964131, 964557, 964977, 966811, 967665, 968896, 970300, 970509, 971657, 972003, 972294, 972348, 972485, 973149, 973572, 974377, 974824, 974954, 975183, 975878, 976555, 976674, 977163, 977603, 979890, 981162, 982537, 983722, 984990, 985464, 985598, 985995, 986575, 987713, 987811, 988179, 988373, 988896, 989778, 989977, 990275, 990402, 990515, 990832, 991057, 991430, 992254, 993755, 994286, 994438, 995144, 995753, 995924, 997582, 997670, 998113, 998330, 998833, 999088, 999445]"
5,agrawal2_gradual_1M_0,HT_EDDM_F,0.9616299616299616,0.9052823428631604,00:03:22,337.75 KB,"[133, 191, 247, 316, 490, 571, 666, 781, 847, 210502, 210677, 404991, 406581, 408465, 411218, 413450, 417544, 420921, 422139, 424147, 427673, 429516, 431640, 432696, 434297, 437050, 600539, 807413, 820985, 831915, 867994]"
6,agrawal2_gradual_1M_0,HT_GMA_F,0.7898327898327898,0.5298210318593956,00:03:56,31.51 MB,[]
7,agrawal2_gradual_1M_0,HT_HDDMA_F,0.9455019455019456,0.8682015726080619,00:03:50,283.97 KB,"[143405, 200252, 400015, 600097, 800172]"
8,agrawal2_gradual_1M_0,HT_HDDMW_F,0.9275689275689276,0.8181484194412127,00:03:40,46.54 KB,"[266, 3726, 7246, 10350, 12019, 15494, 17858, 21543, 25042, 30641, 34593, 37417, 41760, 42356, 43410, 45517, 48786, 52348, 53181, 54546, 58060, 59713, 61690, 65293, 80053, 83754, 99589, 101301, 102639, 105303, 107494, 110941, 114555, 118374, 121802, 125249, 131749, 132609, 138994, 142582, 143704, 144770, 145951, 148706, 160814, 166713, 168471, 170790, 174206, 176922, 180994, 184482, 188124, 189350, 193489, 195863, 199376, 400184, 600207, 800175]"
9,agrawal2_gradual_1M_0,HT_KSWIN1_F,0.8063578063578064,0.559489203878638,00:09:46,43.93 KB,[903100]
