,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_gradual_20K_0,BOLE_basic_F,0.799789989499475,0.512422593216334,00:00:24,14.12 MB,[]
1,agrawal2_gradual_20K_0,BOLE_ADWIN_F,0.8786939346967348,0.700557644844399,00:00:32,1.67 MB,[]
2,agrawal2_gradual_20K_0,BOLE_BOCD_F,0.8730936546827341,0.686633436543265,00:34:15,29.66 MB,[]
3,agrawal2_gradual_20K_0,BOLE_CUSUM_F,0.8707435371768588,0.6787624952180908,00:00:28,5.38 MB,[]
4,agrawal2_gradual_20K_0,BOLE_DDM_F,0.8761938096904845,0.6956486459160208,00:00:29,2.67 MB,[]
5,agrawal2_gradual_20K_0,BOLE_ECDD_F,0.848142407120356,0.6273021158927841,00:00:29,716.79 KB,[]
6,agrawal2_gradual_20K_0,BOLE_EDDM_F,0.8693434671733586,0.673815853800326,00:00:28,3.7 MB,[]
7,agrawal2_gradual_20K_0,BOLE_GMA_F,0.799789989499475,0.512422593216334,00:00:32,14.14 MB,[]
8,agrawal2_gradual_20K_0,BOLE_HDDMA_F,0.8604430221511076,0.6549366247554846,00:00:31,729.05 KB,[]
9,agrawal2_gradual_20K_0,BOLE_HDDMW_F,0.8570428521426071,0.6501081631674824,00:00:31,612.14 KB,[]
10,agrawal2_gradual_20K_0,BOLE_KSWIN1_F,0.871893594679734,0.6848103820039433,00:01:33,664.52 KB,[]
11,agrawal2_gradual_20K_0,BOLE_KSWIN51_F,0.8732436621831091,0.6845706396972816,00:01:35,1.55 MB,[]
12,agrawal2_gradual_20K_0,BOLE_KSWIN101_F,0.8743437171858593,0.6897366895245938,00:01:35,2.23 MB,[]
13,agrawal2_gradual_20K_0,BOLE_KSWIN151_F,0.8794939746987349,0.7017394176897443,00:01:33,3.18 MB,[]
14,agrawal2_gradual_20K_0,BOLE_KSWIN201_F,0.879993999699985,0.7053962902824429,00:01:30,1.5 MB,[]
15,agrawal2_gradual_20K_0,BOLE_PH_F,0.8589429471473574,0.6511532623107612,00:00:28,7.46 MB,[]
16,agrawal2_gradual_20K_0,BOLE_RDDM_F,0.8768438421921096,0.6941526836715061,00:00:28,3.58 MB,[]
17,agrawal2_gradual_20K_0,BOLE_STEPD_F,0.856092804640232,0.6437439466402265,00:00:42,627.1 KB,[]
18,agrawal2_gradual_20K_2,BOLE_basic_F,0.8021901095054753,0.5181322231629562,00:00:25,12.98 MB,[]
19,agrawal2_gradual_20K_2,BOLE_ADWIN_F,0.8685934296714836,0.6729024110812064,00:00:34,2.54 MB,[]
20,agrawal2_gradual_20K_2,BOLE_BOCD_F,0.8731436571828591,0.6839026502811066,00:27:22,81.16 MB,[]
21,agrawal2_gradual_20K_2,BOLE_CUSUM_F,0.8749437471873593,0.687980922591476,00:00:26,3.45 MB,[]
22,agrawal2_gradual_20K_2,BOLE_DDM_F,0.8790939546977349,0.6997903977763811,00:00:28,6.45 MB,[]
23,agrawal2_gradual_20K_2,BOLE_ECDD_F,0.8459922996149808,0.6206408639710613,00:00:28,658.75 KB,[]
24,agrawal2_gradual_20K_2,BOLE_EDDM_F,0.8669433471673583,0.6660562297686675,00:00:26,4.6 MB,[]
25,agrawal2_gradual_20K_2,BOLE_GMA_F,0.8021901095054753,0.5181322231629562,00:00:31,12.99 MB,[]
26,agrawal2_gradual_20K_2,BOLE_HDDMA_F,0.8571928596429822,0.6463679566403644,00:00:29,1.46 MB,[]
27,agrawal2_gradual_20K_2,BOLE_HDDMW_F,0.8594929746487324,0.6540079494478613,00:00:29,1.52 MB,[]
28,agrawal2_gradual_20K_2,BOLE_KSWIN1_F,0.8757937896894845,0.6908927215683246,00:01:29,650.3 KB,[]
29,agrawal2_gradual_20K_2,BOLE_KSWIN51_F,0.8731936596829841,0.6832868020997186,00:01:30,1.48 MB,[]
30,agrawal2_gradual_20K_2,BOLE_KSWIN101_F,0.8734436721836092,0.6847187868931955,00:01:31,2.49 MB,[]
31,agrawal2_gradual_20K_2,BOLE_KSWIN151_F,0.8709935496774839,0.6794339514561696,00:01:34,1.88 MB,[]
32,agrawal2_gradual_20K_2,BOLE_KSWIN201_F,0.8672933646682334,0.6690911544341022,00:01:36,3.19 MB,[]
33,agrawal2_gradual_20K_2,BOLE_PH_F,0.8613430671533576,0.6570712473322675,00:00:29,4.89 MB,[]
34,agrawal2_gradual_20K_2,BOLE_RDDM_F,0.8712435621781089,0.67962093466463,00:00:27,2.35 MB,[]
35,agrawal2_gradual_20K_2,BOLE_STEPD_F,0.855442772138607,0.641976196518008,00:00:42,755.71 KB,[]
36,agrawal2_gradual_20K_4,BOLE_basic_F,0.8022401120056003,0.5116570180559429,00:00:25,14.94 MB,[]
37,agrawal2_gradual_20K_4,BOLE_ADWIN_F,0.8750437521876093,0.6852481169001851,00:00:33,582.35 KB,[]
38,agrawal2_gradual_20K_4,BOLE_BOCD_F,0.8729936496824842,0.6796690700002727,00:34:45,34.88 MB,[]
39,agrawal2_gradual_20K_4,BOLE_CUSUM_F,0.8753937696884844,0.687239783070615,00:00:27,5.96 MB,[]
40,agrawal2_gradual_20K_4,BOLE_DDM_F,0.8741937096854843,0.6825525674945788,00:00:29,4.68 MB,[]
41,agrawal2_gradual_20K_4,BOLE_ECDD_F,0.8453922696134807,0.614575936164201,00:00:29,1.57 MB,[]
42,agrawal2_gradual_20K_4,BOLE_EDDM_F,0.8703435171758588,0.6721898879329585,00:00:25,2.74 MB,[]
43,agrawal2_gradual_20K_4,BOLE_GMA_F,0.8022401120056003,0.5116570180559429,00:00:31,14.96 MB,[]
44,agrawal2_gradual_20K_4,BOLE_HDDMA_F,0.855792789639482,0.6388120108375842,00:00:30,643.85 KB,[]
45,agrawal2_gradual_20K_4,BOLE_HDDMW_F,0.8622431121556078,0.6536290305774293,00:00:30,697.14 KB,[]
46,agrawal2_gradual_20K_4,BOLE_KSWIN1_F,0.8774438721936096,0.6908409472917816,00:01:33,1.25 MB,[]
47,agrawal2_gradual_20K_4,BOLE_KSWIN51_F,0.8683434171708585,0.6680714807562949,00:01:33,1.63 MB,[]
48,agrawal2_gradual_20K_4,BOLE_KSWIN101_F,0.8768438421921096,0.690514614795864,00:01:30,1.34 MB,[]
49,agrawal2_gradual_20K_4,BOLE_KSWIN151_F,0.8734936746837342,0.6832883855768378,00:01:32,2.45 MB,[]
50,agrawal2_gradual_20K_4,BOLE_KSWIN201_F,0.8732936646832342,0.680713919555592,00:01:32,1.55 MB,[]
