,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_gradual_20K_0,HT_basic_F,0.735236761838092,0.39883682563682343,00:00:02,495.62 KB,[]
1,agrawal2_gradual_20K_0,HT_ADWIN_F,0.847392369618481,0.615018525069287,00:00:06,47.95 KB,"[1791, 5631, 8255, 12063, 16351]"
2,agrawal2_gradual_20K_0,HT_BOCD_F,0.8628931446572329,0.6534818117953487,00:08:18,227.57 MB,"[2989, 5168, 8168, 12087, 16139]"
3,agrawal2_gradual_20K_0,HT_CUSUM_F,0.8658932946647332,0.6627171536673344,00:00:03,40.81 KB,"[8268, 12081, 16172]"
4,agrawal2_gradual_20K_0,HT_DDM_F,0.8622431121556078,0.6548646179487578,00:00:04,150.78 KB,"[8358, 8445, 11802, 11851, 12121, 16137]"
5,agrawal2_gradual_20K_0,HT_ECDD_F,0.8531926596329816,0.6320903669336463,00:00:06,65.13 KB,"[248, 1210, 2149, 3863, 5480, 5838, 6359, 7484, 7975, 10385, 11389, 11690, 11852, 12087, 13312, 13924, 14174, 14531, 15470, 15830, 19231, 19673]"
6,agrawal2_gradual_20K_0,HT_EDDM_F,0.8497424871243562,0.6291899977311586,00:00:03,44.83 KB,"[133, 191, 247, 316, 490, 571, 666, 781, 847, 8931, 10569, 11631, 11920, 12081, 16336]"
7,agrawal2_gradual_20K_0,HT_GMA_F,0.735236761838092,0.39883682563682343,00:00:03,497.71 KB,[]
8,agrawal2_gradual_20K_0,HT_HDDMA_F,0.8675433771688584,0.6651069698852202,00:00:05,79.95 KB,"[8172, 12061, 16091]"
9,agrawal2_gradual_20K_0,HT_HDDMW_F,0.8677433871693585,0.6700342241521937,00:00:04,46.2 KB,"[266, 3666, 8118, 12096, 16138]"
10,agrawal2_gradual_20K_0,HT_KSWIN1_F,0.735236761838092,0.39883682563682343,00:00:12,498.64 KB,[]
11,agrawal2_gradual_20K_0,HT_KSWIN51_F,0.735236761838092,0.39883682563682343,00:00:14,498.64 KB,[]
12,agrawal2_gradual_20K_0,HT_KSWIN101_F,0.735236761838092,0.39883682563682343,00:00:14,498.64 KB,[]
13,agrawal2_gradual_20K_0,HT_KSWIN151_F,0.735236761838092,0.39883682563682343,00:00:11,498.64 KB,[]
14,agrawal2_gradual_20K_0,HT_KSWIN201_F,0.735236761838092,0.39883682563682343,00:00:14,498.64 KB,[]
15,agrawal2_gradual_20K_0,HT_PH_F,0.8064903245162258,0.5442358641512819,00:00:05,42.62 KB,"[10900, 12109, 16488]"
16,agrawal2_gradual_20K_0,HT_RDDM_F,0.8700935046752337,0.6735284826648464,00:00:04,155.29 KB,"[462, 3883, 8116, 11680, 11853, 12096, 16055]"
17,agrawal2_gradual_20K_0,HT_STEPD_F,0.8588429421471073,0.6432260709805437,00:00:08,55.52 KB,"[60, 133, 595, 2997, 4839, 8001, 11858, 12094, 15824, 16377, 16437, 19443]"
18,agrawal2_gradual_20K_2,HT_basic_F,0.7329866493324666,0.3870819829284154,00:00:04,2 MB,[]
19,agrawal2_gradual_20K_2,HT_ADWIN_F,0.8611930596529827,0.649763786919058,00:00:05,67.8 KB,"[4607, 8447, 12063, 12639, 16351]"
20,agrawal2_gradual_20K_2,HT_BOCD_F,0.8588929446472323,0.6507288361477636,00:07:15,136.61 MB,"[4152, 6954, 8269, 12110, 15363, 17009]"
21,agrawal2_gradual_20K_2,HT_CUSUM_F,0.872543627181359,0.6793742856829276,00:00:05,62.51 KB,"[4036, 8222, 12108, 16242]"
22,agrawal2_gradual_20K_2,HT_DDM_F,0.8747437371868594,0.6819057233044238,00:00:05,99.26 KB,"[4091, 8180, 11870, 12190, 16228]"
23,agrawal2_gradual_20K_2,HT_ECDD_F,0.856292814640732,0.6379178372821938,00:00:05,61.53 KB,"[327, 1687, 2513, 2796, 3720, 7710, 8183, 9093, 9805, 9841, 9952, 10268, 10384, 10523, 11198, 11696, 11870, 12142, 12765, 13187, 15197, 15516, 15855, 16223, 16920, 18420, 18559, 19989]"
24,agrawal2_gradual_20K_2,HT_EDDM_F,0.8495424771238562,0.6333858476388592,00:00:05,99.94 KB,"[91, 188, 377, 9040, 11863, 12128, 12206, 16369]"
25,agrawal2_gradual_20K_2,HT_GMA_F,0.7329866493324666,0.3870819829284154,00:00:05,2 MB,[]
