,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_abrupt_500K_0,BOLE_basic_F,0.8537057074114148,0.6404118754886767,00:10:22,209.94 MB,[]
1,agrawal2_abrupt_500K_0,BOLE_ADWIN_F,0.8973937947875896,0.7426807431971336,00:14:21,634.98 KB,[]
2,agrawal2_abrupt_500K_0,BOLE_CUSUM_F,0.916735833471667,0.7913975214377905,00:12:14,6.41 MB,[]
3,agrawal2_abrupt_500K_0,BOLE_DDM_F,0.9129438258876518,0.7817225789495563,00:14:11,40.18 MB,[]
4,agrawal2_abrupt_500K_0,BOLE_ECDD_F,0.8653977307954616,0.66444167691037,00:13:17,1.52 MB,[]
5,agrawal2_abrupt_500K_0,BOLE_EDDM_F,0.900487800975602,0.7494229427318617,00:14:45,119.42 MB,[]
6,agrawal2_abrupt_500K_0,BOLE_GMA_F,0.8537057074114148,0.6404118754886767,00:16:07,209.95 MB,[]
7,agrawal2_abrupt_500K_0,BOLE_HDDMA_F,0.8783117566235132,0.6950955593937332,00:14:00,1.29 MB,[]
8,agrawal2_abrupt_500K_0,BOLE_HDDMW_F,0.8781417562835125,0.6960608464596479,00:14:45,1.4 MB,[]
9,agrawal2_abrupt_500K_0,BOLE_KSWIN1_F,0.8966457932915866,0.7404450951621212,00:44:36,2.36 MB,[]
10,agrawal2_abrupt_500K_0,BOLE_KSWIN51_F,0.8997797995595991,0.7488274047546735,00:45:30,2.32 MB,[]
11,agrawal2_abrupt_500K_0,BOLE_KSWIN101_F,0.895753791507583,0.7384578523938161,00:44:03,2.75 MB,[]
12,agrawal2_abrupt_500K_0,BOLE_KSWIN151_F,0.9008978017956036,0.7515782254343955,00:42:41,1.19 MB,[]
13,agrawal2_abrupt_500K_0,BOLE_KSWIN201_F,0.8968717937435875,0.7412553443266052,00:44:11,1.12 MB,[]
14,agrawal2_abrupt_500K_0,BOLE_PH_F,0.9165158330316661,0.7905303373690102,00:15:55,14.91 MB,[]
15,agrawal2_abrupt_500K_0,BOLE_RDDM_F,0.9043198086396173,0.7603763516976669,00:16:17,1.85 MB,[]
16,agrawal2_abrupt_500K_0,BOLE_STEPD_F,0.8721257442514885,0.6808054410873392,00:25:32,1.67 MB,[]
17,agrawal2_abrupt_500K_2,BOLE_basic_F,0.8585397170794341,0.6525990625890938,00:15:32,231.45 MB,[]
18,agrawal2_abrupt_500K_2,BOLE_ADWIN_F,0.8988877977755956,0.746769812935497,00:20:09,781.23 KB,[]
19,agrawal2_abrupt_500K_2,BOLE_CUSUM_F,0.914255828511657,0.7855543762674656,00:16:02,3.41 MB,[]
20,agrawal2_abrupt_500K_2,BOLE_DDM_F,0.9172598345196691,0.7924556281321914,00:18:26,43.05 MB,[]
21,agrawal2_abrupt_500K_2,BOLE_ECDD_F,0.8637237274474548,0.660679395617275,00:16:48,1.59 MB,[]
22,agrawal2_abrupt_500K_2,BOLE_EDDM_F,0.9091798183596367,0.7732479373417169,00:18:09,102.29 MB,[]
23,agrawal2_abrupt_500K_2,BOLE_GMA_F,0.8585397170794341,0.6525990625890938,00:19:30,231.47 MB,[]
24,agrawal2_abrupt_500K_2,BOLE_HDDMA_F,0.8780357560715122,0.6948996506233489,00:17:34,1.32 MB,[]
25,agrawal2_abrupt_500K_2,BOLE_HDDMW_F,0.8781797563595127,0.6964144576834184,00:17:23,1.08 MB,[]
26,agrawal2_abrupt_500K_2,BOLE_KSWIN1_F,0.8943597887195774,0.7354401577716211,00:52:45,847.96 KB,[]
27,agrawal2_abrupt_500K_2,BOLE_KSWIN51_F,0.8963657927315855,0.7403968884189114,00:50:05,854.03 KB,[]
28,agrawal2_abrupt_500K_2,BOLE_KSWIN101_F,0.8961357922715846,0.7397650408840633,00:44:01,1.01 MB,[]
29,agrawal2_abrupt_500K_2,BOLE_KSWIN151_F,0.8958797917595835,0.739066036915318,00:43:52,1.2 MB,[]
30,agrawal2_abrupt_500K_2,BOLE_KSWIN201_F,0.8965297930595861,0.7404721398047319,00:44:03,762.62 KB,[]
31,agrawal2_abrupt_500K_2,BOLE_PH_F,0.9231918463836928,0.8081163460083748,00:13:42,16.53 MB,[]
32,agrawal2_abrupt_500K_2,BOLE_RDDM_F,0.9033538067076134,0.7578548071309481,00:14:01,1.58 MB,[]
33,agrawal2_abrupt_500K_2,BOLE_STEPD_F,0.8713157426314853,0.6792496577998025,00:21:43,1.33 MB,[]
34,agrawal2_abrupt_500K_4,BOLE_basic_F,0.8571697143394287,0.6485968843382691,00:13:30,203.65 MB,[]
35,agrawal2_abrupt_500K_4,BOLE_ADWIN_F,0.8977937955875912,0.7436941415252871,00:17:05,676.55 KB,[]
36,agrawal2_abrupt_500K_4,BOLE_CUSUM_F,0.9095678191356382,0.7736789854398751,00:13:42,3.77 MB,[]
37,agrawal2_abrupt_500K_4,BOLE_DDM_F,0.9083938167876335,0.7698989654024512,00:15:05,9.85 MB,[]
38,agrawal2_abrupt_500K_4,BOLE_ECDD_F,0.8646577293154586,0.6627166847495205,00:13:43,1.55 MB,[]
39,agrawal2_abrupt_500K_4,BOLE_EDDM_F,0.9091438182876366,0.772426674593393,00:15:48,93.68 MB,[]
40,agrawal2_abrupt_500K_4,BOLE_GMA_F,0.8571697143394287,0.6485968843382691,00:17:02,203.67 MB,[]
41,agrawal2_abrupt_500K_4,BOLE_HDDMA_F,0.8783277566555133,0.6952612783977994,00:14:20,1.29 MB,[]
42,agrawal2_abrupt_500K_4,BOLE_HDDMW_F,0.8780397560795121,0.6955583818013085,00:14:08,1.22 MB,[]
43,agrawal2_abrupt_500K_4,BOLE_KSWIN1_F,0.894005788011576,0.7342395731599614,00:43:52,3.35 MB,[]
44,agrawal2_abrupt_500K_4,BOLE_KSWIN51_F,0.8969037938075877,0.7411715590247564,00:44:02,3.29 MB,[]
45,agrawal2_abrupt_500K_4,BOLE_KSWIN101_F,0.8957337914675829,0.7383369190113795,00:44:04,1.14 MB,[]
46,agrawal2_abrupt_500K_4,BOLE_KSWIN151_F,0.8954357908715818,0.7373870521837526,00:42:39,2.39 MB,[]
47,agrawal2_abrupt_500K_4,BOLE_KSWIN201_F,0.8959177918355836,0.7383613499945475,00:42:32,1.07 MB,[]
48,agrawal2_abrupt_500K_4,BOLE_PH_F,0.9171798343596688,0.7926751880569358,00:13:05,15.79 MB,[]
49,agrawal2_abrupt_500K_4,BOLE_RDDM_F,0.9033498066996134,0.7577076432103972,00:13:24,1.93 MB,[]
50,agrawal2_abrupt_500K_4,BOLE_STEPD_F,0.8711037422074844,0.678044248424588,00:20:42,1.7 MB,[]
51,agrawal2_abrupt_500K_6,BOLE_basic_F,0.8576577153154307,0.6518968882383331,00:12:43,204.05 MB,[]
52,agrawal2_abrupt_500K_6,BOLE_ADWIN_F,0.8978957957915916,0.7444470269077674,00:16:08,671.08 KB,[]
53,agrawal2_abrupt_500K_6,BOLE_CUSUM_F,0.9155538311076622,0.7893151127534,00:13:05,2.41 MB,[]
54,agrawal2_abrupt_500K_6,BOLE_DDM_F,0.9315778631557263,0.8295595880411263,00:14:21,6.32 MB,[]
55,agrawal2_abrupt_500K_6,BOLE_ECDD_F,0.8652097304194608,0.6649875847884245,00:13:24,1.64 MB,[]
56,agrawal2_abrupt_500K_6,BOLE_EDDM_F,0.9043778087556175,0.7607719035785857,00:14:56,147.56 MB,[]
57,agrawal2_abrupt_500K_6,BOLE_GMA_F,0.8576577153154307,0.6518968882383331,00:15:46,204.06 MB,[]
58,agrawal2_abrupt_500K_6,BOLE_HDDMA_F,0.8789977579955159,0.6979052149333276,00:13:56,1.2 MB,[]
59,agrawal2_abrupt_500K_6,BOLE_HDDMW_F,0.880493760987522,0.702712132179748,00:13:52,936.56 KB,[]
