,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_gradual_500K_0,NoChange_basic_F,0.6983753967507935,0.25074469556330253,00:00:39,659 B,[]
1,agrawal2_gradual_500K_0,MajClass_basic_F,0.7207174414348829,-3.999995354948791e-06,00:00:41,765 B,[]
2,agrawal2_gradual_500K_0,NB_basic_F,0.7523475046950094,0.3721019112809085,00:01:18,61.83 KB,[]
3,agrawal2_gradual_500K_0,NB_ADWIN_F,0.8968417936835874,0.7388484611531255,00:02:16,74.08 KB,"[102079, 200127, 201343, 300287, 401183]"
4,agrawal2_gradual_500K_0,NB_CUSUM_F,0.8978917957835916,0.7408120248121587,00:01:52,64.31 KB,"[86209, 96579, 100421, 126218, 156208, 200004, 300088, 400052]"
5,agrawal2_gradual_500K_0,NB_DDM_F,0.8829777659555319,0.7009987890022213,00:01:54,95.1 KB,"[101084, 207290, 300211, 400721]"
6,agrawal2_gradual_500K_0,NB_ECDD_F,0.8861997723995448,0.7135726280608564,00:01:58,97.74 KB,"[249, 1280, 2149, 2206, 2545, 2916, 3651, 4886, 5959, 6540, 6880, 8039, 8591, 9508, 9770, 10198, 11259, 11969, 12717, 12950, 13180, 13359, 14592, 15987, 17857, 18236, 19039, 19610, 20723, 20939, 22171, 22902, 23881, 24328, 25044, 25940, 26755, 27004, 27800, 28336, 28988, 29819, 30331, 30565, 30768, 31560, 32089, 32548, 33305, 34026, 34785, 35452, 36107, 36479, 37206, 37371, 37544, 38800, 39675, 40060, 41008, 41879, 42583, 43431, 43941, 44539, 45085, 45282, 45500, 46981, 48691, 49072, 49923, 50498, 51391, 52080, 52480, 53181, 54546, 55413, 55533, 56227, 57177, 57322, 57880, 59191, 61293, 62241, 63107, 63903, 64954, 66046, 67811, 68885, 69408, 70133, 70319, 70755, 71638, 72014, 73018, 73867, 74507, 74888, 75417, 75711, 76607, 77144, 77565, 78516, 79248, 80279, 81103, 82115, 82375, 82951, 83627, 84176, 84616, 85460, 85956, 86654, 86792, 87038, 87616, 87847, 88135, 89090, 89808, 90705, 92010, 92988, 93385, 94046, 94668, 94838, 95118, 95375, 96411, 97451, 98289, 98770, 99590, 99827, 101495, 101810, 102343, 102601, 103464, 104129, 104817, 105121, 106202, 106943, 107144, 107333, 108400, 108711, 109188, 109558, 110032, 110755, 112063, 113442, 114003, 115592, 115944, 117535, 119701, 119968, 120408, 121696, 121915, 122776, 123011, 123626, 124085, 124855, 125347, 125889, 126723, 127648, 128119, 130115, 130812, 131029, 131750, 132729, 133714, 135056, 135587, 136065, 136498, 137397, 138196, 139119, 139704, 140563, 140609, 141205, 141788, 142446, 143934, 144739, 144994, 145222, 145549, 145803, 146717, 147616, 147983, 148631, 149099, 149142, 150141, 150694, 150932, 151194, 151320, 151951, 152422, 153043, 154352, 155336, 155710, 156182, 157128, 158536, 158985, 159593, 160075, 160780, 161279, 162178, 162430, 163869, 164099, 164721, 165435, 166095, 166650, 167165, 167718, 168072, 169016, 169799, 171160, 172659, 173674, 174371, 175573, 175694, 176458, 176723, 177277, 177962, 179598, 180334, 180715, 181163, 182206, 182738, 183255, 183661, 184377, 185059, 185804, 186725, 187114, 187820, 188559, 188883, 190076, 190905, 191368, 191689, 191814, 192655, 193753, 194540, 195144, 196318, 196740, 197634, 198083, 198891, 199488, 199782, 200200, 200507, 201227, 201384, 201589, 202059, 202242, 202368, 203052, 203446, 203658, 203717, 204016, 204345, 204540, 204649, 205092, 205632, 205760, 206147, 206280, 206547, 207281, 207732, 207931, 209060, 209291, 209456, 209614, 209686, 210067, 210202, 210539, 210699, 210954, 211515, 211702, 212342, 212496, 212999, 213316, 213775, 213847, 213967, 214247, 214614, 214882, 215024, 215935, 215999, 216604, 216813, 217065, 217730, 217831, 218260, 218701, 218911, 218994, 219235, 219387, 219929, 220095, 220592, 220715, 220937, 221690, 221916, 221977, 222261, 222668, 222820, 223016, 223717, 223857, 223945, 224312, 224491, 224552, 225049, 225376, 225444, 225852, 226277, 226653, 227120, 227510, 227626, 227893, 228271, 228601, 228814, 229441, 229627, 229763, 230147, 230795, 231236, 231330, 231629, 231796, 231980, 232098, 232451, 232897, 233249, 233918, 234002, 234517, 234882, 235223, 235334, 235797, 236122, 236222, 236605, 236723, 237462, 237528, 238381, 238989, 239214, 239331, 239655, 240001, 240058, 240421, 240546, 240748, 240962, 241019, 241527, 241639, 241871, 241953, 242402, 242725, 242889, 243077, 243188, 243620, 243837, 243957, 244183, 244869, 245145, 245288, 245819, 245932, 246200, 246298, 246605, 246771, 246940, 247207, 247691, 247796, 248130, 248308, 248564, 248774, 248984, 249104, 249757, 249922, 250552, 250629, 250700, 250960, 251021, 251205, 251674, 251840, 252153, 252233, 252492, 252608, 253126, 253249, 253299, 253749, 253905, 254106, 254701, 254785, 254942, 255191, 255329, 255681, 255740, 255907, 256541, 256780, 256981, 257490, 257680, 257820, 258543, 259194, 259603, 259720, 260309, 260525, 261004, 261062, 261215, 261670, 262141, 262293, 262409, 262809, 263257, 263432, 263556, 263914, 264020, 264811, 265275, 265480, 265737, 266507, 266821, 267040, 267384, 267709, 268367, 268544, 268900, 269169, 269407, 270225, 270636, 270823, 270877, 271567, 271977, 272078, 272250, 272495, 272550, 272866, 273064, 273872, 274746, 274868, 274944, 275315, 275534, 275825, 276252, 276345, 276572, 277056, 277970, 278172, 278420, 279031, 279223, 279553, 279726, 279943, 280500, 280552, 281107, 281247, 281712, 281820, 282170, 282651, 283310, 283414, 284191, 284408, 284466, 285052, 285226, 285282, 286138, 286343, 287070, 287564, 288160, 288359, 288559, 288759, 288866, 288925, 289244, 289876, 290094, 290154, 290642, 290768, 290846, 290935, 291397, 291936, 292102, 292994, 293518, 293656, 293815, 293938, 294746, 294942, 295258, 295790, 296164, 297922, 298178, 298451, 298549, 298701, 298933, 299142, 299317, 299769, 299846, 299979, 300203, 300761, 301357, 302219, 302770, 303111, 304777, 306306, 308009, 308248, 309411, 309950, 310351, 310482, 311451, 312075, 312789, 313459, 314610, 315278, 315823, 317144, 318063, 318705, 318827, 319981, 320549, 321621, 322681, 323250, 323637, 324002, 324918, 325741, 326181, 327090, 327874, 328063, 328895, 329595, 330541, 331152, 332132, 332589, 333730, 334193, 335045, 335305, 336081, 336431, 337651, 338212, 338873, 339206, 339807, 340121, 340247, 341051, 341221, 341692, 342586, 344122, 345009, 345343, 345566, 345819, 347413, 348647, 349179, 349833, 350158, 350867, 351335, 351768, 352438, 353526, 353990, 355076, 355616, 356477, 357068, 357640, 358607, 359583, 360533, 362236, 363841, 364737, 365586, 366762, 366978, 367336, 367855, 368273, 369608, 370333, 371153, 372286, 372731, 373325, 373579, 374008, 374352, 374517, 375241, 375710, 376002, 376299, 376474, 376739, 376887, 377978, 378994, 379666, 379911, 380351, 380731, 381274, 382149, 382218, 382682, 383388, 384316, 385392, 386741, 387828, 388538, 388835, 389423, 389875, 390280, 390536, 391083, 391757, 392545, 393005, 394086, 394555, 395160, 395556, 396545, 397452, 397655, 397935, 398554, 398906, 399503, 399969, 405867, 406563, 407125, 408185, 408534, 409122, 409827, 411082, 413302, 413679, 414081, 414326, 415159, 415504, 416258, 417096, 417252, 417619, 417843, 418648, 419102, 419523, 420118, 420466, 420540, 420961, 421411, 421689, 421932, 422711, 422845, 423192, 423733, 424778, 425378, 426176, 427542, 428930, 429244, 429474, 430319, 430530, 430823, 431072, 431252, 431728, 431891, 432167, 432527, 432968, 433286, 434312, 434487, 434898, 435239, 436940, 437414, 437805, 438317, 438745, 438909, 439538, 439891, 440186, 441711, 443093, 443641, 444941, 445538, 447574, 447856, 448058, 449215, 449984, 450589, 451438, 451755, 452031, 453184, 453677, 453940, 454961, 455209, 455361, 455756, 457190, 457454, 457874, 458590, 459005, 460016, 461037, 461345, 462142, 462425, 462923, 463166, 464512, 465025, 465558, 465975, 466164, 466601, 467362, 467555, 467842, 468118, 468428, 468672, 468916, 469551, 470282, 470987, 471863, 472234, 472438, 473389, 473639, 474435, 474684, 475550, 475893, 476361, 476610, 476885, 478188, 478550, 479347, 479850, 480037, 481388, 481838, 482672, 483484, 483801, 484092, 484588, 484796, 485986, 486395, 487256, 487771, 488805, 489184, 490052, 490357, 490698, 491081, 491433, 491858, 492495, 495835, 496215, 496801, 497462, 497762, 498173, 498565, 499168, 499697, 499856]"
7,agrawal2_gradual_500K_0,NB_EDDM_F,0.752265504531009,0.3720921894841932,00:01:51,125.75 KB,"[160, 298, 390, 467]"
8,agrawal2_gradual_500K_0,NB_GMA_F,0.7523475046950094,0.3721019112809085,00:01:51,64.03 KB,[]
9,agrawal2_gradual_500K_0,NB_HDDMA_F,0.8981697963395927,0.7422115364117063,00:02:01,65.56 KB,"[27111, 100260, 200546, 300014, 400402]"
