,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,agrawal2_abrupt_50K_0,BOLE_BOCD_F,0.8897777955559111,0.7231006978173815,01:26:48,188.83 MB,[]
1,agrawal2_abrupt_50K_2,BOLE_BOCD_F,0.8914978299565991,0.7278872610070909,01:34:24,17.35 MB,[]
2,agrawal2_abrupt_50K_4,BOLE_BOCD_F,0.8907178143562872,0.7247493083029402,01:33:36,13.13 MB,[]
3,agrawal2_abrupt_50K_6,BOLE_BOCD_F,0.8935778715574312,0.732427088752755,01:24:20,9.3 MB,[]
4,agrawal2_abrupt_50K_8,BOLE_BOCD_F,0.8921978439568792,0.7294883495117527,01:36:04,29.47 MB,[]
5,agrawal2_abrupt_50K_10,BOLE_BOCD_F,0.8887577751555031,0.7193979386695516,01:29:44,14.73 MB,[]
6,agrawal2_abrupt_50K_12,BOLE_BOCD_F,0.8898377967559351,0.7256754079253406,01:30:33,181.1 MB,[]
7,agrawal2_abrupt_50K_14,BOLE_BOCD_F,0.8919978399567992,0.7291453894829061,01:43:32,250.22 MB,[]
8,agrawal2_abrupt_50K_16,BOLE_BOCD_F,0.8911378227564551,0.7239496236157125,01:54:01,153.33 MB,[]
9,agrawal2_abrupt_50K_18,BOLE_BOCD_F,0.8910578211564232,0.7271602791944209,01:36:28,42.86 MB,[]
10,agrawal2_abrupt_50K_20,BOLE_BOCD_F,0.8927178543570872,0.7308753234811355,01:21:25,33.34 MB,[]
11,agrawal2_abrupt_50K_22,BOLE_BOCD_F,0.8913778275565511,0.7277364862480529,01:34:27,141.65 MB,[]
12,agrawal2_abrupt_50K_24,BOLE_BOCD_F,0.8912578251565031,0.7294791342804495,01:31:29,247.85 MB,[]
13,agrawal2_abrupt_50K_26,BOLE_BOCD_F,0.8932178643572871,0.7336445776569037,01:32:44,250.45 MB,[]
14,agrawal2_abrupt_50K_28,BOLE_BOCD_F,0.8959779195583911,0.7368527701571128,01:31:55,222.53 MB,[]
15,agrawal2_abrupt_50K_30,BOLE_BOCD_F,0.8896977939558791,0.7229432420382195,01:42:43,202.77 MB,[]
16,agrawal2_abrupt_50K_32,BOLE_BOCD_F,0.8916578331566631,0.7284715680280954,02:00:03,111.9 MB,[]
17,agrawal2_abrupt_50K_34,BOLE_BOCD_F,0.8909178183563671,0.7278219488682373,01:50:10,62.87 MB,[]
18,agrawal2_abrupt_50K_36,BOLE_BOCD_F,0.8905378107562151,0.7248626340555452,01:19:56,76.53 MB,[]
19,agrawal2_abrupt_50K_38,BOLE_BOCD_F,0.8882777655553111,0.721176036194115,02:00:41,31.92 MB,[]
20,agrawal2_abrupt_50K_40,BOLE_BOCD_F,0.8911778235564711,0.7279961977777212,01:40:19,72.27 MB,[]
21,agrawal2_abrupt_50K_42,BOLE_BOCD_F,0.8893177863557271,0.7212749714389778,01:49:54,22.94 MB,[]
22,agrawal2_abrupt_50K_44,BOLE_BOCD_F,0.8897377947558951,0.7230419472076004,01:38:47,14.36 MB,[]
23,agrawal2_abrupt_50K_46,BOLE_BOCD_F,0.8937178743574872,0.7324648212548633,01:44:20,94.36 MB,[]
24,agrawal2_abrupt_50K_48,BOLE_BOCD_F,0.8898977979559591,0.7251027560232831,01:39:25,111.69 MB,[]
25,agrawal2_abrupt_50K_50,BOLE_BOCD_F,0.8897377947558951,0.7243722394706477,01:45:05,87.35 MB,[]
26,agrawal2_abrupt_50K_52,BOLE_BOCD_F,0.8900378007560151,0.7242956097366963,01:41:33,48.04 MB,[]
27,agrawal2_abrupt_50K_54,BOLE_BOCD_F,0.8929978599571992,0.729689172325908,01:48:22,50.17 MB,[]
28,agrawal2_abrupt_50K_56,BOLE_BOCD_F,0.8912778255565111,0.727854694586092,01:29:23,32.55 MB,[]
29,agrawal2_abrupt_50K_58,BOLE_BOCD_F,0.8882777655553111,0.7198571740117804,01:49:25,177.17 MB,[]
