generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
agrawal2;abrupt;50K;NB;basic;0.7488;0.0013;0.3663;0.003;8.5667;0.3352;63434.4107;246.4311;0.0;0.0
agrawal2;gradual;50K;NB;basic;0.7488;0.0013;0.3662;0.003;6.5333;0.1895;63434.4107;246.4311;0.0;0.0
agrawal2;abrupt;50K;HT;basic;0.7483;0.0045;0.4182;0.0083;9.9;0.2471;2198164.8213;216802.8146;0.0;0.0
agrawal2;gradual;50K;HT;basic;0.7501;0.0053;0.4213;0.0084;8.0;0.3922;2126512.128;217562.0538;0.0;0.0
agrawal2;abrupt;50K;NoChange;basic;0.6979;0.0008;0.25;0.0022;4.1333;0.1291;624.6;25.3859;0.0;0.0
agrawal2;gradual;50K;NoChange;basic;0.6944;0.0009;0.2411;0.0025;3.5333;0.1895;624.6;25.3859;0.0;0.0
agrawal2;abrupt;50K;MajClass;basic;0.7205;0.0007;0.0;0.0001;4.8333;0.1722;730.6;25.3859;0.0;0.0
agrawal2;gradual;50K;MajClass;basic;0.7205;0.0007;0.0;0.0001;3.5667;0.1882;730.6;25.3859;0.0;0.0
agrawal2;abrupt;50K;BOLE;basic;0.8257;0.0009;0.5714;0.002;68.2778;1.5449;21637598.7769;1089586.6743;0.0;0.0
agrawal2;abrupt;50K;BOLE;ADWIN;0.892;0.0005;0.7292;0.0013;87.4444;2.094;584606.0373;20424.6495;0.0;0.0
agrawal2;abrupt;50K;BOLE;BOCD;0.8913;0.0004;0.7273;0.001;5754.6111;145.1631;99598641.8347;21908973.8191;0.0;0.0
agrawal2;abrupt;50K;BOLE;CUSUM;0.8991;0.0005;0.7472;0.0013;71.6111;1.6419;3238725.0631;315449.7663;0.0;0.0
agrawal2;abrupt;50K;BOLE;DDM;0.8945;0.0007;0.7356;0.0017;77.0111;1.7589;5665606.9973;665535.7288;0.0;0.0
agrawal2;abrupt;50K;BOLE;ECDD;0.8643;0.0003;0.662;0.0008;73.8556;1.7859;755344.1564;15758.6366;0.0;0.0
agrawal2;abrupt;50K;BOLE;EDDM;0.8895;0.0008;0.7226;0.0022;75.9333;1.7376;14088667.136;960272.3993;0.0;0.0
agrawal2;abrupt;50K;BOLE;GMA;0.8257;0.0009;0.5714;0.002;85.2889;1.9668;21654259.4844;1089459.0488;0.0;0.0
