,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_abrupt_bal,BOLE_basic_F,0.5777432966866615,0.4932926425305771,00:09:00,29.28 MB,[]
1,Insects_abrupt_bal,BOLE_ADWIN_F,0.6717505251007626,0.6061012919112111,00:11:36,1.72 MB,[]
2,Insects_abrupt_bal,BOLE_BOCD_F,0.681306412852196,0.6175683039326177,04:22:18,237.36 MB,[]
3,Insects_abrupt_bal,BOLE_CUSUM_F,0.6800007569020001,0.6160014080790839,00:11:39,2.23 MB,[]
4,Insects_abrupt_bal,BOLE_DDM_F,0.6458833992468825,0.5750607004668371,00:13:50,16.71 MB,[]
5,Insects_abrupt_bal,BOLE_ECDD_F,0.6225329725433799,0.5470397712470657,00:13:15,11.56 MB,[]
6,Insects_abrupt_bal,BOLE_EDDM_F,0.6806441236020966,0.6167729391288166,00:09:41,3.57 MB,[]
7,Insects_abrupt_bal,BOLE_GMA_F,0.5777432966866615,0.4932926425305771,00:10:43,29.29 MB,[]
8,Insects_abrupt_bal,BOLE_HDDMA_F,0.6937763733040665,0.6325318714084373,00:11:17,5.52 MB,[]
9,Insects_abrupt_bal,BOLE_HDDMW_F,0.6884591367532689,0.6261509869406879,00:10:43,2.55 MB,[]
10,Insects_abrupt_bal,BOLE_KSWIN1_F,0.6777678960016652,0.6133220783397452,00:17:55,3.43 MB,[]
11,Insects_abrupt_bal,BOLE_KSWIN51_F,0.6778057411016709,0.6133674922227894,00:17:35,3.71 MB,[]
12,Insects_abrupt_bal,BOLE_KSWIN101_F,0.6820443923023066,0.6184538736012012,00:17:14,2.01 MB,[]
13,Insects_abrupt_bal,BOLE_KSWIN151_F,0.6781085019017162,0.6137307996372031,00:17:38,2.34 MB,[]
14,Insects_abrupt_bal,BOLE_KSWIN201_F,0.6807955040021193,0.6169551566833995,00:17:01,2.01 MB,[]
15,Insects_abrupt_bal,BOLE_PH_F,0.6504248112475637,0.5805104854923304,00:11:48,7.19 MB,[]
16,Insects_abrupt_bal,BOLE_RDDM_F,0.6954415577043163,0.6345300321150739,00:11:56,4.81 MB,[]
17,Insects_abrupt_bal,BOLE_STEPD_F,0.6911082937536662,0.6293299711652793,00:12:46,3.08 MB,[]
