,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_abrupt_bal,HT_basic_F,0.537286884780593,0.44474439466537774,00:00:34,2.63 MB,[]
1,Insects_abrupt_bal,HT_ADWIN_F,0.6456184835468428,0.574742974215997,00:00:52,149.83 KB,"[13823, 14399, 19263, 19647, 29951, 33791, 38559, 38783, 47423, 52127]"
2,Insects_abrupt_bal,HT_BOCD_F,0.6533388839480009,0.5840073977199167,00:51:58,10.34 MB,"[7051, 12907, 14360, 19011, 19603, 26287, 32228, 33327, 38291, 38698, 43548, 46907, 52031]"
3,Insects_abrupt_bal,HT_CUSUM_F,0.6428557912464283,0.5714277196291574,00:00:50,143.86 KB,"[6845, 14431, 19621, 28291, 33298, 38835, 43167, 52097]"
4,Insects_abrupt_bal,HT_DDM_F,0.5833254489374988,0.49999107844283575,00:00:53,842.51 KB,"[14991, 28350, 33494, 52259]"
5,Insects_abrupt_bal,HT_ECDD_F,0.6458644766968796,0.5750379368354288,00:00:54,845.35 KB,"[421, 1506, 2088, 3097, 4784, 5364, 5825, 6434, 6849, 7949, 8122, 8419, 8723, 9011, 9248, 9927, 10436, 10732, 11146, 11745, 14355, 15790, 15964, 16597, 16707, 17674, 19512, 19942, 20436, 20603, 21200, 21765, 23093, 23409, 24326, 24774, 25224, 25348, 25714, 26372, 27123, 27759, 27946, 28102, 29128, 29499, 31184, 31958, 32667, 33244, 33681, 34539, 34908, 35508, 36860, 38691, 39352, 40082, 41421, 41670, 42095, 42256, 42798, 43362, 43772, 43928, 52029]"
6,Insects_abrupt_bal,HT_EDDM_F,0.6198081253429713,0.5437703889161503,00:00:51,589.57 KB,"[16221, 16423, 16498, 29938, 29997, 30073, 30490, 30534, 30655, 30708, 33559, 33639, 40349, 40406, 43401, 43472, 43854, 43914, 44002, 44089, 44150, 44216, 45463, 45957, 46061, 52347]"
7,Insects_abrupt_bal,HT_GMA_F,0.537286884780593,0.44474439466537774,00:00:46,2.64 MB,[]
8,Insects_abrupt_bal,HT_HDDMA_F,0.643480235396522,0.5721770146816215,00:00:55,146.11 KB,"[14360, 19519, 28481, 29498, 33348, 34492, 38707, 43181, 52031]"
9,Insects_abrupt_bal,HT_HDDMW_F,0.6566124850984919,0.5879356032530147,00:00:51,148.5 KB,"[1526, 3092, 3642, 5385, 5826, 8753, 10822, 11238, 12039, 12620, 14361, 15474, 15971, 16944, 17673, 19539, 20435, 20628, 21857, 23093, 25254, 27163, 28104, 32734, 33274, 33978, 34736, 35915, 36687, 37745, 38693, 39290, 40471, 41420, 43005, 43973, 46638, 52058]"
10,Insects_abrupt_bal,HT_KSWIN1_F,0.6368384203455257,0.5642069010056727,00:01:17,145.13 KB,"[14369, 19522, 33184, 35984, 38708, 52045]"
11,Insects_abrupt_bal,HT_KSWIN51_F,0.5931084072889663,0.5117305106843503,00:01:15,144.5 KB,"[14370, 19522, 52052]"
12,Insects_abrupt_bal,HT_KSWIN101_F,0.593259787688989,0.5119121705726256,00:01:15,144.5 KB,"[14369, 19520, 52051]"
13,Insects_abrupt_bal,HT_KSWIN151_F,0.6355138418453271,0.5626174095229509,00:01:16,144.61 KB,"[14371, 19520, 33173, 33273, 38707, 52046]"
14,Insects_abrupt_bal,HT_KSWIN201_F,0.5931651749389748,0.5117986311761897,00:01:14,144.5 KB,"[14368, 19522, 52049]"
15,Insects_abrupt_bal,HT_PH_F,0.6220031411433005,0.546404503783355,00:00:48,706.41 KB,"[14905, 30053, 33683, 39477, 40469, 44942]"
16,Insects_abrupt_bal,HT_RDDM_F,0.6243306147936496,0.5491974798447213,00:00:52,644.48 KB,"[1605, 2451, 6335, 6617, 14437, 19673, 20028, 20435, 20605, 28377, 33306, 38834, 43967, 52116]"
17,Insects_abrupt_bal,HT_STEPD_F,0.6606240656990936,0.5927495753104502,00:00:57,158.94 KB,"[150, 1524, 1654, 1862, 2142, 5134, 6472, 7653, 8577, 9013, 9447, 11107, 12476, 12994, 13054, 13114, 13174, 13234, 13294, 13354, 13414, 13474, 13534, 13594, 13654, 13714, 13774, 13834, 13894, 13954, 14014, 14074, 14134, 14194, 14254, 14314, 14374, 15393, 17680, 18244, 18358, 18420, 19511, 23549, 27133, 27588, 29135, 32745, 33260, 33858, 35893, 35977, 36869, 38266, 38687, 38838, 38936, 39004, 39504, 43176, 46758, 48136, 52035, 52095, 52155, 52215, 52275, 52335, 52395, 52455, 52515, 52575, 52635, 52695, 52755, 52815]"
