,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_abrupt_bal,NoChange_basic_F,0.2897610081934642,0.14771320989319145,00:00:02,1.62 KB,[]
1,Insects_abrupt_bal,MajClass_basic_F,0.16120120347418018,-0.0065565312607646885,00:00:02,1.31 KB,[]
2,Insects_abrupt_bal,NB_basic_F,0.5068972694760346,0.408276948169631,00:00:19,662.87 KB,[]
3,Insects_abrupt_bal,NB_ADWIN_F,0.6477188865971578,0.577263461344375,00:00:36,121.7 KB,"[13823, 14399, 19263, 19647, 29887, 33855, 38559, 38783, 47551, 52127]"
4,Insects_abrupt_bal,NB_BOCD_F,0.6572558517985884,0.5887077442746556,00:54:49,10.26 MB,"[7052, 12905, 14360, 19014, 19575, 26311, 32571, 38228, 38700, 43548, 46901, 52033]"
5,Insects_abrupt_bal,NB_CUSUM_F,0.6453724903968059,0.5744477751245706,00:00:35,115.78 KB,"[6748, 14431, 19627, 28371, 33299, 38835, 43135, 52098]"
6,Insects_abrupt_bal,NB_DDM_F,0.5715934679357391,0.485912894474789,00:00:36,666.28 KB,"[14972, 28873, 29012, 33391, 39064, 39151, 44741, 52126]"
7,Insects_abrupt_bal,NB_ECDD_F,0.6435370030465305,0.5722449484573876,00:00:36,119.18 KB,"[421, 1506, 2088, 2261, 4253, 4761, 5364, 5824, 5921, 6434, 6696, 6988, 7113, 7931, 9010, 9158, 9925, 10436, 10733, 11146, 11745, 14355, 15900, 16944, 17667, 19334, 19502, 19942, 20436, 20603, 21200, 21765, 23093, 23410, 24781, 25219, 25714, 25995, 26373, 27123, 27170, 27759, 27901, 28103, 28669, 29499, 30353, 30797, 31098, 31687, 32032, 32666, 33250, 33978, 34735, 35064, 36082, 36292, 36863, 37745, 38691, 39290, 40082, 41421, 41670, 42095, 42255, 42885, 42967, 43362, 43548, 43636, 43775, 52030, 52715]"
8,Insects_abrupt_bal,NB_EDDM_F,0.6040834862906125,0.5249009170521216,00:00:36,1.3 MB,"[16219, 16283, 17161, 17295, 17389, 17616, 19689, 19767, 19963, 31569, 31614, 31697, 33419, 33474, 33726, 33783, 34475, 34746, 39537]"
9,Insects_abrupt_bal,NB_GMA_F,0.5068972694760346,0.408276948169631,00:00:36,665.41 KB,[]
10,Insects_abrupt_bal,NB_HDDMA_F,0.6466024561469904,0.5759237267410636,00:00:36,227.04 KB,"[14360, 19519, 28130, 33284, 38707, 43052, 52031]"
11,Insects_abrupt_bal,NB_HDDMW_F,0.6582209018487332,0.589865721238404,00:00:35,119.71 KB,"[1526, 3092, 3647, 5397, 8753, 10437, 10792, 11050, 12039, 12621, 14361, 15790, 16944, 17668, 19517, 22025, 23535, 24780, 25224, 27168, 28104, 32731, 33271, 33978, 34736, 35915, 36687, 37745, 38693, 39290, 40471, 41416, 43005, 43973, 46638, 52036]"
12,Insects_abrupt_bal,NB_KSWIN1_F,0.5944519083391678,0.5133429282291222,00:00:59,666.92 KB,"[14369, 19522]"
13,Insects_abrupt_bal,NB_KSWIN51_F,0.622173444093326,0.5466088247185696,00:00:57,116.46 KB,"[14370, 19521, 29148, 52049]"
14,Insects_abrupt_bal,NB_KSWIN101_F,0.5943194504891479,0.5131839796450687,00:00:58,666.92 KB,"[14371, 19521]"
15,Insects_abrupt_bal,NB_KSWIN151_F,0.5943572955891536,0.513229393496306,00:00:58,666.92 KB,"[14370, 19523]"
16,Insects_abrupt_bal,NB_KSWIN201_F,0.5943194504891479,0.5131839796450687,00:00:58,666.92 KB,"[14371, 19521]"
17,Insects_abrupt_bal,NB_PH_F,0.6222869793933431,0.546745218582644,00:00:34,115.74 KB,"[14906, 20256, 28396, 33659, 39470, 42240, 45158, 52826]"
18,Insects_abrupt_bal,NB_RDDM_F,0.646186160046928,0.5754240849553245,00:00:36,612.63 KB,"[1603, 2437, 2670, 8072, 9013, 9445, 12397, 14380, 17931, 18138, 18353, 18609, 18809, 19518, 28381, 33276, 38838, 43180, 43427, 43957, 52095]"
19,Insects_abrupt_bal,NB_STEPD_F,0.6525630593978845,0.5830763943238237,00:00:44,569.09 KB,"[150, 699, 1530, 5134, 5381, 7652, 12230, 14362, 14470, 15393, 17679, 18243, 19512, 22887, 23535, 24578, 25257, 27586, 27782, 29135, 32735, 33260, 33858, 34655, 35896, 35982, 36869, 38266, 38692, 39518, 43183, 45500, 45642, 46912, 47020, 48863, 51415, 52049]"
