,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_abrupt_imbal,HT_basic_F,0.6612389310785478,0.5633390025509784,00:02:57,16.37 MB,[]
1,Insects_abrupt_imbal,HT_ADWIN_F,0.6113591200031525,0.5155552571677292,00:05:19,1.16 MB,"[17567, 37183, 40319, 64447, 84671, 91327, 99519, 114879, 123199, 124287, 126495, 128287, 128799, 138207, 144351, 150495, 170271, 172319, 174527, 176575, 178943, 181759, 212063, 235327, 250335, 251519, 262783, 264575, 266111, 268607, 270399, 274527, 280415, 297983, 307199, 331327]"
2,Insects_abrupt_imbal,HT_BOCD_F,0.6096899857574717,0.5132609360036686,08:29:24,18.64 MB,"[8539, 15577, 23353, 31359, 36393, 46042, 54770, 64784, 70733, 77570, 83908, 90474, 95950, 101889, 106682, 111775, 115353, 119619, 121561, 123011, 124935, 126165, 128603, 131677, 137063, 143114, 150965, 159056, 165919, 168532, 170391, 172431, 175282, 177266, 179014, 181572, 188351, 193160, 199509, 206685, 209209, 211437, 218220, 226640, 231069, 236344, 242925, 248041, 249613, 253277, 260169, 262253, 263946, 265547, 266766, 268393, 272259, 279374, 283989, 290542, 297358, 301917, 306569, 313429, 320583, 326823, 333884, 341315, 348712, 354191]"
3,Insects_abrupt_imbal,HT_CUSUM_F,0.635042249080991,0.5430786733282037,00:05:09,3.42 MB,"[38606, 83951, 90853, 96803, 100531, 102260, 104905, 108336, 123042, 123848, 124460, 125616, 126243, 128038, 128604, 132385, 137867, 142998, 145913, 148836, 182623, 192014, 199772, 209422, 211233, 230305, 243135, 248516, 260507, 268467, 270687, 273656, 274720]"
4,Insects_abrupt_imbal,HT_DDM_F,0.6456903685606039,0.5559846337147153,00:05:22,4.66 MB,"[52865, 84159, 91632, 123265, 123817, 124354, 125163, 125831, 125990, 128393, 128908, 132370, 146129, 183638, 211526, 248459, 269117, 269247, 269311]"
5,Insects_abrupt_imbal,HT_ECDD_F,0.6138614140072169,0.5143939441145479,00:05:41,1.38 MB,"[984, 2602, 2661, 3137, 3363, 4618, 4819, 4968, 5605, 5814, 6599, 7251, 7584, 7772, 8003, 8381, 8645, 8785, 8892, 9384, 9548, 9757, 10609, 10840, 11751, 12202, 12808, 13205, 14233, 15726, 16078, 16331, 16506, 17099, 17369, 18088, 18957, 19543, 20215, 20930, 21140, 21303, 21600, 22045, 22136, 22877, 23131, 23294, 23422, 23851, 23914, 24548, 25257, 25828, 26064, 26482, 27532, 27626, 28728, 29094, 29290, 29773, 30135, 30288, 30504, 30899, 31463, 31999, 33562, 33982, 35008, 35229, 35954, 36286, 36808, 37046, 76731, 116377, 118616, 118839, 119121, 119193, 120121, 120255, 122221, 122909, 160749, 161246, 162201, 162982, 163264, 164227, 164368, 165785, 165900, 166396, 166867, 167270, 167788, 168536, 168851, 169213, 169678, 170106, 170405, 170986, 171799, 172078, 172500, 172720, 172817, 173242, 174069, 174553, 175380, 175567, 176009, 176606, 176820, 177372, 177640, 178407, 178604, 178933, 179600, 180685, 180953, 181681, 181873, 181906, 182471, 182867, 183370, 183920, 184614, 185798, 186483, 186574, 186754, 186833, 187014, 187231, 187509, 187970, 188388, 188842, 189200, 189550, 189810, 190137, 190258, 191238, 193397, 194908, 195446, 195589, 196184, 196423, 197475, 197734, 197888, 198034, 198486, 198825, 198959, 199801, 200536, 201266, 202042, 202780, 205841, 206191, 208135, 208227, 208818, 209095, 210277, 210476, 210616, 211092, 242927, 243736, 246061, 246655, 247481, 248763, 249234, 250303, 251677, 252774, 253438, 254316, 254684, 255342, 256161, 256301, 258950, 259486, 260017, 260080, 260732, 261146, 261415, 261648, 262634, 262881, 263139, 263326, 263848, 264807, 265370, 265444, 265760, 266000, 266043, 266707, 267633, 267700, 267843, 268381, 268643, 269363, 272258, 272735, 272931, 273134, 273317, 278132, 278638, 279009, 280951, 281144, 281361, 281656, 282752, 283906, 284048, 284417, 284705, 284945, 285547, 286209, 286628, 286902, 287004, 287486, 287656, 288075, 288473, 288652, 288861, 289401, 289495, 290179, 290499, 290878, 291508, 291823, 292460, 292636, 293380, 293628, 293822, 294223, 294352, 294876, 294996, 295424, 295793, 295985, 296351, 296607, 297281, 297928, 298244, 298458, 298773, 299053, 299547, 299794, 299930, 300267, 301509, 301797, 302546, 302772, 303191, 304056, 304463, 304742, 305072, 305690, 305810, 306270, 307658, 307779, 308287, 308932, 309371, 309632, 310379, 310697, 310850, 311395, 311481, 311627, 311846, 312109, 312497, 312996, 313387, 313581, 313971, 314242, 314727, 315318, 317856, 318285, 318836, 319224, 319634, 319763, 319908, 320067, 320506, 320575, 321087, 321390, 321815, 321956, 322852, 323347, 323970, 324391, 324431, 324790, 325195, 325794, 326613, 326985, 327253, 327785, 328090, 328363, 329033, 329470, 329985, 330174, 330584, 330625, 331075, 331417, 331842, 331954, 333175, 333441, 333878, 334687, 335242, 335912, 336629, 336923, 337488, 338328, 338676, 338979, 339723, 339952, 340382, 341080, 341280, 342583, 342971, 343439, 343900, 344423, 344538, 344791, 345916, 348711, 349687, 349777, 350016, 350214, 350442, 350959, 351449, 351621, 351672, 352212, 352418, 353765, 354182, 354509, 355032]"
6,Insects_abrupt_imbal,HT_EDDM_F,0.6364355398931529,0.5382341647479155,00:04:48,9.44 MB,"[135, 270, 99409, 99466, 99790, 130044, 130109, 130250, 135499, 135646, 135722, 135787, 136249, 138476, 145601, 145665, 146303, 146376, 146436, 146732, 146935, 147037, 147353, 147419, 147833, 148838, 148907, 148974, 149627, 149691, 149951]"
7,Insects_abrupt_imbal,HT_GMA_F,0.6612389310785478,0.5633390025509784,00:04:06,16.38 MB,[]
8,Insects_abrupt_imbal,HT_HDDMA_F,0.638217263295372,0.5515310343210104,00:06:01,2.62 MB,"[990, 6753, 53710, 83873, 87884, 90761, 93280, 95559, 100942, 108344, 110346, 112396, 122935, 123165, 123767, 124495, 126165, 128248, 128290, 128677, 131421, 137834, 145718, 169682, 177154, 178609, 178939, 180943, 182193, 182488, 191868, 211100, 242920, 247956, 261780, 263040, 263828, 264928, 265975, 266514, 268383, 271018, 275049, 278134, 298259, 304543]"
9,Insects_abrupt_imbal,HT_HDDMW_F,0.6256269808654729,0.5329627627591692,00:06:01,720.98 KB,"[515, 985, 1336, 2972, 4659, 6603, 7828, 8786, 10680, 11751, 12916, 15725, 18274, 19618, 21996, 22910, 23350, 23857, 27205, 29660, 30355, 31476, 32182, 33750, 35349, 36208, 37956, 38660, 39761, 41117, 41564, 42057, 42590, 42927, 43377, 43750, 44566, 45428, 46892, 47415, 48262, 48894, 49850, 50213, 50650, 52170, 52864, 53841, 53947, 56192, 57328, 57623, 57974, 58734, 59447, 59618, 60009, 60882, 61979, 62259, 62693, 63547, 64128, 64554, 65076, 65417, 65627, 66244, 69209, 69456, 70832, 71080, 71923, 75467, 75636, 75934, 76746, 77246, 78097, 78541, 78913, 80965, 81637, 81972, 82808, 83565, 83837, 84805, 86093, 86814, 89052, 90679, 91969, 93280, 95116, 97869, 98391, 99039, 99382, 100558, 101549, 104224, 106683, 108048, 108342, 108778, 108953, 110144, 110349, 112227, 113026, 114174, 115631, 116959, 117163, 118611, 119017, 120123, 120493, 122917, 123293, 123713, 124278, 124989, 125817, 127102, 127543, 127811, 127981, 128430, 128625, 131664, 132280, 135895, 136258, 137064, 138251, 141059, 142477, 142844, 143072, 143895, 144819, 145805, 146112, 147407, 148364, 150050, 150581, 150939, 153016, 153400, 153759, 154465, 155943, 156614, 158041, 160039, 160677, 161244, 162272, 163365, 163800, 164366, 164889, 168230, 169390, 170588, 171174, 172735, 173359, 174360, 174839, 175692, 176726, 177672, 178485, 178938, 180686, 182329, 183888, 184614, 186320, 186874, 187245, 188350, 192017, 197774, 198488, 199070, 199805, 201073, 201377, 201847, 202800, 206209, 208142, 208826, 209816, 210808, 211102, 211728, 212278, 213648, 214193, 215044, 216233, 217178, 217684, 218878, 219415, 221316, 224438, 224609, 225055, 226639, 227190, 227706, 228513, 229823, 231600, 234041, 235897, 236781, 239695, 241463, 242457, 242906, 243740, 244208, 246057, 246656, 247848, 249908, 250733, 251714, 255077, 255267, 256161, 256319, 257332, 260961, 261587, 262880, 263801, 264582, 265055, 265887, 266341, 267069, 268393, 268641, 269442, 269709, 270219, 270441, 270672, 271000, 272259, 272930, 273214, 273622, 273855, 273986, 276693, 276897, 277363, 277663, 278130, 279897, 281148, 283906, 286668, 288051, 288661, 292345, 292764, 293723, 294442, 294954, 296472, 299725, 302398, 302788, 303819, 304142, 304864, 306026, 308168, 308937, 310761, 311836, 313979, 314730, 318291, 318840, 320134, 320575, 321338, 322560, 325794, 328454, 330019, 332707, 334090, 337547, 338432, 341314, 344790, 348461, 350041, 351273, 353634, 354191]"
10,Insects_abrupt_imbal,HT_KSWIN1_F,0.6448600235311337,0.5480422821419288,00:07:47,4.66 MB,"[1007, 61642, 83884, 92876, 109559, 146190, 242908, 250791]"
11,Insects_abrupt_imbal,HT_KSWIN51_F,0.633347782275089,0.5386675432282662,00:07:58,5.35 MB,"[1007, 83887, 100453, 124762, 182355, 242911]"
12,Insects_abrupt_imbal,HT_KSWIN101_F,0.6597274216520207,0.5674166949182701,00:07:24,5.35 MB,"[1005, 83883, 122926, 131378, 135611, 242908]"
13,Insects_abrupt_imbal,HT_KSWIN151_F,0.6522712047602696,0.5602843749990319,00:07:57,2.05 MB,"[83887, 122927, 242910, 278139, 296621]"
14,Insects_abrupt_imbal,HT_KSWIN201_F,0.6474720919628231,0.5485281887298551,00:07:34,9.67 MB,"[79866, 122925]"
15,Insects_abrupt_imbal,HT_PH_F,0.657101279575764,0.566152315285569,00:04:38,4.1 MB,"[84438, 91099, 123529, 124704, 126585, 128428, 138980, 142581, 215875, 229960, 250370, 261958, 262949, 264293, 265502, 266499, 268816, 270268, 272855]"
16,Insects_abrupt_imbal,HT_RDDM_F,0.6420255915152812,0.5531436207737419,00:05:27,1.88 MB,"[441, 1051, 1335, 2832, 4900, 5790, 6653, 56756, 84106, 90846, 92578, 93359, 95736, 96207, 96803, 100339, 100555, 101128, 101745, 103324, 103503, 104648, 108622, 108777, 110464, 111905, 123064, 123278, 123711, 124127, 124380, 124727, 125037, 125660, 126010, 126258, 127720, 127976, 128201, 128422, 128626, 131681, 135950, 138051, 143119, 143283, 143696, 144286, 145693, 149078, 150647, 150977, 155679, 206438, 211150, 211818, 212274, 245213, 246187, 246364, 247903, 260952, 261990, 262382, 262769, 263884, 264092, 264525, 264858, 265758, 265990, 267130, 267469, 267852, 268392, 268642, 268819, 269271, 269599, 269865, 270154, 270687, 274619, 336616]"
17,Insects_abrupt_imbal,HT_STEPD_F,0.6202367749962001,0.5261205198292389,00:06:35,1.39 MB,"[515, 984, 6753, 7738, 8785, 10614, 10676, 11753, 12643, 13218, 15582, 17931, 18088, 19575, 19968, 20526, 22392, 22896, 23517, 25791, 26123, 26445, 26715, 28858, 29663, 29727, 29803, 30356, 31485, 33479, 35351, 36216, 38360, 39482, 39602, 39723, 40207, 41122, 46772, 48532, 53578, 54963, 57345, 57620, 60466, 61059, 62068, 66285, 68579, 68975, 70834, 72065, 75383, 75642, 75934, 76606, 76992, 77807, 78097, 78158, 81843, 82791, 82946, 83038, 83099, 83877, 83938, 84407, 85171, 86097, 88299, 89049, 90681, 91380, 91966, 93277, 93489, 93573, 95121, 95401, 99285, 99813, 101104, 101554, 106207, 106912, 108328, 108551, 108971, 110149, 110330, 112357, 118622, 118845, 119096, 119760, 120283, 120614, 120681, 120750, 121212, 122916, 124762, 125896, 126028, 126756, 128606, 128680, 131666, 132086, 132278, 132342, 135958, 137418, 138385, 142240, 143897, 145702, 146108, 146761, 147037, 147649, 148372, 148835, 149184, 149299, 150050, 150306, 150956, 151668, 154127, 154268, 154466, 155086, 155612, 156385, 158042, 158540, 158936, 161258, 164368, 167267, 167717, 168663, 169561, 170177, 170573, 170997, 171057, 171803, 172724, 172790, 173382, 174088, 174558, 175385, 176821, 177389, 178494, 178935, 180685, 182206, 185091, 186319, 186883, 187141, 187948, 188607, 188869, 190051, 191218, 197779, 198489, 198738, 201348, 202513, 203032, 203413, 203626, 204230, 204651, 205107, 206242, 206405, 206573, 206675, 207512, 208140, 208828, 211098, 212309, 213339, 214196, 216927, 217174, 217864, 218883, 219424, 219702, 221317, 225644, 227103, 227278, 227750, 230392, 236724, 236884, 239695, 241468, 242469, 242894, 243253, 243560, 244452, 244697, 244814, 244874, 246056, 246671, 247847, 247946, 248032, 248586, 248732, 248858, 249399, 249913, 252199, 256161, 256349, 257584, 260966, 261769, 262100, 262641, 263155, 263348, 263851, 264091, 264857, 265977, 266713, 268392, 268643, 269547, 272272, 272943, 273211, 274618, 278136, 279301, 279702, 279897, 280217, 280955, 281969, 283370, 289984, 292660, 292759, 293729, 294442, 294954, 296472, 296804, 298259, 298824, 299984, 305250, 305437, 305810, 306274, 307678, 308941, 309073, 310186, 310823, 311839, 312186, 312993, 313753, 313981, 314463, 314814, 314893, 316492, 316844, 318291, 318839, 319227, 319778, 320377, 320579, 321469, 321597, 321815, 321971, 322109, 322911, 323354, 325796, 328452, 330402, 331674, 331896, 334689, 337548, 342371, 343714, 344210, 349299, 349983, 350095, 350423, 350590, 352026, 352734, 354525]"
