,dataset,model,accuracy,cohen kappa,time,memory,drifts
0,Insects_abrupt_imbal,NoChange_basic_F,0.29158339760297686,0.08756625578692118,00:00:17,1.61 KB,[]
1,Insects_abrupt_imbal,MajClass_basic_F,0.2849744141141767,5.445465398385905e-05,00:00:18,1.3 KB,[]
2,Insects_abrupt_imbal,NB_basic_F,0.5207361079054477,0.4072003466239994,00:02:11,662.86 KB,[]
3,Insects_abrupt_imbal,NB_ADWIN_F,0.5939866131492876,0.5058608364097156,00:04:18,675.44 KB,"[38751, 84927, 91295, 123359, 124287, 126367, 128159, 129439, 138143, 144287, 150943, 189631, 193471, 211807, 242527, 248575, 262911, 264063, 265055, 265983, 268927, 269823, 280383]"
4,Insects_abrupt_imbal,NB_BOCD_F,0.6043729628399489,0.5170155203879006,07:59:34,31.14 MB,"[8536, 15578, 23353, 31735, 36419, 41115, 46023, 52874, 61730, 68863, 71946, 80964, 83935, 89507, 91104, 99680, 107536, 112685, 120219, 122923, 124587, 126229, 128591, 131597, 137429, 140782, 144819, 150978, 159085, 165913, 168246, 170235, 172145, 174176, 176820, 179018, 181529, 188497, 193069, 199804, 206648, 209311, 211351, 218175, 223593, 231968, 236193, 241826, 245517, 251036, 256413, 258375, 261623, 263461, 264619, 266017, 268459, 273621, 279457, 283847, 291495, 299490, 305689, 310846, 318228, 325292, 333097, 341222, 347316, 353862]"
5,Insects_abrupt_imbal,NB_CUSUM_F,0.6036946131718054,0.5158120477373502,00:04:04,667.48 KB,"[32490, 34390, 36284, 37770, 39239, 40352, 41287, 42950, 44580, 46023, 47026, 47669, 48838, 50718, 51934, 53346, 54721, 68701, 71491, 72422, 73535, 74827, 76764, 78217, 79865, 81912, 82852, 83663, 84015, 90844, 92544, 123010, 123857, 124407, 125837, 127052, 127985, 128591, 137713, 142925, 211233, 229983, 243198, 249023, 260952, 261585, 262853, 264021, 264945, 265887, 267047, 268556, 270081, 273660, 274705, 279108, 322912, 327119, 333493, 335481]"
6,Insects_abrupt_imbal,NB_DDM_F,0.5786069343661512,0.486967728516259,00:04:06,1.3 MB,"[53184, 84182, 91159, 128616, 128734, 130159, 130413, 130521, 131801, 138043, 143684, 212136, 247927, 269696]"
7,Insects_abrupt_imbal,NB_ECDD_F,0.52138912501337,0.4087667147299951,00:04:11,1.3 MB,"[984, 1156, 1292, 1441, 2200, 2639, 2740, 2971, 3106, 3506, 4468, 4571, 4827, 5146, 5605, 5813, 5899, 6174, 6436, 7251, 7367, 7585, 8402, 8785, 8892, 9384, 9831, 10613, 10677, 11108, 11420, 11748, 12202, 12567, 12674, 13009, 13205, 13562, 14233, 14311, 14534, 14617, 16077, 16670, 16730, 17051, 17421, 17928, 18182, 18957, 19543, 19735, 19879, 19967, 20514, 20819, 20889, 21600, 21995, 22135, 22210, 22604, 22876, 23060, 23420, 23501, 23763, 24042, 24324, 24758, 25189, 25828, 26064, 26428, 27393, 28598, 29292, 29679, 30136, 30287, 30504, 30812, 31443, 31998, 33744, 33984, 35268, 35954, 36290, 36442, 36544, 36809, 37048]"
8,Insects_abrupt_imbal,NB_EDDM_F,0.609673097383991,0.5192847176264512,00:04:04,1.31 MB,"[125, 222, 54632, 54679, 54750, 56244, 56335, 56403, 56515, 56856, 56963, 57223, 57293, 57453, 57559, 57629, 57701, 57884, 57952, 58083, 58610, 58667, 58814, 58885, 58957, 59054, 59135, 59446, 59616, 59704, 59822, 60237, 60332, 60406, 60485, 60848, 60914, 61005, 61073, 61198, 61398, 61478, 61625, 65601, 65730, 66290, 66342, 66549, 66667, 66733, 66826, 67024, 67208, 67273, 67344, 67457, 67524, 67615, 67689, 67758, 67968, 68037, 68194, 68327, 68435, 68487, 68560, 68649, 68704, 68796, 68856, 69053, 69150, 69261, 69326, 69513, 69592, 69668, 69756, 69914, 70291, 70343, 70405, 70646, 70716, 70918, 70987, 71069, 71168, 71239, 71312, 71375, 71448, 71600, 71895, 71975, 73546, 73707, 73780, 73857, 73930, 74014, 74097, 74198, 74309, 74404, 75652, 75705, 76087, 76138, 76807, 77000, 77064, 77132, 77346, 77424, 77504, 78913, 78966, 79200, 79292, 79749, 79831, 79898, 81289, 81404, 81472, 81530, 81700, 81832, 81896, 81969, 82182, 82250, 82804, 82886, 82966, 83098, 83164, 83259, 83373, 83432, 83500, 83987, 84088, 84172, 84319, 84567, 84654, 84807, 91788, 91857, 91954, 94013, 104169, 104239, 104318, 104389, 104480, 104572, 104653, 108837, 108944, 109233, 110183, 110348, 110427, 110584, 110683, 110963, 111248, 125268, 125338, 125415, 125718, 125830, 125904, 125987, 126198, 126286, 126341, 126438, 126654, 126777, 126869, 126968, 127048, 127189, 127289, 127531, 127662, 127714, 128015, 128186, 128298, 128388, 128664, 139557, 139609, 139937, 140024, 140453, 140620, 140885, 142984, 143043, 143186, 143265, 143638, 143724, 144395, 146487, 146949, 147024, 147364, 147514, 147581, 147681, 148199, 148447, 148550, 148651, 148725, 148780, 150765, 150838, 150916, 151030, 151089, 151372, 151574, 178989, 179732, 179833, 180879, 181398, 181841, 182595, 184520, 184637, 184750, 184836, 184911, 185498, 215921, 216135, 216183, 216301, 216364, 216597, 216670, 216721, 216876, 220876, 220924, 222351, 222406, 222958, 223008, 223187, 223257, 223351, 223529, 223585, 223841, 223967, 224019, 224194, 224337, 224403, 224493, 224621, 225059, 225141, 225282, 225357, 225414, 225484, 225627, 225706, 226640, 227301, 227636, 227784, 227862, 227914, 227985, 228319, 228376, 228488, 228542, 229131, 229183, 229238, 229301, 229611, 229852, 229923, 230221, 230277, 230396, 230449, 252013, 270936, 270993, 271096, 271191, 271424, 271634, 271741, 272713, 272766, 272899, 273060, 273147, 273314, 273388, 273501, 273751, 273824, 273973, 274144, 274283, 274378, 274490, 274718, 275120, 275174, 275320, 275472, 275663, 275735, 275911, 276023, 276107, 276302, 276411, 276460, 276683, 276870, 276963, 277152, 277250, 277451, 277546, 277648, 277753, 277932, 278006, 278069, 278169, 278571, 278659, 278782, 278875, 278955, 279020, 279096, 279235, 279318, 279577, 279706, 279805, 280947, 281011, 281166, 281643, 281748, 281912, 282018, 282213]"
9,Insects_abrupt_imbal,NB_GMA_F,0.5207361079054477,0.4072003466239994,00:04:03,665.33 KB,[]
