generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
Insects;abrupt;bal;NB;basic;0.5069;0.0;0.4083;0.0;19.0;0.0;678778.88;0.0;0.0;0.0
Insects;abrupt;imbal;NB;basic;0.5207;0.0;0.4072;0.0;131.0;0.0;678768.64;0.0;0.0;0.0
Insects;abrupt;bal;HT;basic;0.5373;0.0;0.4447;0.0;34.0;0.0;2757754.88;0.0;0.0;0.0
Insects;abrupt;imbal;HT;basic;0.6612;0.0;0.5633;0.0;177.0;0.0;17165189.12;0.0;0.0;0.0
Insects;abrupt;bal;NoChange;basic;0.2898;0.0;0.1477;0.0;2.0;0.0;1658.88;0.0;0.0;0.0
Insects;abrupt;imbal;NoChange;basic;0.2916;0.0;0.0876;0.0;17.0;0.0;1648.64;0.0;0.0;0.0
Insects;abrupt;bal;MajClass;basic;0.1612;0.0;-0.0066;0.0;2.0;0.0;1341.44;0.0;0.0;0.0
Insects;abrupt;imbal;MajClass;basic;0.285;0.0;0.0001;0.0;18.0;0.0;1331.2;0.0;0.0;0.0
Insects;abrupt;bal;BOLE;basic;0.5745;0.0064;0.4894;0.0077;484.75;88.4752;29118955.52;2350381.2637;0.0;0.0
Insects;abrupt;bal;BOLE;ADWIN;0.6733;0.0022;0.608;0.0027;630.0;95.9584;1892679.68;519924.9006;0.0;0.0
Insects;abrupt;bal;BOLE;BOCD;0.6792;0.0028;0.615;0.0033;15515.25;1702.658;110061158.4;151340733.3663;0.0;0.0
Insects;abrupt;bal;BOLE;CUSUM;0.6761;0.0048;0.6113;0.0057;682.75;31.7282;2752512.0;1067982.1265;0.0;0.0
Insects;abrupt;bal;BOLE;DDM;0.6456;0.0107;0.5748;0.0129;798.75;38.5495;18667274.24;2427082.6084;0.0;0.0
Insects;abrupt;bal;BOLE;ECDD;0.6269;0.0048;0.5523;0.0057;778.25;47.0847;17485004.8;7623607.7147;0.0;0.0
Insects;abrupt;bal;BOLE;EDDM;0.6808;0.0015;0.6169;0.0018;612.5;65.4468;5290065.92;4162978.5071;0.0;0.0
Insects;abrupt;bal;BOLE;GMA;0.5745;0.0064;0.4894;0.0077;664.75;54.6198;29129441.28;2350381.2637;0.0;0.0
Insects;abrupt;bal;BOLE;HDDMA;0.6941;0.0012;0.633;0.0014;690.75;28.8293;4569169.92;1431842.5502;0.0;0.0
Insects;abrupt;bal;BOLE;HDDMW;0.6904;0.0023;0.6285;0.0028;653.75;18.9783;3465543.68;1105637.4002;0.0;0.0
Insects;abrupt;bal;BOLE;KSWIN;0.6792;0.0013;0.6151;0.0016;1024.05;12.067;2751987.712;250716.8649;0.0;0.0
Insects;abrupt;bal;BOLE;PH;0.6547;0.0059;0.5856;0.0071;692.75;21.085;7361003.52;230794.9604;0.0;0.0
Insects;abrupt;bal;BOLE;RDDM;0.6947;0.0026;0.6336;0.0031;688.0;33.2511;5200936.96;1213859.0874;0.0;0.0
Insects;abrupt;bal;BOLE;STEPD;0.6921;0.0041;0.6305;0.0049;739.75;37.2127;3056599.04;1073788.0683;0.0;0.0
Insects;abrupt;bal;HT;ADWIN;0.6456;0.0;0.5747;0.0;52.0;0.0;153425.92;0.0;10.0;0.0
Insects;abrupt;bal;HT;BOCD;0.6533;0.0;0.584;0.0;3118.0;0.0;10842275.84;0.0;13.0;0.0
Insects;abrupt;bal;HT;CUSUM;0.6429;0.0;0.5714;0.0;50.0;0.0;147312.64;0.0;8.0;0.0
Insects;abrupt;bal;HT;DDM;0.5833;0.0;0.5;0.0;53.0;0.0;862730.24;0.0;4.0;0.0
Insects;abrupt;bal;HT;ECDD;0.6459;0.0;0.575;0.0;54.0;0.0;865638.4;0.0;67.0;0.0
Insects;abrupt;bal;HT;EDDM;0.6198;0.0;0.5438;0.0;51.0;0.0;603719.68;0.0;26.0;0.0
Insects;abrupt;bal;HT;GMA;0.5373;0.0;0.4447;0.0;46.0;0.0;2768240.64;0.0;0.0;0.0
Insects;abrupt;bal;HT;HDDMA;0.6435;0.0;0.5722;0.0;55.0;0.0;149616.64;0.0;9.0;0.0
Insects;abrupt;bal;HT;HDDMW;0.6566;0.0;0.5879;0.0;51.0;0.0;152064.0;0.0;38.0;0.0
Insects;abrupt;bal;HT;KSWIN;0.6368;0.0;0.5642;0.0;77.0;0.0;148613.12;0.0;6.0;0.0
Insects;abrupt;bal;HT;PH;0.622;0.0;0.5464;0.0;48.0;0.0;723363.84;0.0;6.0;0.0
Insects;abrupt;bal;HT;RDDM;0.6243;0.0;0.5492;0.0;52.0;0.0;659947.52;0.0;14.0;0.0
Insects;abrupt;bal;HT;STEPD;0.6606;0.0;0.5927;0.0;57.0;0.0;162754.56;0.0;76.0;0.0
Insects;abrupt;bal;NB;ADWIN;0.6477;0.0;0.5773;0.0;36.0;0.0;124620.8;0.0;10.0;0.0
Insects;abrupt;bal;NB;BOCD;0.6573;0.0;0.5887;0.0;3289.0;0.0;10758389.76;0.0;12.0;0.0
Insects;abrupt;bal;NB;CUSUM;0.6454;0.0;0.5744;0.0;35.0;0.0;118558.72;0.0;8.0;0.0
Insects;abrupt;bal;NB;DDM;0.5716;0.0;0.4859;0.0;36.0;0.0;682270.72;0.0;8.0;0.0
Insects;abrupt;bal;NB;ECDD;0.6435;0.0;0.5722;0.0;36.0;0.0;122040.32;0.0;75.0;0.0
Insects;abrupt;bal;NB;EDDM;0.6041;0.0;0.5249;0.0;36.0;0.0;1363148.8;0.0;19.0;0.0
Insects;abrupt;bal;NB;GMA;0.5069;0.0;0.4083;0.0;36.0;0.0;681379.84;0.0;0.0;0.0
Insects;abrupt;bal;NB;HDDMA;0.6466;0.0;0.5759;0.0;36.0;0.0;232488.96;0.0;7.0;0.0
