generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
Insects;gradual;bal;NB;basic;0.536;0.0;0.4433;0.0;8.0;0.0;678778.88;0.0;0.0;0.0
Insects;gradual;imbal;NB;basic;0.5745;0.0;0.4638;0.0;50.0;0.0;678768.64;0.0;0.0;0.0
Insects;gradual;bal;HT;basic;0.6046;0.0;0.5255;0.0;12.0;0.0;1436549.12;0.0;0.0;0.0
Insects;gradual;imbal;HT;basic;0.5764;0.0;0.4721;0.0;67.0;0.0;6071255.04;0.0;0.0;0.0
Insects;gradual;bal;NoChange;basic;0.3659;0.0;0.2391;0.0;1.0;0.0;1658.88;0.0;0.0;0.0
Insects;gradual;imbal;NoChange;basic;0.3016;0.0;0.1093;0.0;5.0;0.0;1648.64;0.0;0.0;0.0
Insects;gradual;bal;MajClass;basic;0.1632;0.0;-0.0041;0.0;1.0;0.0;1341.44;0.0;0.0;0.0
Insects;gradual;imbal;MajClass;basic;0.2957;0.0;0.0754;0.0;6.0;0.0;1331.2;0.0;0.0;0.0
Insects;gradual;bal;BOLE;basic;0.6452;0.0103;0.5743;0.0123;220.2;18.002;18557698.048;2438342.9792;0.0;0.0
Insects;gradual;bal;BOLE;ADWIN;0.7312;0.0029;0.6775;0.0035;273.0;15.5332;2053111.808;366224.2865;0.0;0.0
Insects;gradual;bal;BOLE;BOCD;0.7328;0.0046;0.6794;0.0056;2900.8;567.0364;78781612.032;35280530.6931;0.0;0.0
Insects;gradual;bal;BOLE;CUSUM;0.7318;0.005;0.6781;0.006;266.0;18.0362;3527409.664;452201.1539;0.0;0.0
Insects;gradual;bal;BOLE;DDM;0.723;0.0054;0.6676;0.0065;320.6;25.7567;12413042.688;4241699.1422;0.0;0.0
Insects;gradual;bal;BOLE;ECDD;0.7153;0.0041;0.6583;0.0049;306.0;12.3544;13144948.736;558228.7449;0.0;0.0
Insects;gradual;bal;BOLE;EDDM;0.7085;0.0029;0.6502;0.0035;244.2;11.9226;4022337.536;533859.0494;0.0;0.0
Insects;gradual;bal;BOLE;GMA;0.6452;0.0103;0.5743;0.0123;289.2;15.935;18572378.112;2442927.0267;0.0;0.0
Insects;gradual;bal;BOLE;HDDMA;0.7261;0.0021;0.6714;0.0025;280.8;7.774;4047503.36;723331.1079;0.0;0.0
