generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
Insects;incremental-abrupt;bal;NB;basic;0.585;0;0.502;0;30;0;678778.88;0;0;0
Insects;incremental-abrupt;imbal;NB;basic;0.5228;0;0.3985;0;173;0;678768.64;0;0;0
Insects;incremental-abrupt;bal;HT;basic;0.5756;0;0.4907;0;51;0;3586129.92;0;0;0
Insects;incremental-abrupt;imbal;HT;basic;0.6455;0;0.5426;0;236;0;20289945.6;0;0;0
Insects;incremental-abrupt;bal;NoChange;basic;0.4238;0;0.3085;0;4;0;1658.88;0;0;0
Insects;incremental-abrupt;imbal;NoChange;basic;0.2813;0;0.0715;0;22;0;1638.4;0;0;0
Insects;incremental-abrupt;bal;MajClass;basic;0.1665;0;-0.0002;0;4;0;1341.44;0;0;0
Insects;incremental-abrupt;imbal;MajClass;basic;0.298;0;0.0006;0;24;0;1331.2;0;0;0
Insects;incremental-abrupt;bal;HT;ADWIN;0.6618;0;0.5942;0;67;0;154449.92;0;23;0
Insects;incremental-abrupt;bal;HT;BOCD;0.6731;0;0.6077;0;3742;0;499992494.08;0;24;0
Insects;incremental-abrupt;bal;HT;CUSUM;0.6586;0;0.5903;0;68;0;288040.96;0;22;0
Insects;incremental-abrupt;bal;HT;DDM;0.6193;0;0.5431;0;77;0;3030384.64;0;8;0
Insects;incremental-abrupt;bal;HT;ECDD;0.6262;0;0.5514;0;74;0;1006632.96;0;64;0
Insects;incremental-abrupt;bal;HT;EDDM;0.642;0;0.5704;0;71;0;768399.36;0;73;0
Insects;incremental-abrupt;bal;HT;GMA;0.5756;0;0.4907;0;74;0;3586129.92;0;0;0
Insects;incremental-abrupt;bal;HT;HDDMA;0.6658;0;0.5989;0;72;0;290600.96;0;38;0
Insects;incremental-abrupt;bal;HT;HDDMW;0.6801;0;0.6161;0;69;0;152821.76;0;58;0
Insects;incremental-abrupt;bal;HT;KSWIN;0.6168;0;0.5401;0;108;0;426117.12;0;4;0
Insects;incremental-abrupt;bal;HT;PH;0.6474;0;0.5769;0;69;0;287784.96;0;15;0
Insects;incremental-abrupt;bal;HT;RDDM;0.6563;0;0.5876;0;74;0;347084.8;0;39;0
Insects;incremental-abrupt;bal;HT;STEPD;0.676;0;0.6112;0;82;0;164567.04;0;126;0
Insects;incremental-abrupt;bal;NB;ADWIN;0.6587;0;0.5905;0;52;0;123893.76;0;23;0
Insects;incremental-abrupt;bal;NB;BOCD;0.6704;0;0.6045;0;3262;0;471901143.04;0;25;0
Insects;incremental-abrupt;bal;NB;CUSUM;0.6518;0;0.5822;0;53;0;569569.28;0;25;0
Insects;incremental-abrupt;bal;NB;DDM;0.6014;0;0.5216;0;57;0;1132462.08;0;15;0
Insects;incremental-abrupt;bal;NB;ECDD;0.6241;0;0.549;0;56;0;1247805.44;0;77;0
Insects;incremental-abrupt;bal;NB;EDDM;0.6334;0;0.5601;0;53;0;1132462.08;0;97;0
Insects;incremental-abrupt;bal;NB;GMA;0.585;0;0.502;0;55;0;681379.84;0;0;0
Insects;incremental-abrupt;bal;NB;HDDMA;0.6332;0;0.5598;0;55;0;683745.28;0;23;0
Insects;incremental-abrupt;bal;NB;HDDMW;0.6626;0;0.5952;0;53;0;1027604.48;0;56;0
Insects;incremental-abrupt;bal;NB;KSWIN;0.5981;0;0.5177;0;86;0;119756.8;0;3;0
Insects;incremental-abrupt;bal;NB;PH;0.6329;0;0.5595;0;52;0;569354.24;0;17;0
Insects;incremental-abrupt;bal;NB;RDDM;0.646;0;0.5752;0;54;0;966256.64;0;45;0
Insects;incremental-abrupt;bal;NB;STEPD;0.6737;0;0.6084;0;62;0;136550.4;0;161;0
Insects;incremental-abrupt;imbal;HT;ADWIN;0.5802;0;0.4776;0;406;0;732252.16;0;55;0
Insects;incremental-abrupt;imbal;HT;BOCD;0.5882;0;0.4895;0;32514;0;18706595.84;0;94;0
Insects;incremental-abrupt;imbal;HT;CUSUM;0.5976;0;0.4971;0;405;0;377978.88;0;118;0
Insects;incremental-abrupt;imbal;HT;DDM;0.607;0;0.5041;0;389;0;1436549.12;0;26;0
Insects;incremental-abrupt;imbal;HT;ECDD;0.5917;0;0.4912;0;437;0;754237.44;0;415;0
Insects;incremental-abrupt;imbal;HT;EDDM;0.6387;0;0.5332;0;344;0;19325255.68;0;11;0
Insects;incremental-abrupt;imbal;HT;GMA;0.6455;0;0.5426;0;338;0;20289945.6;0;0;0
Insects;incremental-abrupt;imbal;HT;HDDMA;0.591;0;0.4936;0;460;0;2390753.28;0;63;0
Insects;incremental-abrupt;imbal;HT;HDDMW;0.6093;0;0.5112;0;450;0;505845.76;0;412;0
Insects;incremental-abrupt;imbal;HT;KSWIN;0.6062;0;0.5048;0;590;0;2757754.88;0;8;0
Insects;incremental-abrupt;imbal;HT;PH;0.6243;0;0.5236;0;374;0;5064622.08;0;22;0
Insects;incremental-abrupt;imbal;HT;RDDM;0.6045;0;0.5071;0;435;0;1992294.4;0;105;0
Insects;incremental-abrupt;imbal;HT;STEPD;0.5996;0;0.5017;0;513;0;879493.12;0;404;0
Insects;incremental-abrupt;imbal;NB;ADWIN;0.5694;0;0.4751;0;338;0;690790.4;0;64;0
