generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
Insects;incremental-reoccurring;bal;NB;basic;0.4874;0;0.3848;0;30;0;678778.88;0;0;0
Insects;incremental-reoccurring;imbal;NB;basic;0.5251;0;0.4013;0;174;0;678768.64;0;0;0
Insects;incremental-reoccurring;bal;HT;basic;0.533;0;0.4397;0;52;0;3219128.32;0;0;0
Insects;incremental-reoccurring;imbal;HT;basic;0.6293;0;0.5228;0;263;0;19314769.92;0;0;0
Insects;incremental-reoccurring;bal;NoChange;basic;0.4045;0;0.2854;0;3;0;1658.88;0;0;0
Insects;incremental-reoccurring;imbal;NoChange;basic;0.2818;0;0.0721;0;22;0;1638.4;0;0;0
Insects;incremental-reoccurring;bal;MajClass;basic;0.1666;0;-0.0001;0;4;0;1341.44;0;0;0
Insects;incremental-reoccurring;imbal;MajClass;basic;0.298;0;0.0046;0;24;0;1331.2;0;0;0
Insects;incremental-reoccurring;bal;HT;ADWIN;0.6843;0;0.6211;0;68;0;433797.12;0;19;0
Insects;incremental-reoccurring;bal;HT;BOCD;0.6922;0;0.6306;0;3770;0;496238592.0;0;22;0
Insects;incremental-reoccurring;bal;HT;CUSUM;0.6692;0;0.603;0;70;0;287959.04;0;21;0
Insects;incremental-reoccurring;bal;HT;DDM;0.6467;0;0.5761;0;78;0;880967.68;0;20;0
Insects;incremental-reoccurring;bal;HT;ECDD;0.6593;0;0.5911;0;72;0;293089.28;0;103;0
Insects;incremental-reoccurring;bal;HT;EDDM;0.6509;0;0.581;0;75;0;882206.72;0;49;0
Insects;incremental-reoccurring;bal;HT;GMA;0.533;0;0.4397;0;75;0;3219128.32;0;0;0
Insects;incremental-reoccurring;bal;HT;HDDMA;0.6736;0;0.6083;0;77;0;290181.12;0;25;0
Insects;incremental-reoccurring;bal;HT;HDDMW;0.6796;0;0.6155;0;76;0;606423.04;0;51;0
Insects;incremental-reoccurring;bal;HT;KSWIN;0.5554;0;0.4665;0;112;0;2432696.32;0;1;0
Insects;incremental-reoccurring;bal;HT;PH;0.6597;0;0.5917;0;70;0;287784.96;0;15;0
Insects;incremental-reoccurring;bal;HT;RDDM;0.671;0;0.6052;0;76;0;709877.76;0;43;0
Insects;incremental-reoccurring;bal;HT;STEPD;0.6984;0;0.6381;0;82;0;163235.84;0;80;0
Insects;incremental-reoccurring;bal;NB;ADWIN;0.6835;0;0.6202;0;51;0;239380.48;0;23;0
Insects;incremental-reoccurring;bal;NB;BOCD;0.6877;0;0.6252;0;3874;0;470338764.8;0;23;0
Insects;incremental-reoccurring;bal;NB;CUSUM;0.6629;0;0.5955;0;52;0;569425.92;0;22;0
Insects;incremental-reoccurring;bal;NB;DDM;0.6372;0;0.5646;0;55;0;1247805.44;0;29;0
Insects;incremental-reoccurring;bal;NB;ECDD;0.6638;0;0.5966;0;52;0;1132462.08;0;107;0
Insects;incremental-reoccurring;bal;NB;EDDM;0.6543;0;0.5851;0;51;0;911605.76;0;105;0
Insects;incremental-reoccurring;bal;NB;GMA;0.4874;0;0.3848;0;54;0;681379.84;0;0;0
Insects;incremental-reoccurring;bal;NB;HDDMA;0.6616;0;0.5939;0;54;0;1017118.72;0;26;0
Insects;incremental-reoccurring;bal;NB;HDDMW;0.6823;0;0.6188;0;52;0;573706.24;0;54;0
Insects;incremental-reoccurring;bal;NB;KSWIN;0.5283;0;0.434;0;89;0;682373.12;0;1;0
Insects;incremental-reoccurring;bal;NB;PH;0.643;0;0.5715;0;52;0;569200.64;0;14;0
Insects;incremental-reoccurring;bal;NB;RDDM;0.6608;0;0.593;0;52;0;966656.0;0;55;0
Insects;incremental-reoccurring;bal;NB;STEPD;0.6932;0;0.6319;0;63;0;134860.8;0;112;0
Insects;incremental-reoccurring;imbal;HT;ADWIN;0.58;0;0.4782;0;414;0;380569.6;0;55;0
Insects;incremental-reoccurring;imbal;HT;BOCD;0.5835;0;0.4831;0;38401;0;8430551.04;0;85;0
Insects;incremental-reoccurring;imbal;HT;CUSUM;0.597;0;0.4951;0;391;0;726138.88;0;85;0
Insects;incremental-reoccurring;imbal;HT;DDM;0.6297;0;0.53;0;362;0;5620367.36;0;13;0
Insects;incremental-reoccurring;imbal;HT;ECDD;0.5846;0;0.4794;0;427;0;1090519.04;0;345;0
Insects;incremental-reoccurring;imbal;HT;EDDM;0.6391;0;0.534;0;334;0;6710886.4;0;52;0
Insects;incremental-reoccurring;imbal;HT;GMA;0.6293;0;0.5228;0;333;0;19314769.92;0;0;0
Insects;incremental-reoccurring;imbal;HT;HDDMA;0.5863;0;0.4859;0;450;0;865402.88;0;76;0
Insects;incremental-reoccurring;imbal;HT;HDDMW;0.6067;0;0.5085;0;446;0;503910.4;0;387;0
Insects;incremental-reoccurring;imbal;HT;KSWIN;0.6162;0;0.5139;0;596;0;8462008.32;0;7;0
Insects;incremental-reoccurring;imbal;HT;PH;0.6269;0;0.5263;0;361;0;724162.56;0;29;0
Insects;incremental-reoccurring;imbal;HT;RDDM;0.5889;0;0.4848;0;407;0;3271557.12;0;130;0
Insects;incremental-reoccurring;imbal;HT;STEPD;0.6045;0;0.5067;0;498;0;994396.16;0;425;0
Insects;incremental-reoccurring;imbal;NB;ADWIN;0.5678;0;0.4735;0;338;0;350228.48;0;55;0
Insects;incremental-reoccurring;imbal;NB;BOCD;0.5885;0;0.4955;0;33035;0;8996782.08;0;93;0
Insects;incremental-reoccurring;imbal;NB;CUSUM;0.5863;0;0.4926;0;309;0;684595.2;0;91;0
Insects;incremental-reoccurring;imbal;NB;DDM;0.5244;0;0.4225;0;312;0;1363148.8;0;18;0
Insects;incremental-reoccurring;imbal;NB;ECDD;0.518;0;0.4133;0;317;0;1363148.8;0;71;0
Insects;incremental-reoccurring;imbal;NB;EDDM;0.5361;0;0.4219;0;308;0;1363148.8;0;112;0
Insects;incremental-reoccurring;imbal;NB;GMA;0.5251;0;0.4013;0;305;0;681297.92;0;0;0
Insects;incremental-reoccurring;imbal;NB;HDDMA;0.5457;0;0.4471;0;316;0;1132462.08;0;53;0
Insects;incremental-reoccurring;imbal;NB;HDDMW;0.6113;0;0.5171;0;313;0;362076.16;0;431;0
Insects;incremental-reoccurring;imbal;NB;KSWIN;0.5449;0;0.4447;0;504;0;683120.64;0;13;0
Insects;incremental-reoccurring;imbal;NB;PH;0.5771;0;0.4818;0;306;0;683489.28;0;57;0
Insects;incremental-reoccurring;imbal;NB;RDDM;0.5797;0;0.4846;0;315;0;519813.12;0;164;0
Insects;incremental-reoccurring;imbal;NB;STEPD;0.603;0;0.5098;0;387;0;821534.72;0;408;0
