generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
Insects;incremental;bal;NB;basic;0.4739;0.0;0.3687;0.0;19.0;0.0;678778.88;0.0;0.0;0.0
Insects;incremental;imbal;NB;basic;0.4922;0.0;0.3753;0.0;159.0;0.0;678768.64;0.0;0.0;0.0
Insects;incremental;bal;HT;basic;0.5211;0.0;0.4254;0.0;38.0;0.0;2631925.76;0.0;0.0;0.0
Insects;incremental;imbal;HT;basic;0.6705;0.0;0.5689;0.0;227.0;0.0;19901972.48;0.0;0.0;0.0
Insects;incremental;bal;NoChange;basic;0.1608;0.0;-0.007;0.0;2.0;0.0;1658.88;0.0;0.0;0.0
Insects;incremental;imbal;NoChange;basic;0.282;0.0;0.0724;0.0;20.0;0.0;1638.4;0.0;0.0;0.0
Insects;incremental;bal;MajClass;basic;0.1154;0.0;-0.0615;0.0;2.0;0.0;1341.44;0.0;0.0;0.0
Insects;incremental;imbal;MajClass;basic;0.298;0.0;0.0017;0.0;22.0;0.0;1331.2;0.0;0.0;0.0
Insects;incremental;bal;BOLE;basic;0.5473;0.0082;0.4568;0.0099;476.6;78.0305;29836181.504;1835227.1327;0.0;0.0
Insects;incremental;bal;BOLE;ADWIN;0.569;0.0051;0.4828;0.0061;636.4;103.6942;7488929.792;791877.3271;0.0;0.0
Insects;incremental;bal;BOLE;CUSUM;0.5802;0.0005;0.4963;0.0006;610.6;88.6447;10250878.976;3731988.4962;0.0;0.0
Insects;incremental;bal;BOLE;DDM;0.5648;0.0121;0.4778;0.0146;678.4;108.9117;36756783.104;4652818.5327;0.0;0.0
Insects;incremental;bal;BOLE;ECDD;0.5473;0.013;0.4568;0.0156;704.4;69.3256;14124318.72;3285788.6624;0.0;0.0
Insects;incremental;bal;BOLE;EDDM;0.5695;0.0062;0.4834;0.0075;662.8;74.4812;30406606.848;4017870.2784;0.0;0.0
Insects;incremental;bal;BOLE;GMA;0.5473;0.0082;0.4568;0.0099;631.8;57.3885;29852958.72;1835744.3166;0.0;0.0
Insects;incremental;bal;BOLE;HDDMA;0.5808;0.0016;0.497;0.0019;712.0;69.6495;10106175.488;825469.1045;0.0;0.0
Insects;incremental;bal;BOLE;HDDMW;0.5664;0.0015;0.4797;0.0017;692.6;69.5919;8724152.32;850880.9255;0.0;0.0
Insects;incremental;bal;BOLE;KSWIN;0.5774;0.0007;0.4928;0.0009;930.0;37.101;7154224.3328;1983.4804;0.0;0.0
Insects;incremental;bal;BOLE;PH;0.5658;0.0054;0.479;0.0065;626.2;69.1407;19266535.424;2723465.114;0.0;0.0
Insects;incremental;bal;BOLE;RDDM;0.578;0.0041;0.4936;0.0049;681.6;71.2341;17286823.936;3259912.2375;0.0;0.0
